회사명,거래소코드,회계년도,자산(*)(요약)(IFRS)(백만원),이익잉여금(결손금)(요약)(IFRS)(백만원),자산(*)(요약)(IFRS연결)(백만원),이익잉여금(결손금)(요약)(IFRS연결)(백만원),순운전자본비율(IFRS),순운전자본비율(IFRS연결),부채(*)(요약)(IFRS)(백만원),부채(*)(요약)(IFRS연결)(백만원),금융비용부담률(IFRS),금융비용부담률(IFRS연결),영업활동으로 인한 현금흐름(간접법)(*)(요약)(IFRS)(백만원),당기순이익(손실)(요약)(IFRS)(백만원),매출액(수익)(요약)(IFRS)(백만원),영업활동으로 인한 현금흐름(간접법)(*)(요약)(IFRS연결)(백만원),당기순이익(손실)(요약)(IFRS연결)(백만원),매출액(수익)(요약)(IFRS연결)(백만원)
(주)인트로메딕,150840,2022/12,32728,-53883,33302,-55158,14.35,9.09,13156,15346,15.36,16.02,-3827,-32425,11873,-4820,-34333,12074
(주)인트론바이오테크놀로지,048530,2022/12,141604,19412,140959,18549,56.87,57.97,34739,34777,12.8,12.79,6122,5721,14007,5977,5712,14007
(주)인포마크,175140,2022/12,64873,-37066,70093,-37066,42.77,35.96,23512,28731,2.67,2.67,-17666,-10251,35537,-17669,-10251,35537
(주)인포바인,115310,2022/12,109892,107764,110204,107735,61.82,63.13,7842,8183,-7.67,-7,8722,5999,19667,7204,6011,20906
(주)인피니트헬스케어,071200,2022/12,128266,65545,149508,71426,59,56.38,18144,34671,-2.42,-1.18,6248,-554,44825,8752,161,88286
(주)일승,333430,2022/12,58587,7698,103934,8294,14.02,11.22,25667,41084,-0.24,0.12,-1297,2077,40791,-1693,3380,65037
(주)일신바이오베이스,068330,2022/12,58451,44960,,,62.87,,4632,,-1.87,,2646,3815,20433,,,
(주)일야,058450,2022/12,20963,-20617,24479,-21858,1.7,-0.87,11545,15082,2.29,4.77,-3474,-8184,10255,-3686,-8003,11133
(주)일지테크,019540,2022/12,288182,117675,381341,83449,-10.46,-25.43,161384,288169,0.8,2.04,72771,-6228,179120,76231,-9094,229145
(주)일진파워,094820,2022/12,164846,104758,190570,104758,22.91,32.69,39416,65140,-0.55,-0.52,11867,15675,109253,13701,15675,196015
(주)잉크테크,049550,2022/12,110840,-38309,111953,-38538,11.02,11.12,40473,41956,0.91,0.98,6473,4460,58073,6802,3963,61537
(주)자람테크놀로지,389020,2022/12,19816,10265,,,73.42,,993,,-0.33,,2327,617,16118,,,
(주)자비스,254120,2022/12,27948,-18457,28345,-18766,-8.57,-8.19,18124,18242,2.77,2.87,-1407,354,22280,-1550,262,22323
(주)자연과환경,043910,2022/12,103072,-30148,120515,-33192,16.82,11.56,37871,46377,-0.02,0.44,-5702,893,73636,-5666,103,73866
(주)자이언트스텝,289220,2022/12,137218,-14526,146289,-15925,47.62,49.53,16802,23325,-5.43,-3.29,-5966,-11090,24527,-7470,-12676,40620
(주)장원테크,174880,2022/12,54790,-80443,84050,-74740,18.57,9.15,3522,16017,3.34,1.79,-1170,-29581,16068,1303,-27928,66613
(주)저스템,417840,2022/12,70484,27179,,,47.7,,19678,,0.36,,8283,6322,46099,,,
(주)정다운,208140,2022/12,159934,58046,169695,55085,19.86,19.94,67052,75681,-0.4,-0.08,16020,15621,182429,17661,15320,182649
(주)정상제이엘에스,040420,2022/12,98935,50016,99683,50344,-2.71,-3.12,21519,21897,-0.06,-0.05,22348,13169,109997,22488,13302,110792
(주)정원엔시스,045510,2022/12,85965,7537,95481,7537,25.17,23.22,44640,54156,0.08,0.23,-1773,1198,135129,-2858,1201,166267
(주)제넥신,095700,2022/12,393677,-214623,388781,-231598,-9.08,-6.83,107250,107873,16.68,18.97,-40670,-45059,15887,-39800,-57132,16139
(주)제넨바이오,072520,2022/12,125947,-189682,136914,-195539,-19.96,-18.05,64698,74907,29.22,29.8,-12097,-36015,9373,-15428,-38308,9373
(주)제노레이,122310,2022/12,104626,66716,106198,67781,47.51,48,17985,18235,-0.77,-0.74,14905,14582,79812,14837,13900,82604
(주)제노코,361390,2022/12,63349,10578,,,18.46,,29535,,0.01,,10218,2716,50705,,,
(주)제노포커스,187420,2022/12,90129,-29150,133914,-36829,-22.48,-28.69,53501,106840,25.22,19.13,256,-26861,12738,-4711,-13373,27802
(주)제놀루션,225220,2022/12,114454,68901,,,43.6,,19755,,-0.93,,13551,14602,38085,,,
(주)제닉,123330,2022/12,30345,-9326,30356,-9326,1.81,3.95,14402,14413,1.29,1.28,327,-3340,31449,186,-3340,31449
(주)제로투세븐,159580,2022/12,99228,4663,99390,4491,31.06,32.86,20207,19832,-0.04,-0.07,12645,4177,90368,12564,4127,90391
(주)제우스,079370,2022/12,336304,157368,612257,242606,13.93,27.41,140937,333094,-0.89,0.34,41206,20893,294677,8105,35211,509016
(주)제이브이엠,054950,2022/12,206944,121246,231713,116882,30.86,21.22,44154,73592,-1.28,-1.04,20426,14553,126335,14763,15756,141978
(주)제이스텍,090470,2022/12,187916,136670,190314,136870,26.59,32.1,38295,40240,0.74,0.71,28229,27074,141780,28700,27798,143940
(주)제이시스메디칼,287410,2022/12,103198,31133,118118,33995,41.37,40.55,26088,38163,0.26,0.31,25092,26348,111633,25251,27012,116550
(주)제이아이테크,417500,2022/12,84457,27499,85125,28020,43.07,43.81,22739,23030,0.28,0.29,-7302,10531,68291,-7120,10924,68282
(주)제이앤티씨,204270,2022/12,269955,84416,522485,186888,27.95,-3.18,58709,187679,-1.27,3.06,14647,8361,87390,12936,-58751,161325
(주)제이에스티나,026040,2022/12,59187,16099,,,46.38,,12642,,-0.38,,3557,1308,77880,,,
(주)제이엘케이,322510,2022/12,36536,-49072,36331,-49327,18.96,19.94,19550,19732,10.65,10.69,-6683,-9383,3413,-7900,-9310,3415
(주)제이오,418550,2022/12,84819,-5731,,,28.07,,25976,,0.37,,3066,-5688,67655,,,
(주)제이와이피엔터테인먼트,035900,2022/12,321586,166210,411122,217546,25.81,33.01,81329,106621,-0.29,-0.32,68411,54946,291490,87648,67501,345892
(주)제이웨이,058420,2022/12,1105,-40513,,,-373.4,,5986,,5.7,,-658,-1256,1390,,,
(주)제이티,089790,2022/12,80594,36136,80838,36269,41.9,41.97,26145,26236,-0.36,-0.34,12571,14943,81635,12465,15040,81859
(주)제일바이오,052670,2022/12,34329,11544,,,74.35,,1299,,-2.75,,7729,-1708,15349,,,
(주)제일테크노스,038010,2022/12,178911,61310,184883,63983,5.71,5.46,97554,100357,0.56,0.83,14376,11069,208451,15880,10881,215638
(주)제주반도체,080220,2022/12,175625,59775,175999,57845,58.29,55.22,31048,33297,-0.21,0.02,-131,23666,158258,-2178,24706,175024
(주)제테마,216080,2022/12,188354,-31801,,,-13.9,,131407,,19.93,,14176,1455,45994,,,
(주)젠큐릭스,229000,2022/12,36265,-67012,37239,-66046,-49.39,-47.95,30756,31565,9.44,10.93,-8987,-25564,2518,-10452,-25451,2559
(주)젬백스&카엘,082270,2022/12,152337,-10264,151143,-65849,29,29.32,16786,16792,-0.16,0.36,-2081,-23426,75804,-2955,-19604,75804
(주)젬백스링크,064800,2022/12,205574,31461,205771,15242,28.54,52.17,34402,36328,-2.21,-1.01,4374,-4881,94887,-17305,-19348,95537
(주)조이시티,067000,2022/12,247735,316,247655,59,-4.18,-3.68,149141,148778,1.15,1.15,-1399,3257,163723,-1564,3194,163779
(주)좋은사람들,033340,2022/12,73826,-63058,73932,-63601,45.86,47.05,20819,20364,0.59,1.6,-4284,-7150,80251,-3498,-6233,80470
(주)중앙디앤엠,051980,2022/12,34781,-66494,34851,-67183,18.1,16.85,12991,13742,2.09,2,-10786,-17669,26606,-11158,-18275,29055
(주)중앙백신연구소,072020,2022/12,115009,68506,114859,68376,22.8,22.88,19543,19554,0.22,0.22,7131,4120,39255,7086,4044,39299
(주)중앙에너비스,000440,2022/12,63358,37186,63422,37248,15.08,15.25,4600,4602,0.41,0.43,2296,501,71604,2299,500,71621
(주)지노믹트리,228760,2022/12,161609,39976,162910,39976,20,39.63,54554,55353,53.99,5.93,-9357,-6631,2053,4286,-6237,29866
(주)지놈앤컴퍼니,314130,2022/12,94752,-226382,172997,-237193,36.85,61.14,6256,22452,-24.6,-4.8,-36367,-45214,1955,-43550,-56950,14085
(주)지니뮤직,043610,2022/12,311492,30358,340103,17429,14.88,15.74,120333,158931,-0.49,0.3,22478,12685,240270,29322,18692,286106
(주)지니틱스,303030,2022/12,30933,-8838,,,53.5,,9064,,-1.12,,-7781,-9065,27611,,,
(주)지란지교시큐리티,208350,2022/12,75604,10332,123610,3353,1.51,28.54,33004,47265,-0.42,-1,1215,1024,19746,8333,2289,65383
(주)지씨셀,144510,2022/12,671415,131223,676531,114391,-0.8,0.77,117707,130784,0.55,0.68,66705,31131,221278,66415,24169,236120
(주)지아이이노베이션,358570,2022/12,106335,-376601,,,62.28,,10688,,-39.48,,-62550,-79833,3500,,,
(주)지아이텍,382480,2022/12,76289,22299,,,38.74,,21157,,-0.39,,4645,6446,39647,,,
(주)지앤비에스엔지니어링,382800,2022/12,88908,32724,,,62.37,,16554,,-0.18,,3571,14772,65592,,,
(주)지어소프트,051160,2022/12,96785,17809,291481,-14942,13.34,44.35,27377,108381,1.44,0.12,-1429,61353,50399,15112,-4387,454632
(주)지에스이,053050,2022/12,204667,41028,,,3.74,,116047,,-0.81,,17835,5902,172618,,,
(주)지엔씨에너지,119850,2022/12,164649,89091,170765,89922,25.78,29.11,51234,53726,0.41,0.3,-33914,26424,131259,-30656,25994,148546
