,회사명,거래소코드,회계년도,배당금_현금,상장협 산업분류 코드(중분류),자산,장기차입금,매출액,영업활동으로 인한 현금흐름,매출액증가율,총자산자연로그,배당금지급_여부,산업매출액증가율,WW지수
2146,(주)화인써키트,127980,2022,4900000.0,32600,49996.0,0.0,64371.0,7140.0,-0.025552914818571276,10.819698281210112,1,0.06811149574196777,-54.32208394560877
2148,(주)휴네시온,290270,2022,374819.0,105800,42563.0,0.0,30423.0,5034.0,0.1462210835656695,10.658740610253117,1,0.09154042760427497,-53.752792935145145
2150,(주)휴럼,353190,2022,0.0,31000,59122.0,2174.0,66911.0,-1889.0,-0.03135631252081011,10.987358384549202,0,0.201833750952889,-45.807952533501414
2152,(주)휴맥스,115160,2022,0.0,32600,1007567.0,3311.0,689475.0,-22742.0,0.07079958005118903,13.82304907183256,0,0.06811149574196777,-60.162178354956666
2154,(주)휴맥스홀딩스,028080,2022,0.0,106200,1020872.0,3311.0,697381.0,-23089.0,88.91503352243424,13.836167722000694,0,0.09091079167796637,-370.9418401410682
2156,(주)휴먼엔,032860,2022,0.0,53800,28334.0,0.0,62566.0,472.0,0.32386796445196786,10.251817775939296,0,0.35904055475910795,-42.73091415842536
2158,(주)휴메딕스,200670,2022,4574381.0,32100,227136.0,0.0,123173.0,38152.0,0.1097466484070924,12.333304236006168,1,0.10024222681444007,-61.35670683537031
2160,(주)휴비츠,065510,2022,2121779.0,32700,177212.0,354.0,109422.0,8832.0,0.15158021027373472,12.08510203495051,1,0.175691303856638,-58.56226477845758
2162,(주)휴센텍,215090,2022,0.0,32700,52970.0,0.0,15812.0,299.0,0.8260769141933249,10.877480994538573,0,0.175691303856638,-49.01150108771133
2164,(주)휴엠앤씨,263920,2022,0.0,33300,46678.0,5000.0,35630.0,2067.0,0.837829473358436,10.751028240581167,0,0.16049121741451877,-48.77793876382608
