,회사명,거래소코드,회계년도,누적수익성비율,TMD,abs(영업현금흐름-당기순이익)/매출액,순운전자본비율,금융비용부담률,WW지수
154,(주)라닉스,317120,2022,-0.139249553,0.588413032,0.303777879,-24.13,18.62,-46.46943036
155,(주)라온테크,232680,2022,0.170669028,0.166684336,0.009860008,39.61,0.29,-55.78373984
157,(주)라이온켐텍,171120,2022,0.681147012,0.221127474,0.062762745,32.02,-0.01,-57.43526953
158,(주)라이트론,69540,2022,-0.525727144,0.466048165,0.062083793,29.53,5.05,-50.41262601
159,(주)라이프시맨틱스,347700,2022,-1.27668937,0.39210317,0.628236963,9.56,35.46,-40.66499674
160,(주)라파스,214260,2022,0.133177181,0.379858211,0.211218749,4.86,8.7,-48.15919485
161,(주)래몽래인,200350,2022,-0.227701628,0.222631191,0.026608437,45.89,1.09,-45.84985448
162,(주)랩지노믹스,84650,2022,0.699078008,0.18745048,0.145254985,61.67,-0.37,-55.47733377
163,(주)러셀,217500,2022,0.401091405,0.273029236,0.24915327,68.17,0.63,-52.79614485
164,(주)레고켐바이오사이언스,141080,2022,0.417308835,0.030135309,1.135999042,64.55,-11.92,-54.04364522
165,(주)레드캡투어,38390,2022,0.213517277,2.622563495,0.282475722,-23.39,3.54,-63.33558657
166,(주)레몬,294140,2022,-2.725146831,0.13391808,0.388619276,0.43,0.2,-42.9880123
167,(주)레이,228670,2022,0.124979748,0.325125626,0.125490318,17.37,1.63,-53.23038414
168,(주)레이언스,228850,2022,0.471120119,0.200004215,0.035620851,71.61,-0.68,-60.20711446
169,(주)레이크머티리얼즈,281740,2022,0.235047539,0.441188203,0.077288661,4.45,1.97,-53.99560972
170,(주)레인보우로보틱스,277810,2022,-0.085767933,0.025339975,0.338156445,77.35,1.44,-50.14647576
171,(주)로보로보,215100,2022,0.247497237,0.01569645,0.0962657,43.16,-4.94,-41.95284966
172,(주)로보스타,90360,2022,0.192866095,0.255926308,0.01801871,35.46,-0.11,-50.82573426
173,(주)로보티즈,108490,2022,0.138613136,0.14204808,0.491491337,60.46,0.82,-51.76883934
174,(주)로지시스,67730,2022,0.290530161,0.187995401,0.014777124,40.64,-0.28,-49.41949382
175,(주)루닛,328130,2022,-2.657684271,0.077509038,1.00252416,60.32,-2.13,-48.43994608
176,(주)루멘스,38060,2022,-0.221802326,0.895197866,0.216102943,60.1,0.24,-49.91807171
177,(주)루트로닉,85370,2022,0.289356348,0.108928566,0.079820862,54.17,-0.28,-61.30549316
178,(주)룽투코리아,60240,2022,-0.241653493,0.077040742,0.308223888,55.77,-0.48,-40.72153377
179,(주)리노스,39980,2022,0.303193004,0.729466957,0.166819205,53.84,0.16,-50.4355347
180,(주)리더스코스메틱,16100,2022,-0.051618988,0.599564355,0.045731496,-12.75,1.01,-47.5863729
181,(주)리드코프,12700,2022,0.316307871,4.015427484,0.177943508,-3.9,0.63,-67.75232457
182,(주)리메드,302550,2022,0.023296,0.635907862,0.05902729,-1.55,1.31,-48.51423651
183,(주)리파인,377450,2022,0.453382565,0.082950265,0.026217364,72.11,-4.13,-52.45802744
184,(주)링네트,42500,2022,0.45663752,1.233712072,0.159526284,38.36,-0.23,-50.37515064
185,(주)링크제니시스,219420,2022,0.390264461,0.055430692,0.003880009,78.53,-1.96,-47.09190881
186,(주)마니커에프앤지,195500,2022,0.161282212,0.806478571,0.148529033,22.56,-0.29,-47.73763621
187,(주)마이크로디지탈,305090,2022,-1.326879752,0.448470296,0.627194957,1.15,12.13,-45.58414992
188,(주)마이크로컨텍솔루션,98120,2022,0.779695892,0.191990162,0.055769388,46.85,-0.4,-55.35531571
189,(주)마이크로프랜드,147760,2022,0.057817719,0.201054673,0.0409476,22.27,-0.17,-45.19433217
190,(주)마인즈랩,377480,2022,-0.10828548,0.115432483,0.084425036,6.77,-3.82,-44.40393288
191,(주)마크로젠,38290,2022,0.349164305,0.477653571,0.236421218,11.78,0.08,-59.26456183
192,(주)매커스,93520,2022,0.339054087,1.513058034,0.022166255,28.44,-0.2,-61.3689878
193,(주)맥스트,377030,2022,-0.660295304,0.121638674,2.29281768,50.48,-7.64,-47.60083475
194,(주)머큐리,100590,2022,0.227565652,0.55656581,0.099525369,32.9,0.76,-51.48062241
195,(주)멀티캠퍼스,67280,2022,0.637974293,0.570608367,0.057140539,33.37,-0.17,-62.44119561
197,(주)메디아나,41920,2022,0.655111412,0.15635514,0.013153467,62.24,-0.43,-56.77843856
198,(주)메디콕스,54180,2022,-0.75558252,0.56345168,1.533803914,-0.69,11.03,-47.73755575
199,(주)메디톡스,86900,2022,0.67267998,0.191831339,0.053291713,-0.02,0.87,-64.21382734
