,거래소코드,시가총액
432,006620,174775.05088
433,048910,174218.4021
434,019550,172600.902375
435,036190,172500.0
436,340930,172397.1156
437,036200,172332.93326
438,061040,172319.32083
439,111710,170880.4
440,311690,170481.488
441,950190,170427.6446
442,121800,169952.23044
443,083650,168740.0
444,124560,168456.72084
445,088290,167934.1342
446,036620,167539.98899
447,089890,167508.1162
448,067290,167442.59631
449,109860,166075.0
450,277880,165925.8328
451,005860,165889.51385
452,023600,165742.5
453,086960,165402.5088
454,253840,165128.41135
455,200710,164012.2221
456,038390,163629.594
457,399720,163134.144
458,204620,162974.36376
459,094480,162803.8277
460,065450,162747.904
461,066980,162681.173675
462,090850,162187.64563
463,306040,161799.5792
464,900290,161700.0
465,353590,161588.4035
466,074430,160723.12452
467,376190,160638.0
468,402030,160472.543
469,040910,160240.21331
470,214180,159749.07925
471,378800,159514.1451
472,039860,159505.38065
473,060570,158354.673895
474,087010,157795.42545
475,092730,157581.3312
476,245620,157221.99097
477,365270,157151.7368
478,258830,157100.312475
479,063570,156738.07152
480,262260,155958.9444
481,236200,155734.36045
482,051360,155633.70984
483,073640,155275.1808
484,138360,155061.68832
485,391710,155021.97081
486,064240,154868.01304
487,394280,154835.83284
488,144960,154671.88896
489,049720,154440.0
490,377450,154237.0
491,094850,154000.0
492,161580,153923.749
493,138580,153833.03166
494,067900,153605.12196
495,079810,153440.90146
496,054450,153107.81655
497,092070,152748.5256
498,060590,152340.426
499,023900,151830.0
500,078150,151661.61792
501,211270,151577.1552
502,049950,151557.373
503,108860,151268.9472
504,047310,150936.00607
505,304100,150723.3175
506,264450,150611.8782
507,065560,150366.92125
508,361390,149640.74055
509,388050,149566.09371
510,082800,149085.442597
511,950200,149031.21128
512,274090,148196.5408
513,137950,147858.28496
514,043370,147840.0
515,251120,147826.9
516,257720,147735.10947
517,031980,147702.40575
518,058970,147439.378
519,041440,147269.05968
520,370090,146972.331
521,068790,146946.90478
522,205500,146599.00801
523,046390,146356.24287
524,234690,146101.23148
525,239890,145925.1172
526,056080,145547.14976
527,115160,145101.4092
528,039560,144977.63943
529,060560,144904.910875
530,021320,144878.0
531,068050,144286.13596
532,102120,144024.0993
533,082850,143989.734
534,058630,143842.93472
535,066700,143537.0027
536,357230,143355.3704
537,065660,143051.1831
538,051160,142364.756
539,041590,142342.18755
540,123420,142226.0408
541,347860,141956.05988
542,126600,141919.97067
543,052330,141728.4232
544,151910,141530.160282
545,314930,140634.846
546,036120,140580.0
547,148150,139643.72985
548,337930,139601.62953
549,288620,139548.6148
550,183490,139496.76909
551,306620,139239.94738
552,203650,139165.8235
553,054050,138984.96387
554,018120,138712.464
555,159580,137624.20932
556,353810,137621.673
557,109740,137556.7919
558,057680,137512.1684
559,041930,137460.0
560,079940,137387.1926
561,036710,137314.4118
562,067370,137296.13825
563,214260,137016.9144
564,064820,136894.65504
565,357580,136640.9272
566,027050,136400.0
567,046210,136259.4384
568,066410,136258.08012
569,086670,135965.0926
570,037460,135933.28826
571,094360,135928.4415
572,308080,135323.1472
573,215100,135317.2191
574,093190,134672.335
575,065680,134608.681
576,036010,134258.6334
577,300080,134129.4822
578,119830,134092.69008
579,071200,133936.55442
580,205100,133886.76464
581,347890,133881.68588
582,026150,133703.04222
583,104540,133361.856
584,241790,133035.0322
585,363260,132815.64301
586,200350,132744.2028
587,419080,132524.4942
588,171120,132443.96776
589,084730,132406.1614
590,290550,132359.83464
591,214430,131830.398
592,261780,131749.37257
593,054800,130381.7256
594,122640,129973.32
595,039340,129950.0
596,050110,129561.32709
597,253590,129399.81649
598,122350,129395.5695
599,072870,129342.40515
600,014470,129112.359
601,140070,129088.12
602,348340,128677.2738
603,095190,128594.73174
604,060370,128134.86608
605,100700,127896.0
606,159010,127880.14701
607,256940,127865.84756
608,045970,127758.72298
609,093520,127688.4268
610,357550,127647.0
611,203400,126828.44501
612,160980,126721.2188
613,219130,126601.5145
614,302430,126356.7228
615,361570,125998.3283
616,021080,125760.0
617,078890,125273.22028
618,099750,125165.6
619,102370,125136.891675
620,352700,124418.3556
621,382480,124368.5624
622,073560,124281.569185
623,322310,124106.6815
624,091590,123857.0
625,311320,123622.688
626,330350,123616.32986
627,053280,123500.0
628,080220,123305.34214
629,187420,122761.3045
630,054670,122591.0168
631,293580,122585.6
632,115180,122572.0506
633,046140,122342.2635
634,066620,122250.0
635,142280,122057.89574
636,071280,121913.92591
637,065510,121876.30275
638,201490,121592.7253
639,000440,121429.035
640,396270,121385.5396
641,215090,120843.12317
642,263700,120403.78078
643,149980,120166.2504
644,215360,120087.94345
645,263690,120051.466
646,043650,120007.80288
647,261200,119981.6457
648,001540,119859.8398
649,086040,119390.38122
650,049960,119380.0
651,126880,119273.20142
652,294140,119140.0
653,049080,118836.6858
654,396300,118805.4075
655,130580,118580.0
656,046120,118561.44912
657,377220,118477.35
658,376980,118448.6068
659,104620,118418.16192
660,259630,118402.35528
661,053260,117936.0
662,079960,117900.0
663,058400,117730.02108
664,101930,117579.483
665,389140,117524.232
666,238090,117018.99864
667,060900,116656.70656
668,019590,116405.917375
669,139670,116091.85099
670,368600,116070.82995
671,354200,116027.02336
672,226330,115982.00328
673,112290,115765.74025
674,129920,115755.04732
675,195990,115497.062262
676,120240,115405.77555
677,005990,115233.7536
678,352910,115091.23978
679,267320,115037.93768
680,015710,114824.775
681,108380,114807.996
682,204610,114778.566
683,348350,114565.5
684,256630,114544.2172
685,284620,114481.8236
686,053050,114402.682555
687,299660,114341.506
688,007820,114193.4922
689,065530,114177.6
690,037440,114164.295
691,317850,114044.554
692,011370,114011.19745
693,027830,113600.0
694,052420,113313.92272
695,290090,113304.3296
696,155650,112855.1227
697,090470,112695.07776
698,122310,112646.75256
699,417970,112581.92
700,044060,112485.3162
701,192250,112367.29863
702,142760,112271.49129
703,013990,112146.49776
704,040420,111937.72128
705,029480,111891.99528
706,053080,111538.34406
707,186230,111447.9364
708,033830,111000.0
709,064800,110964.930025
710,270520,110947.66794
