,회사명,거래소코드,회계년도,설립일,WW지수,WWC변수,부채,MWW지수,MK지수,SA지수,매출액증가율차분
2745,(주)수산아이앤티,050960,2019,1998,-55.21237733687262,-3139264.012377337,0.0,-55.21237733687262,-55.21237733687262,-2.0011956944965217,-13.423084959385434
2746,(주)수산아이앤티,050960,2020,1998,-57.71682818728666,-5232076.516828187,5745.0,-57.587220839163976,-57.587220839163976,-1.9234020554586593,36.6616438462649
2747,(주)수산아이앤티,050960,2021,1998,-55.560183179664214,-5232074.360183179,7876.0,-55.46679063267985,-55.42747665125518,-1.8753592576526605,-5.1693948956041025
2748,(주)수성샐바시온,084180,2012,1982,-54.59867914327889,-3236448.3986791433,17500.0,-53.979277788679816,-53.88751462503551,-1.7570380732704163,-3.095441469493189
2749,(주)수성샐바시온,084180,2013,1982,-53.81859999533298,-3234835.6185999955,14300.0,-53.76919562807247,-53.47276942450936,-1.7130523215187188,11.823306384931545
2750,(주)수성샐바시온,084180,2014,1982,-52.30240507561336,-3146260.9024050757,16285.0,-52.07332153847859,-51.82103681715024,-1.6736269566341273,-9.112175859584791
2751,(주)수성샐바시온,084180,2015,1982,-53.7102072918792,-3146262.3102072924,10633.0,-53.261280099775064,-53.21957648083643,-1.6529296707265504,-1.6982042108563042
2752,(주)수성샐바시온,084180,2016,1982,-50.74697593288421,-3146259.3469759333,6100.0,-50.445729509199666,-50.4370045434079,-1.6204583721443024,-43.12549992464692
2753,(주)수성샐바시온,084180,2017,1982,-42.37464425938987,-42.37464425938987,40201.0,-41.092977618025955,-41.092977618025955,-1.4836650109327165,-56.549728013484255
2754,(주)수성샐바시온,084180,2018,1982,-46.6962520003306,-46.6962520003306,11921.0,-46.232794876515435,-46.232794876515435,-1.4850636923023752,-5.938830252944914
2755,(주)수성샐바시온,084180,2019,1982,-46.79420067110113,-46.79420067110113,26895.0,-46.44914421573681,-46.0245618162781,-1.470902894806693,4.124333743472146
2756,(주)수성샐바시온,084180,2020,1982,-45.39758718225542,-45.39758718225542,26868.0,-46.05879109985599,-45.189587793187286,-1.4111823425767454,-19.989290196040027
2757,(주)수성샐바시온,084180,2021,1982,-50.85163651371849,-50.85163651371849,30334.0,-51.128697645437946,-50.648692499309334,-1.242900980910655,62.84996985302003
2758,(주)수젠텍,253840,2019,2011,-44.09063895274507,-44.09063895274507,8615.0,-43.78941702407928,-43.740870128438594,-2.638462559568666,-41.31144494114282
2759,(주)수젠텍,253840,2020,2011,-82.05938053923455,-82.05938053923455,3350.0,-82.01271709295754,-81.98750144186377,-2.5025752168655226,945.1183240633068
2760,(주)수젠텍,253840,2021,2011,-56.443708137087064,-56.443708137087064,16650.0,-56.23541310549215,-56.22717849957686,-2.2652443812784733,72.35707541602383
2761,(주)슈프리마,236200,2017,2015,-51.170963222674395,-51.170963222674395,0.0,-51.170963222674395,-51.170963222674395,-2.697274476250442,0.044489295323428546
2762,(주)슈프리마,236200,2018,2015,-52.63366918074627,-52.63366918074627,1.0,-52.63365106027099,-52.63365106027099,-2.627221460962013,9.479134730912524
