,회사명,거래소코드,회계년도,산업군,WW지수,총자본회전률,타인자본회전률,차입금의존도,총자본순이익률,대주주지분율,EBIT/총자산,총자본정상영업이익률,순운전자본비율,EBITDA마진율,현금흐름 대 자산,매출액총이익률,자본금회전률,현금흐름 대 매출액,abs(영업현금흐름-당기순이익)/매출액,누적수익성비율,당기전기영업손익,합계_기말인원(명),금융비용부담률,TMD,총자본증가율,FINDEP,자기자본증가율,매출액증가율,정상영업이익증가율,자기자본순이익률,target_1,target_2,target_3
1986,(주)이오테크닉스,39030,2018,제조업,-63.06411501853599,0.68,4.64,6.57,5.05,32.13,0.0492363419097053,4.12,45.41,3.87856644961662,0.03008187385638,20.47,47.9,0.0438259746000442,0.0305819548105204,0.6890730609806192,38919.0,623.0,0.03,0.0837640482040708,-2.283140429899082,-6578.715,4.805595829690216,-27.231586135909264,-70.22457860251087,5.98,0,0,0
1987,(주)이즈미디어,181340,2018,제조업,-56.07142741866853,1.05,2.04,12.65,4.67,44.94,0.0546403683731008,5.49,32.33,5.372584548714505,-0.1081111029031543,22.17,22.4,-0.1112659815760463,0.1556912783993715,0.3000911083204058,3265.0,177.0,0.01,1.1527291704474596,17.731812317905753,9291.224,10.045925883134514,48.2659502517472,71.06683271066832,9.64,0,0,0
1988,(주)이지,37370,2012,건설업,-56.33404936996656,1.26,3.49,20.19,-1.45,28.87,0.0047745607639297,0.85,26.55,7.516724019270475,0.0337041653926664,11.24,13.56,0.0281781535738865,0.039701111001868,0.1604181856669097,1014.5,90.0,0.33,0.1144291091593475,11.236983935953116,21005.397,-2.981143598747996,20.15215413875796,-49.032738095238095,-2.53,0,0,0
1989,(주)이지,37370,2013,건설업,-57.02459062639242,1.43,3.75,16.41,5.53,26.15,0.0832804367144852,7.4,25.23,5.21749555011907,0.0157074105277736,13.67,16.4,0.0110617131432008,0.0275364321301722,0.2073816750724202,3517.5,103.0,0.28,0.257161554192229,1.896888303502129,-203.93100000000004,8.604477318330252,20.96843968144725,827.007299270073,9.0,0,0,0
1990,(주)이지,37370,2014,건설업,-60.27011512684107,1.73,4.62,15.59,3.49,26.15,0.0528797539090357,5.87,25.21,2.892634247197916,0.053592906789854,11.45,20.83,0.0322295692695697,0.0120340794889356,0.2157872888482049,5823.0,100.0,0.25,0.2838431372549019,8.427296963541727,-3470.973,4.620707143892189,26.972374163869407,-16.598425196850393,5.38,0,0,0
1991,(주)이지,37370,2015,건설업,-55.88190724379189,1.57,3.68,18.01,-5.12,26.15,-0.037806608554632,-1.33,19.08,2.5597939368354394,0.0292519764848976,7.3,20.21,0.0190364370333236,0.0515817524603572,0.1623048854652341,2009.0,97.0,0.27,0.5508214285714286,5.014422718709087,-1855.775,-9.293789712425768,-2.9566709127337205,-124.13141993957704,-7.12,0,0,0
1992,(주)이지,37370,2016,건설업,-55.591076143129946,1.49,3.22,19.42,-0.12,26.15,0.0101803017294247,0.89,20.28,2.3382839857748228,-0.021944887362525,9.45,19.57,-0.0146271341172623,0.0138027823575097,0.1650721615765158,-200.0,101.0,0.46,0.6373645058448459,-0.8351915669977702,3755.2,0.8837395735908838,-3.180654863987758,168.70109546165884,1.65,0,0,0
1993,(주)이지,37370,2017,건설업,-55.73243385536914,1.68,3.62,16.86,-1.03,26.15,0.0033360706220488,1.35,19.88,1.2733632177598877,0.0308766167111476,8.88,21.86,0.0183453785868935,0.0244564388741499,0.1462020119072059,1100.0,114.0,0.27,0.5515052790346908,-0.4252013573735639,786.6889999999999,-2.1568850039732093,11.706476270932404,50.56947608200456,-1.22,0,0,0
1994,(주)이지,37370,2018,건설업,-47.45435044737639,1.32,2.65,33.05,-20.09,26.15,-0.2521649006532204,-10.51,4.67,-4.44098860193847,-0.0252560378567824,7.03,15.01,-0.0164530085374412,0.1358972308840382,-0.0349247910103778,-3826.0,106.0,0.43,0.4574970760233918,-24.7290084171628,9581.622,-33.8399659666628,-31.34937334187174,-778.8199697428139,-38.83,0,0,0
1995,(주)이지홀딩스,35810,2013,제조업,-68.00971955442841,1.11,1.46,59.37,0.8,35.19,0.0331562855358526,2.9,-14.62,1.493337968329593,0.0522457133208972,13.37,63.04,0.0512124990694558,0.0440360094011549,0.0695049917172009,40338.0,182.0,2.21,4.783245832142706,19.84967013248337,-31643.835,27.417841700230657,8.3401623702543,-5.186902347145755,5.98,0,0,0
