,회사명,거래소코드,회계년도,산업군,target_1,target_2,target_3,현금흐름 대 자산,현금흐름 대 매출액,현금흐름/총부채비율,총자본정상영업이익률,타인자본회전률,EBIT/총자산,이익잉여금,당기전기영업손익,TMD,누적수익성비율,EBITDA마진율,자기자본회전률,순운전자본비율,금융비용부담률,자기자본순이익률,자본금회전률,외국인지분율,abs(영업현금흐름-당기순이익)/매출액,총자본증가율,매출액총이익률,매출액증가율,대주주지분율,자기자본증가율,ROA변화율,정상영업이익증가율
2721,에스케이텔레콤(주),17670,2014,정보통신업,0.0,0.0,0.0,1.3725152759346784,2.154285637920885,0.7966802294992527,0.5014011679511524,-0.7023605347715625,0.8064061490443797,4.267875895595831,4.025340659222677,-0.6382380319326512,0.8573160679664271,2.5496047978422083,-0.6807295131577306,-0.6302226945276893,0.4609818819238172,0.7371466530773608,2.57219753994433,1.7318085680221855,1.149037419976023,0.1322502312722288,-1.2267144654755575,0.0810462208242595,-1.2047554055151892,0.0603839377298359,-0.0121002321249362,-0.0644616250847629
2722,에스케이텔레콤(주),17670,2015,정보통신업,0.0,0.0,0.0,1.3826979909668249,2.2541360511351547,0.7803674187868286,0.3617664490527478,-0.7636374067877437,0.6312662716954894,4.504230416238623,3.7105408400599256,-0.3826538443699334,0.9416674416289048,2.548685775221503,-0.7457957121796999,-0.5872852069009982,0.4213847883377218,0.4282224467997649,2.570945383367323,1.6583200827724185,1.394267724554043,-0.0318003610428084,-1.2267144654755575,-0.0959797782782248,-1.2054060061306189,-0.0340271339952289,-0.0525646194027407,-0.0551738334224677
2723,에스케이텔레콤(주),17670,2016,정보통신업,0.0,0.0,0.0,1.44258937779582,2.713347354056762,0.7509592978053352,0.1722451121922018,-0.9181320940943296,0.2856064591735694,4.775667290241807,3.408290268351937,-0.2783949580383315,0.866637351241896,2.7464948808078358,-0.7859590176686068,-0.6410555618669304,0.3657257776189825,0.4879510798594392,2.5688329296779693,1.6843568031972225,1.5590161184910385,0.3675487327507798,-1.2267144654755575,-0.1018280313623299,-1.2054060061306189,0.0231755064097761,-0.0186137872438042,-0.0672062293643406
2724,에스케이텔레콤(주),17670,2017,정보통신업,0.0,0.0,0.0,1.0882568744014618,2.247862326140665,0.6187211517374123,0.0942260292095244,-0.9858437612766656,1.051762468092633,5.311984431972209,3.228416933552471,-0.4444821320523747,0.9834610277384852,2.709992438733257,-0.8689587451016819,-0.703941063042982,0.3295316874602535,1.0431484533972772,2.5886584346728205,1.6961228188982371,0.5067161989380201,0.2242146107216114,-1.2267144654755575,0.0394965698412333,-1.2054060061306189,0.1141007305226865,0.0675256391530223,-0.0339932064775289
2725,에스케이텔레콤(주),17670,2018,정보통신업,0.0,0.0,0.0,0.8634751259008991,2.858157286231353,0.460609972897269,-0.2219735598096022,-1.279156398215224,0.9278294648113402,6.521201354726797,2.875871012579432,-0.1816518407644438,0.9297494059290428,2.4557167945823517,-1.158252714282972,-0.439700441282306,0.3295316874602535,1.0607235480961523,2.558542946744843,1.703265890702754,0.5600643786519264,1.2108665604122024,-1.2267144654755575,-0.3120015535148996,-1.1042170383447665,0.2585470921659835,-0.0234008655203339,-0.1056459917309317
2726,에스케이하이닉스(주),660,2012,제조업,0.0,0.0,0.0,1.1446330063711936,2.208478734732238,0.6088641647222796,-0.9875875477741924,-1.0415354087682922,-0.7592674465454773,0.9593687808199588,-0.0986301593572996,-0.7890926417861577,-0.5172413047044833,1.454553147317645,-0.706481664231833,-0.3362591527016244,0.8566328467337201,-0.577243307912614,-1.5641914042937255,1.3104526121586058,1.984036887743854,0.2979214152374727,-0.2136063096233334,-0.2203331677461344,-1.4790943190564134,0.2551891747289761,-0.2624060926855088,-0.5936954700475479
2727,에스케이하이닉스(주),660,2016,제조업,0.0,0.0,0.0,2.1061747652972103,4.049999824094666,2.314410747342064,1.3551371253964537,0.0253511383066964,0.9979445554142128,5.09347032072355,8.820944979994888,-1.3114178532213092,0.9646797882873924,5.073264881123017,-1.2939533597387949,0.3189650388790846,-0.0740669099136151,0.7526783999832216,-1.2376389822133032,1.8548563714333963,1.5541900795789283,0.3175130779291853,1.1421917997684452,-0.6384898022180465,-1.5441633467105786,0.1197546504260351,-0.0788977205779464,-0.1608923281489672
2728,에쓰-오일(주),10950,2012,제조업,0.0,0.0,0.0,0.1425564663413353,-0.4541784788687433,-0.0985638967068873,0.3701790225052659,1.4444466463991743,0.0385568646223058,1.08745050668202,2.5322398147778844,-0.6034409770406737,-0.073818399709575,-0.3507013340918435,1.878909915125558,0.3611341758796583,-0.3383265774988369,0.522121915560791,1.6042502063621764,1.7857485359214509,-1.383254661932939,-0.6055812137054352,-0.98349200780632,0.3223435603610271,-0.5749672812655535,-0.0037443423674435,-0.1040896609556555,-0.2055115972035369
2729,에쓰-오일(주),10950,2013,제조업,0.0,0.0,0.0,0.2674139109043922,-0.4061443542514292,-0.0085315583261187,-0.255104787653876,1.4250250872185608,-0.1836261533741931,1.080489512332383,1.1465520471100026,-0.3437749786656415,-0.0236683334500959,-0.4772717223880367,1.72334313437965,0.2874752957584285,-0.3921598084716354,-0.0711779416471099,1.512047671551042,1.74848688115484,-0.9156081482408516,-0.5430502735795967,-1.0347858357131974,-0.7624457513689261,-0.5755967002477739,-0.0540029613227749,-0.0934556354892673,-0.2088978432341412
2730,에쓰-오일(주),10950,2014,제조업,0.0,0.0,0.0,0.5845054179149093,-0.3456191543432036,0.2102639590837968,-1.172611333971542,1.5162020321798335,-0.971677086620206,0.9425977921310928,-0.1278406695562341,-0.1129343322003156,0.0133586216996664,-0.7257173951892916,1.6672879973900716,0.291537991416061,-0.4000094347210935,-0.7087101109576213,1.4374101631991778,1.7503154704712949,-0.1321452715921194,-1.3966625897608602,-1.1646780564643264,-0.6270129004895438,-0.5755967002477739,-0.2086355352881148,-0.307248100628953,-0.6243796276412422
2731,에쓰-오일(주),10950,2016,제조업,0.0,0.0,0.0,1.2276558808561675,0.5718272137998791,0.5129141168113922,1.91952051472049,0.3603120058560748,1.2953736590001887,1.423132820617893,2.552534071309475,-0.3367515126515522,0.1030208868855606,0.7941613293968001,0.6548324117153793,0.5671019759335855,-0.4238102095189019,1.707745636951627,0.9522632569566378,2.1216793638183877,-0.3972565320537115,1.32936229926015,-0.325418940596464,-0.6563809636657766,1.1535481705108903,0.1955741969360643,0.0958500078561063,0.2819720057690614
