,회사명,거래소코드,회계년도,산업군,총자본순이익률,EBIT/총자산,총자본정상영업이익률,차입금의존도,순운전자본비율,현금흐름 대 매출액,EBITDA마진율,현금흐름 대 자산,abs(영업현금흐름-당기순이익)/매출액,누적수익성비율,타인자본회전률,WW지수,당기전기영업손익,금융비용부담률,총자본회전률,자본금회전률,FINDEP,총자본증가율,TMD,매출액총이익률,자기자본증가율,매출액증가율,합계_기말인원(명),정상영업이익증가율,자기자본순이익률,대주주지분율,target_1,target_2,target_3
1420,(주)에이치케이,44780,2017,제조업,0.0030137427703228,0.0193175178229602,0.0413713774159694,0.3843172845551815,0.5586747279433125,0.4971607982875622,0.1368207064162622,0.6400200488892992,0.0451677888730628,0.2965010374851669,-0.5797163458683561,1.55212774185472,-0.3082802179897347,0.0124934259366571,-0.4050454569577773,-0.6247834053213702,-0.4492585792877862,-0.3270396149081702,0.1738448163220102,0.0594169530455082,-0.1508828277037518,-0.483726961177459,-0.4949949429501618,0.1553603197757741,0.0434874870740766,-0.93916515113431,0,0,0
1421,(주)에이치케이,44780,2018,제조업,0.1120492214068462,0.0750436423582919,-0.2463942693776702,0.5530498131054898,0.4295733283762514,-0.3532087719813778,-0.1233072176474387,-0.7060276062833952,-0.1560078353171985,0.3014085108083293,-0.6290711372729372,0.7058792440922687,-0.3472698880093085,0.0541907516620406,-0.4957764440257389,-0.6347359363554944,0.2502453436213712,-0.1543836833119954,0.377900531310023,-0.0990230703738515,-0.1055130231944268,-0.3392686302743967,-0.4695213252052802,-0.1965168865256784,0.0686103818593437,-0.9417387680000114,0,0,0
1422,(주)에이텍,45660,2012,제조업,0.7829087311857611,0.6520345336364655,0.6493087123088387,-1.091343527263493,-0.0471087623328967,-0.1604567006208611,0.0154169636510424,-0.381197874279009,-0.1623080043626697,0.5537491163986011,1.3451205189103108,-0.0880985596784251,0.0603069206192688,-0.2818406380072259,1.4776225247024295,-0.0407269788451368,0.6822007604952041,-0.3813666596955901,-0.3225328754256611,-0.3318452421923761,0.101710649238712,-0.0423026604108361,0.2352487657364435,-0.0745071379654281,0.1931372845828542,-0.1895992389987097,0,0,0
1423,(주)에이텍,45660,2013,제조업,0.6622206059773955,0.5503236384196976,0.5093146138686896,-1.1018269092148436,0.0098282651684737,0.1218122305245983,-0.0542977683328346,0.6734133642901984,-0.2868654720832304,0.5518874198549386,2.0175795517977297,-0.5131550194386667,-0.0520983216122767,-0.2842934218734249,1.953960206809229,0.154133102454557,-0.4451795947434732,0.3162472985848417,-0.2561130726015198,-0.3657102853659797,0.0550932631534316,0.4482585404122937,0.4645113254403777,0.009255350083817,0.1649691904296758,-0.1831651968344556,0,0,0
1424,(주)에이텍,45660,2014,제조업,0.5881430670563987,0.4186620437432908,0.5170920637820313,-1.068379928703392,0.1028474787026894,-0.0411115506212568,-0.0893633490915872,0.1163675425875517,-0.2986731430753496,0.5438696267778518,1.9867328071698664,-0.8722485357475813,-0.0362868425259979,-0.3137268282678132,2.2942014083140854,0.4244228926444552,-0.2363257278521242,0.2592791986400713,-0.284260703961572,-0.3542203600035071,0.0255087184709918,0.5473146213962903,0.5579145905049435,0.0904509593052231,0.1562686208070725,-0.1587158366102899,0,0,0
1425,(주)에이텍,45660,2016,제조업,0.87529757186251,0.7443989001958392,0.6946771701366647,-1.0424210781571903,0.3352299979233992,-0.0487029376653257,-0.0011815714736332,0.0421414644561295,-0.2322174049830101,1.2222486322090975,2.5851596529504133,-0.4340709836087607,-0.1202314224022417,-0.29655734120442,1.9993257003432097,0.5726632233106204,-0.1449228401238349,0.4008873850571949,-0.4661634181963645,-0.0355261144233447,0.1795186494498809,0.4431103410186878,-0.3294164276084315,0.1488384476526141,0.1961824839507653,-0.4231549695611328,0,0,0
1426,(주)에이텍,45660,2017,제조업,1.3139364821025696,1.0435442231080818,0.2785835997728885,-1.0199566882614397,-0.2291748386454186,0.4701783708328085,-0.0545789650444938,1.3667330487061355,-0.2905234961505745,1.2377048014922358,1.659757314114516,-0.3711842530604434,-0.1262685325988209,-0.3308963153312064,1.0012848425956304,0.3982320215020232,-0.798415770981507,0.5026858919537839,-0.4492589074025267,-0.0185935928365428,0.3871782314793279,-0.6122508980939445,-0.3718724571832341,-0.0622607920382859,0.2710073827051541,-0.5010068797486071,0,0,0
1427,(주)에이텍티앤,224110,2018,제조업,0.4275030107445741,0.3450510694268578,0.550794346739845,-0.8751861755999321,0.3984565807882931,0.1736586269818825,-0.2978095453601804,0.4690679316077478,-0.26107563166688,-0.036756567922965,0.654153439246174,-1.7492987560721571,-0.070856485437362,-0.2475016638804395,0.5249471604888313,1.3761991499604336,-0.4037519223028616,-0.4833026121285856,-0.1891634609852734,0.5450174828384312,0.2440523055735965,5.87674132063762,-0.4270652956304775,0.4370188046294566,0.1140708581374462,-0.2494358311262726,0,0,0
1428,(주)에이티세미콘,89530,2013,제조업,-0.4955530641249253,-0.2496076278989179,-0.4952726666046017,1.7865944227144022,-1.512244132804209,0.933839088915946,1.956452815531884,0.3882557886701515,0.7829146335805398,-0.3153843252697093,-1.283022123383638,0.1422878938551955,-0.3366690099855534,0.927381808028894,-1.2669898341034145,-0.771976101141838,0.0235641570603276,1.3205456395569215,0.8173812015784152,-0.6215123079094497,-0.3994484319373606,-0.8357492582425792,0.4178096929080948,-0.4330298299468976,-0.1790295810240039,-0.4019226304190942,0,0,0
1429,(주)에이티세미콘,89530,2014,제조업,-0.921706995895154,-0.4471151221087531,0.1411819846371867,1.8400097497998549,-1.7161581382742337,0.9767029538232463,1.2966510223251169,1.5925614818434877,0.697375856922873,-0.5005764829733094,-0.8203209539656894,-0.8730899321137907,-0.2661282521529051,0.7385174503315688,-0.1555352425208824,-0.6247834053213702,-1.0562319497906798,-1.199669768704426,0.4401131939162658,-0.4310214400579295,-0.9703327035984616,2.6872927246979565,1.8358410807065024,2.102659723497901,-0.3114957535281399,-0.6110290007573518,0,0,0
