,회사명,거래소코드,회계년도,산업군,target_1,target_2,target_3,현금흐름/총부채비율,총자본정상영업이익률,총자본순이익률,현금흐름 대 자산,타인자본회전률,총자본회전률,차입금의존도,EBITDA마진율,누적수익성비율,순운전자본비율,TMD,자기자본순이익률,부채비율,금융비용부담률,외국인지분율,당기전기영업손익,ROA변화율,총자본증가율,매출액총이익률,매출액증가율,영업현금흐름-단기차입금,자본금회전률,대주주지분율,정상영업이익증가율
2669,율촌화학(주),8730,2017,제조업,0.0,0.0,0.0,0.6232892838835341,0.6496808163857767,0.4449948584660664,0.9767772813145612,-0.1198887267452327,-0.2073586268858505,-0.2303153584908916,0.8520492824191519,0.9395716403560572,-0.3227157058569117,-0.4597973085385861,0.1951338384734121,-0.3818694396382433,-0.2489236677300923,-0.2159230042906931,-0.220596129560948,0.0863344269670511,0.347307523307358,-0.2281450132175336,0.3625098674080783,0.0251259114790721,-0.0434781528135826,1.2710523229925634,0.0905163109970371
2670,율촌화학(주),8730,2018,제조업,0.0,0.0,0.0,-0.3136978285762821,-0.1845925715024394,0.0498848419385634,-0.2297255595660096,-0.4419048959995779,-0.4078132204486205,0.1397716837424631,0.3191425378009937,0.8180067059439914,-0.474205079039601,-0.336372141512007,0.0765270514094146,-0.3095424362914417,-0.2323232517965511,-0.205570032230628,-0.2384004540373414,-0.0413446091898451,0.1215614447203213,-0.502177816190012,-0.2541126697992233,-0.1063237615802229,-0.0467369880740448,1.2742024487873205,-0.2683347347445738
2671,이건산업(주),8250,2012,제조업,0.0,0.0,0.0,0.0012572903672441,0.4099687795943662,-0.1290035513711328,0.6546476420682542,-0.9761589949897412,-0.6750860118656473,1.183684968989508,-0.3034332082888773,-0.2452074853641068,-0.9011768397565644,0.535371573454408,0.0475544011342397,0.3814083811937609,1.041758671102737,-0.7844737199226044,-0.2757906341794701,0.4234126598466913,-0.7067596227137507,-0.0986140683445569,0.4142583016483406,-0.0597876763979944,-0.5903514449598758,0.0878650744818221,0.2353508640724857
2672,이건산업(주),8250,2013,제조업,0.0,0.0,0.0,-0.0923575552663629,0.4533811957061964,0.1214401992624418,0.3195815949398103,-0.9834775442909764,-0.8087224075741609,0.8294240173779743,-0.2999045344024487,-0.2169232544686169,-0.191978301603358,-0.0108774175623544,0.1845708930605878,0.0433153617861812,0.962906695418416,-0.6041594565431363,-0.2591148743948273,0.2683342008398648,0.2775089685420566,0.0497932453792554,-0.6160046091482242,-0.0279038632108486,-0.610311810930206,-0.2573887126235488,-0.0373854506032227
2673,이건산업(주),8250,2014,제조업,0.0,0.0,0.0,-0.125594688833158,0.4854686337018972,0.1774400441246077,0.3469988029015445,-0.9834775442909764,-0.8309951401922465,1.0175110174603867,-0.342939941898952,-0.0719505588636669,-0.4197311606006203,-0.0162692709223569,0.1951338384734121,0.2497501013479836,0.5063952572460328,-0.6999244480987391,-0.2528897178336551,0.068638417579025,0.3878117718601102,0.0927532572466748,0.183052074597935,-0.0075650612450111,-0.6119412285604371,-0.321651278836592,-0.0087408123683974
2674,이건산업(주),8250,2015,제조업,0.0,0.0,0.0,-0.2368136390360319,0.0570069616416593,-0.2363365873569505,0.1768245297366455,-1.0420259387008572,-0.8532678728103321,1.1002936453283738,-0.3259968071895704,-0.1715271048697909,-0.7149279186175731,0.1833831884348806,-0.0233682323518655,0.4305335894876375,-0.1285706522119185,-0.5610220729595315,-0.2599467788268548,-0.0949433580404793,0.4292099767597533,-0.1461304451070056,0.247002513784985,-0.0186650220950758,-0.605423558039513,-0.3266914801082032,-0.1640582558611232
2675,이건산업(주),8250,2016,제조업,0.0,0.0,0.0,-0.1064114028230964,-0.0147178997604949,-0.307891944680829,0.4475577033449963,-1.0420259387008572,-0.8087224075741609,1.0856849462928466,-0.3098358328097579,-0.1871966571747057,-1.2736746820345468,0.2789013401443112,-0.0435887278564147,0.4258387981132919,0.9587565914350308,-0.5247866707493035,-0.2726498025408151,-0.0941428768872562,-0.2521243702183454,-0.2359559244661553,0.2256665868491359,-0.0536985781368873,-0.5958507294619055,-0.3241713794723976,-0.0708116557398123
2676,이건산업(주),8250,2017,제조업,0.0,0.0,0.0,0.0474612816294372,-0.0675677976357666,-0.1367813076019891,0.7562557751200769,-0.9981146428934464,-0.7196314771018185,0.7216848619909613,-0.3661508642412472,-0.0905998846676804,-1.2518851146589547,0.3687148066858012,0.0472526026938733,0.3965814025920081,0.469044321395565,-0.5006297359424848,-0.2766131208254747,1.937211462942032,-0.7672695492520629,-0.3101595813280615,-0.0735179690576303,-0.0320104643636882,-0.5921845397938857,-0.3266914801082032,-0.0946157568638325
2677,이건산업(주),8250,2018,제조업,0.0,0.0,0.0,-0.0166998353491268,0.2929440057276933,-0.0916703214630222,0.4804394805925411,-0.8078323610613336,-0.4523586856847917,0.260902146578709,-0.49707015775436,-0.0380475754787071,-1.1668020420494989,0.0986082473523596,0.0569101527855983,0.0842757155159784,0.2739894341764557,-0.0287067595378482,-0.2673852601539842,0.0885358165133031,-0.3855909495715234,-0.3016977608087214,0.5087071527137736,-0.0532818491529046,-0.5858705464767404,-0.1717052910061571,0.1258918027956107
2678,이구산업(주),25820,2012,제조업,0.0,0.0,0.0,-0.4696077612090944,-1.130228244199264,-0.7450018448549562,-0.3391448037561002,-0.7785581638563931,-0.4300859530667061,1.645076380194907,-0.7385308413463514,-0.6438788732156892,-0.8467029213175836,0.7194395117793455,-0.2654105815257229,0.2130082558096273,0.9504563834682602,-0.79914043034103,-0.3286197048752269,-1.318872199599422,-0.5690358077954566,-1.2748071205328426,-0.7536336578052645,-0.1766214906743996,-0.4243545238800885,0.4066578049112339,-0.778278512960631
2679,이구산업(주),25820,2013,제조업,0.0,0.0,0.0,-0.5968124737290146,-1.2793404560616373,-0.8476682271022602,-0.588228038928826,-0.7200097694465123,-0.2964495573581928,1.662728558196169,-0.8210306672226366,-0.724352637447158,-0.9826283178034212,0.6163385555006633,-0.3188289054705767,0.2040949562438408,0.6682493125980595,-0.7965521873260137,-0.3531279233689592,0.0051591239839874,-0.8898975767108259,-1.342501684687564,-0.2344110884503707,-0.1815028840644499,-0.4247618782876463,0.4312287861103388,-0.1639415434497654
