,회사명,거래소코드,회계년도,산업군,총자본순이익률,EBIT/총자산,총자본정상영업이익률,현금흐름 대 자산,현금흐름/총부채비율,타인자본회전률,현금흐름 대 매출액,EBITDA마진율,차입금의존도,abs(영업현금흐름-당기순이익)/매출액,총자본회전률,순운전자본비율,금융비용부담률,누적수익성비율,당기전기영업손익,자본금회전률,영업현금흐름-단기차입금,FINDEP,총자본증가율,TMD,자기자본증가율,매출액총이익률,외국인지분율,매출액증가율,자기자본순이익률,정상영업이익증가율,ROA변화율,대주주지분율,이자부담률,target_1,target_2,target_3
4047,예스이십사(주),53280,2018,도매 및 소매업,-0.5897435897435898,-0.7570323520653252,-0.5777777777777778,0.1756160130294063,-0.0490176897585788,0.8974358974358976,-0.2189460523740389,-0.5033106940275632,-0.4703703703703703,-0.2792150061334215,2.92982456140351,-0.917910447761194,-0.3255813953488372,-0.2412542792646721,-0.5152118133738284,2.6323198198198194,0.0029204832072215,-0.8816947753320468,-0.2015276778726824,1.238068801457751,-1.0526046741345314,0.0776595744680851,-0.1166180758017492,0.2709137540017434,-0.7977448907681465,-0.8628202660099821,-13.069211292000697,0.7175310758679811,0.0810977878195354,0,0,0
4048,오로라월드(주),39830,2012,"전문, 과학 및 기술 서비스업",0.0976800976800976,0.0701960475578266,0.0638888888888888,0.0805909803826754,-0.0591008517012325,-0.558974358974359,0.2756192446109609,0.0520201154637372,0.8600000000000001,-0.2632131560966952,-0.3859649122807017,-0.6776119402985075,0.8604651162790696,0.1587038413481542,0.2164214274493376,0.3733108108108107,-1.6146732156290102,0.41251821871804,-0.3179222813359962,1.3318400705485156,-0.1620241335685224,1.6478723404255318,-0.3615160349854228,0.1961022675381271,0.2381959126145172,0.2069877833402902,0.6959663744215527,0.4599228461208745,-0.1417878406797597,0,0,0
4049,오로라월드(주),39830,2013,"전문, 과학 및 기술 서비스업",0.1684981684981684,0.3617955743640149,0.3763888888888889,-0.1363728327891152,-0.1916948149439565,-0.4871794871794872,-0.0413351071727225,0.23607022347465,0.798888888888889,-0.6071575647895605,-0.2280701754385965,-0.837910447761194,0.7616279069767441,0.1680043062046536,0.4953657642561659,0.5653153153153152,-2.0126996769768573,0.0309733253264547,0.2420038843001611,0.3523880690704115,-0.0712035140128301,1.627127659574468,0.3673469387755102,0.5544156691137649,0.3516560958421423,0.5826082148996644,0.2282229575142563,0.4569224174882127,-0.0793919082794123,0,0,0
4050,오로라월드(주),39830,2014,"전문, 과학 및 기술 서비스업",0.3052503052503053,0.492069604301979,0.6430555555555555,-0.4825307028985337,-0.3906875374087971,-0.5025641025641027,-0.4599699054326587,0.3829630625717768,0.7785185185185185,0.140131195061056,-0.2807017543859648,-0.3785074626865671,0.4941860465116278,0.2338969865777492,0.9351206995863224,0.6030405405405406,-1.98592858091066,0.2242237422515708,0.0033249144781198,0.2506199180545327,0.3289956830275671,1.6313829787234042,0.1137026239067055,-0.0343574882784969,0.5320648343904157,0.3587141328487194,0.315893985852564,0.4569224174882127,0.0190180868493683,0,0,0
4051,오로라월드(주),39830,2015,"전문, 과학 및 기술 서비스업",0.1221001221001221,0.3157163872680179,0.5111111111111111,0.0945332639124527,-0.0435634875125287,-0.523076923076923,0.2931909324717995,0.1989074061342816,0.7796296296296297,-0.2555817514716504,-0.3333333333333332,-0.4450746268656716,0.4941860465116278,0.246644202885843,1.1016913651358853,0.5962837837837838,-1.6382583300146023,-0.799276775844978,0.0973460449877951,0.2415921644582387,0.1155600092550516,1.7659574468085106,-0.183673469387755,-0.1757045010393955,0.2501761804087385,-0.0569387301511216,-0.1487260299061846,0.4487783969138451,-0.0282795360223146,0,0,0
4052,오로라월드(주),39830,2016,"전문, 과학 및 기술 서비스업",0.1123321123321123,0.3700182168076034,0.5527777777777778,-0.0688433318373319,-0.1410621803815626,-0.4512820512820513,0.0197334108491672,0.125951837468571,0.7877777777777778,-0.5458630954087085,-0.2105263157894737,-0.4232835820895522,0.5523255813953487,0.2878444723323797,1.1120071215374143,0.8164414414414414,-1.9358821186778177,-0.4159845024678644,-0.0722463268821364,0.5614264035332787,-0.12133022122412,1.5351063829787233,0.3527696793002916,0.5202910217044736,0.2621564482029598,0.0859711696547598,0.0671586384503522,0.4487783969138451,-0.0568672807801981,0,0,0
4053,오로라월드(주),39830,2017,"전문, 과학 및 기술 서비스업",0.4725274725274725,0.5602544609925378,0.5736111111111111,-0.2742852382720397,-0.2644552163799988,-0.4820512820512821,-0.2008119319809704,0.307415938221115,0.7937037037037038,0.0193424907093171,-0.2807017543859648,-0.553134328358209,0.63953488372093,0.3503113323289369,1.240090066502592,0.8192567567567567,-2.248904818797292,0.8039933184185007,0.2148243586185041,0.6211035181742884,0.2234158627240399,1.5914893617021275,0.2536443148688047,-0.1477332060451119,0.689922480620155,0.0747129778613848,0.7827963892629718,0.4487783969138451,-0.0286799526923904,0,0,0
4054,오로라월드(주),39830,2018,"전문, 과학 및 기술 서비스업",0.0561660561660561,0.3219629136640794,0.3499999999999999,-0.1174225221765759,-0.1646726573535443,-0.4923076923076923,-0.0065273700254131,0.0775581191650338,0.7744444444444445,-0.5443358825139158,-0.2982456140350876,-0.4955223880597015,0.9244186046511628,0.385326144460442,1.1515944912813532,0.8524774774774775,-2.3464312580202664,0.424050010352948,-0.1528363208818355,0.932293036203756,-0.0624657925251557,1.5164893617021276,0.119533527696793,-0.0664759305527218,0.142353770260747,-0.1490361149868874,-0.3260632960247874,0.4487783969138451,-0.1233938185122992,0,0,0
4055,오상자이엘(주),53980,2012,정보통신업,0.4590964590964591,0.4494177012990872,0.6208333333333332,0.5845343050137237,0.4653369607158018,-0.2307692307692307,0.8733815527600555,0.0237556314216484,0.0607407407407407,0.1243044381862931,-0.2280701754385965,-0.3925373134328357,0.0930232558139534,-0.0641802075367951,0.1181337382835,-0.3288288288288288,0.3326253374043099,0.5055344030032083,0.6894790084879366,-0.22826782498751,0.3468872783617788,0.2648936170212766,-0.4081632653061224,0.4366269674618105,0.427061310782241,0.2888587715071287,3.582522876623908,0.2756108015430775,0.0292040144349077,0,0,0
4056,오상자이엘(주),53980,2013,정보통신업,0.3125763125763125,0.1052910171501486,0.3277777777777778,0.0585289273680254,0.1285822521830026,-0.2256410256410256,0.2495411602197684,-0.1356100537275043,-0.1048148148148147,-0.5557094721251075,-0.3157894736842104,-0.4316417910447761,0.0755813953488372,-0.0169153324172327,0.1418547415824475,-0.3119369369369369,0.1838576928182663,0.0576209599361126,0.5329826345804041,-0.4453330024761353,1.4595355503881755,0.2079787234042553,-0.0583090379008746,0.164311923780637,0.2635658914728682,-0.1340493188655299,-0.0619667568873118,0.1680240034290613,-0.0412545121056585,0,0,0
