,회사명,거래소코드,회계년도,산업군,EBIT/총자산,총자본정상영업이익률,현금흐름 대 자산,현금흐름 대 매출액,현금흐름/총부채비율,부채비율,차입금의존도,자기자본순이익률,TMD,총자본회전률,EBITDA마진율,누적수익성비율,자본금회전률,순운전자본비율,유형자산회전율,영업현금흐름-단기차입금,당기전기영업손익,이자부담률,총자본증가율,금융비용부담률,FINDEP,abs(영업현금흐름-당기순이익)/매출액,부채상환계수,자기자본증가율,매출액총이익률,매출액증가율,외국인지분율,대주주지분율,ROA변화율,정상영업이익증가율,유형자산증가율,target_1,target_2,target_3
1233,(주)심텍,222800,2017,제조업,0.0312288786009542,0.2027873434837283,1.6022686377925357,0.9000373891388163,0.3436948352295232,1.332293543770316,0.3691956679117242,0.2434917395204953,1.391012753296556,0.8358966933185498,-0.0935293570138341,-0.1032827854475643,1.764243118657977,-1.4120980887544354,-0.470115634422952,2.92218804756734,1.6435271585980915,-0.1360794948740916,0.5568910621208174,0.1249219439089213,-3.8177635922069326,0.8392920423594522,-0.0901118503883824,0.2614774471008801,-0.5407919354813754,0.0239166993785149,1.3970981907792852,0.3569744287070256,-0.0949452572592097,-0.0623673134488866,0.5008585283410244,0,0,0
1234,(주)심텍,222800,2018,제조업,-0.0111824912867844,0.0434036713786946,0.7716731040559879,0.2528142182492401,0.0409123356872443,1.5056909346046856,0.4504563619809904,-0.2272396869803424,1.8127394729136488,0.9844360965652624,0.0030181892476611,-0.1691617092667616,1.9396852913743556,-1.5786241789462054,-0.4297763392023136,-1.063157781567811,1.3988902042882545,-0.1356092771453019,0.2548166423477478,0.1627056641939278,0.3463892535285831,0.2129676057485877,-0.0908209968837483,-0.2061580935690161,-0.5083065896669242,0.5456127840494718,1.036219736041598,0.3581442948276391,-0.1432886816997783,-0.0501715458195975,0.2113621257062271,0,0,0
1235,(주)심텍홀딩스,36710,2012,제조업,0.4435703334951913,0.9121013458245708,1.138184671357028,0.455738458830425,0.3035527091741779,0.7535900894221452,0.7885038141913111,0.4432809206054912,0.4970212419479919,1.0003617631140749,0.530770116046171,-0.212811204499638,1.233753551495164,-0.5747128403380735,-0.2061289321958092,0.5060596450536635,2.5897785912890483,-0.1141195426511979,0.2187651223337021,0.1421975974146269,-0.469820466833537,0.15115574843684,-0.0802115528536378,0.2750393674384995,-0.4403690769230101,0.0355087911518784,1.2682125301819338,-0.6833514416101317,-0.1030157117860107,-0.0818748060057748,-0.0044556851118513,0,0,0
1236,(주)심텍홀딩스,36710,2013,제조업,-0.8587976991507157,-1.0950903163656294,-0.2455749531909108,-0.2724867984319007,-0.3238979728382582,1.2870518811609095,1.0004267142032808,-0.7082042137858175,1.2796178175956243,0.3871741759607914,-0.6041129637230406,-0.4347607900113316,1.0070165187857256,-1.470144472637951,-0.6615547198689866,-2.4974723300029424,0.0398472554401969,-0.1719582758334004,0.2780894949475623,0.3284063461572097,3.121257617735472,-0.01632049129864,-0.0960979935073057,-0.6251632370878817,-1.188193203886404,-0.7573021923666482,0.3544731982671094,-0.6376807358634969,-0.3108675455006763,-0.3104814904747953,0.6346560558300031,0,0,0
1237,(주)심텍홀딩스,36710,2014,제조업,-0.1295976902663529,-0.1908074160537385,0.6492307527471368,0.2791692546168233,0.0173746365197358,1.3192812065334132,0.9005541946381157,-0.3169714511030367,0.8644533567483464,0.6589572056585983,-0.0433562850015392,-0.4614973449842087,1.2192521164075558,-1.2024068029114772,-0.6206279390161646,-0.2880745493938697,-1.3255661611868483,-0.1485356636125108,0.150610195255308,0.3593126022754312,0.3148891389584162,0.2533160822825452,-0.0887701909842399,-0.0520735500698057,-0.7577182525605802,0.5894121690326998,0.7568426484276862,-0.7073583377381011,0.2365601878970393,0.3190446640741474,0.1407472178822683,0,0,0
1238,(주)심텍홀딩스,36710,2016,제조업,0.3256631408240094,0.2115971842858955,0.1865265731471627,-0.0796374843883162,-0.1432893453142767,1.1535255086664238,0.5259251306371929,0.05071028067802,1.7916116130239654,0.9683982088245644,-0.6320363694007302,0.1322870110784691,1.3327474792995595,-1.2914575664442902,-0.3170722986798438,-0.1749189526957627,0.5857980063666828,-0.1738022785317797,0.102040934521951,0.1387561808444449,0.1163757826437717,-0.9988453409169256,-0.0963183552536574,0.0034598056212942,-0.5900582963512181,7.176637639129713,0.8091821353982049,1.1451027451859743,-0.1380673490680072,3.564861116956885,-0.1403508293788218,0,0,0
1239,(주)심텍홀딩스,36710,2017,제조업,-0.0683380555847515,0.0391170708772387,1.4750946908626972,0.8599950699307557,0.3112673365088512,1.2803811518354442,0.3900117942667119,-0.2961868090645257,2.047547695445061,0.7490802629600505,-0.6290982793392672,-0.4597815370575024,1.303545056242902,-1.3900795884806274,-0.4411512873025383,2.767626836633494,1.2461843705161693,-0.1734197293518175,0.5190417077916715,0.1249219439089213,-3.651378831638843,0.8705759387507042,-0.0962683644117907,0.0522262341376284,-0.5749940832412199,0.0344187650125257,0.8605144816244109,1.147771285228515,-0.1062679879343432,-0.0561327073641814,0.5134579322507749,0,0,0
1240,(주)심텍홀딩스,36710,2018,제조업,-0.0318716433525822,0.0063676664047972,0.7049145437301355,0.2374432282329615,0.0238079550431397,1.4466148218536758,0.4742098189121908,-0.335419440758003,2.168466664088476,0.9030984603575296,-0.6216417191592929,-0.4823199799503957,1.4646575499701135,-1.5639646543855612,-0.4129334710439441,-1.062438252764713,1.2055871967045355,-0.1727547017073405,0.2460053815679416,0.1728714202929292,0.4406766598723986,0.1972500813359313,-0.0962028550639065,-0.1979724480410553,-0.5187506204284836,0.5414372311393725,0.4316550464686194,1.1483049030680164,-0.1419176943015752,-0.0150213265094076,0.2175675802681973,0,0,0
1241,(주)심팩메탈,90730,2012,제조업,0.3146824315878478,0.2750596421083953,-0.1368404186147359,-0.1179990021061069,-0.1813708496881077,-0.1283577075007682,0.6656411011136077,0.1950600726252336,0.9615491435733128,-0.2890801711877184,-0.0230349690600596,0.4815601687285357,0.8950104971174597,-0.4614885380217803,-0.7479167116864074,-0.6898196023953257,0.6546511945982993,-0.1545516862429345,-0.1864220276360188,-0.0743440591134106,0.3314693538845038,-0.871798443070844,-0.0927428661517955,-0.0476667863633555,-0.5007623381095633,0.4202404086186411,-0.7003750149070109,1.472593415795348,-0.0785115853974968,-0.0782462901256828,0.153256447773835,0,0,0
1242,(주)심팩메탈,90730,2013,제조업,0.0452596502000778,0.0077872767171958,0.0413568993471202,0.1436513106407036,-0.0628465561711303,-0.0844691715179587,0.5870095737568609,-0.0842651505485302,0.9629477656887848,-0.509837705594112,-0.2552370509674625,0.4845188939716987,0.8032424076522711,-0.7580717262427048,-0.8735359288973367,-0.7092908721454897,0.3874933500446381,-0.1571580961018886,0.0421151597046728,-0.4773533295099535,-0.4954994497313167,-0.731283842583128,-0.0949070691457164,-0.1128042177967544,-0.6265391716524401,-0.4026900724773994,-0.8001823027005145,1.4591615621234053,-0.0836120209185753,-0.0882660162594268,-0.10925671218133,0,0,0
