"계정항목별",2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022
"계정항목별",원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률
"수도, 하수 및 폐기물 처리, 원료 재생업",7734.1,350.2,4.7,8317.6,583.5,7.5,8704.8,387.2,4.7,9089.2,384.4,4.4,9376.9,287.7,3.2,9216.1,-160.8,-1.7,8830.8,-385.3,-4.2,8857.4,26.6,0.3,8875.3,17.9,0.2,8855.5,-19.8,-0.2,9236.6,381.1,4.3,8926.8,-309.8,-3.4
"건설업",72504.5,-3639.0,-4.8,72170.1,-334.4,-0.5,75294.0,3123.9,4.3,76415.0,1121.0,1.5,81174.2,4759.2,6.2,89140.0,7965.8,9.8,94368.5,5228.5,5.9,91740.9,-2627.6,-2.8,89365.5,-2375.4,-2.6,88192.7,-1172.8,-1.3,85901.7,-2291.0,-2.6,86119.3,217.6,0.3
"건물건설업",38610.7,-1976.5,-4.9,38767.4,156.7,0.4,42595.5,3828.1,9.9,44591.2,1995.7,4.7,48605.4,4014.2,9.0,57556.8,8951.4,18.4,64040.2,6483.4,11.3,62739.2,-1301.0,-2.0,58672.0,-4067.2,-6.5,56896.6,-1775.4,-3.0,57735.9,839.3,1.5,59725.0,1989.1,3.4
"주거용 건물건설업",14596.9,-2314.6,-13.7,15499.6,902.7,6.2,18343.3,2843.7,18.3,19979.8,1636.5,8.9,23343.5,3363.7,16.8,30091.2,6747.7,28.9,34126.3,4035.1,13.4,34320.9,194.6,0.6,30037.3,-4283.6,-12.5,28977.8,-1059.5,-3.5,29616.6,638.8,2.2,30679.3,1062.7,3.6
"비주거용 건물건설업",23970.6,322.9,1.4,23235.0,-735.6,-3.1,24233.8,998.8,4.3,24600.1,366.3,1.5,25261.9,661.8,2.7,27465.5,2203.6,8.7,29911.6,2446.1,8.9,28409.8,-1501.8,-5.0,28639.1,229.3,0.8,27923.8,-715.3,-2.5,28122.8,199.0,0.7,29048.9,926.1,3.3
"토목건설업",14300.6,-1389.2,-8.9,14443.3,142.7,1.0,14564.5,121.2,0.8,14512.6,-51.9,-0.4,15022.2,509.6,3.5,14077.4,-944.8,-6.3,13159.2,-918.2,-6.5,12013.0,-1146.2,-8.7,12762.9,749.9,6.2,13074.0,311.1,2.4,11601.4,-1472.6,-11.3,11559.9,-41.5,-0.4
"전문건설업",19482.0,-271.3,-1.4,18858.3,-623.7,-3.2,18079.7,-778.6,-4.1,17287.6,-792.1,-4.4,17546.5,258.9,1.5,17505.9,-40.6,-0.2,17172.4,-333.5,-1.9,16990.6,-181.8,-1.1,17927.2,936.6,5.5,18217.4,290.2,1.6,16557.9,-1659.5,-9.1,14865.6,-1692.3,-10.2
"서비스업",809610.3,30398.7,3.9,836807.1,27196.8,3.4,866807.8,30000.7,3.6,894040.6,27232.8,3.1,921469.8,27429.2,3.1,948419.1,26949.3,2.9,973106.4,24687.3,2.6,1010422.7,37316.3,3.8,1044553.5,34130.8,3.4,1036168.9,-8384.6,-0.8,1075381.7,39212.8,3.8,1120151.3,44769.6,4.2
"도소매 및 숙박음식업",143211.4,6003.3,4.4,148400.7,5189.3,3.6,153620.4,5219.7,3.5,155151.3,1530.9,1.0,160345.6,5194.3,3.3,164704.5,4358.9,2.7,167746.5,3042.0,1.8,172543.2,4796.7,2.9,178609.6,6066.4,3.5,168669.4,-9940.2,-5.6,174342.0,5672.6,3.4,186202.1,11860.1,6.8
"도소매업",108055.6,6114.3,6.0,112770.9,4715.3,4.4,118044.4,5273.5,4.7,118923.2,878.8,0.7,123433.2,4510.0,3.8,126131.9,2698.7,2.2,129378.0,3246.1,2.6,132619.9,3241.9,2.5,137252.2,4632.3,3.5,135437.4,-1814.8,-1.3,140879.5,5442.1,4.0,146049.0,5169.5,3.7
