,회사명,거래소코드,회계년도,내수변화,수출변화,생산변화
2901,(주)그린플러스,186230,2014/12,+,+,+
2906,(주)그린플러스,186230,2015/12,+,+,+
2913,(주)그린플러스,186230,2016/12,-,-,-
2916,(주)그린플러스,186230,2017/12,+,+,+
2925,(주)그린플러스,186230,2018/12,+,-,+
2931,(주)그린플러스,186230,2019/12,+,-,+
2934,(주)그린플러스,186230,2020/12,+,+,+
2944,(주)그린플러스,186230,2021/12,+,-,+
2953,(주)극동자동화,272420,2017/12,0,0,0
2956,(주)글로벌스탠다드테크놀로지,83450,2011/12,0,0,0
2963,(주)글로벌스탠다드테크놀로지,83450,2012/12,+,+,+
2964,(주)글로벌스탠다드테크놀로지,83450,2013/12,+,+,+
2975,(주)글로벌스탠다드테크놀로지,83450,2014/12,+,-,+
2982,(주)글로벌스탠다드테크놀로지,83450,2015/12,-,+,-
2989,(주)글로벌스탠다드테크놀로지,83450,2016/12,+,-,+
2993,(주)글로벌스탠다드테크놀로지,83450,2017/12,+,+,+
2998,(주)글로벌스탠다드테크놀로지,83450,2018/12,-,+,-
3008,(주)글로벌스탠다드테크놀로지,83450,2019/12,-,+,+
3014,(주)글로벌스탠다드테크놀로지,83450,2020/12,+,-,-
3018,(주)글로벌스탠다드테크놀로지,83450,2021/12,+,+,+
3027,(주)금빛,45890,2011/12,0,0,0
3030,(주)금빛,45890,2012/12,-,+,+
3032,(주)금빛,45890,2013/12,+,+,+
3035,(주)금빛,45890,2014/12,-,-,-
3038,(주)금빛,45890,2015/12,-,+,+
3041,(주)금빛,45890,2016/12,+,-,-
3043,(주)금빛,45890,2017/12,-,+,-
3046,(주)금빛,45890,2018/12,-,-,-
3049,(주)금빛,45890,2019/12,+,-,+
3053,(주)금빛,45890,2020/12,+,-,-
3060,(주)금오하이텍,165270,2013/12,0,0,0
3065,(주)금오하이텍,165270,2014/12,-,+,+
3072,(주)금오하이텍,165270,2015/12,+,-,+
3079,(주)금오하이텍,165270,2016/12,+,-,+
3085,(주)금화피에스시,36190,2011/12,0,0,0
3091,(주)금화피에스시,36190,2012/12,+,+,+
3093,(주)금화피에스시,36190,2013/12,+,+,+
3107,(주)금화피에스시,36190,2014/12,+,-,+
3116,(주)금화피에스시,36190,2015/12,-,-,-
3124,(주)금화피에스시,36190,2016/12,+,+,+
3131,(주)금화피에스시,36190,2017/12,-,-,-
3146,(주)금화피에스시,36190,2018/12,+,-,+
3176,(주)금화피에스시,36190,2019/12,-,+,-
3182,(주)금화피에스시,36190,2020/12,+,-,+
3191,(주)금화피에스시,36190,2021/12,+,-,+
3214,(주)기가레인,49080,2013/12,0,0,0
3229,(주)기가레인,49080,2014/12,-,+,+
3247,(주)기가레인,49080,2015/12,-,-,-
3263,(주)기가레인,49080,2016/12,+,-,+
3264,(주)기가레인,49080,2017/12,+,+,+
3329,(주)기가레인,49080,2018/12,-,+,+
3388,(주)기가레인,49080,2019/12,+,-,-
3431,(주)기가레인,49080,2020/12,-,-,-
3466,(주)기가레인,49080,2021/12,+,+,+
3473,(주)기산텔레콤,35460,2011/12,0,0,0
3477,(주)기산텔레콤,35460,2012/12,+,-,+
3478,(주)기산텔레콤,35460,2013/12,-,0,-
3484,(주)기산텔레콤,35460,2014/12,+,+,+
3488,(주)기산텔레콤,35460,2015/12,+,-,+
3493,(주)기산텔레콤,35460,2016/12,-,-,-
3497,(주)기산텔레콤,35460,2017/12,+,-,+
3501,(주)기산텔레콤,35460,2018/12,-,-,-
3503,(주)기산텔레콤,35460,2019/12,+,+,+
3508,(주)기산텔레콤,35460,2020/12,+,-,+
3510,(주)기산텔레콤,35460,2021/12,-,+,-
3519,(주)까스텔바작,308100,2019/12,0,0,0
3520,(주)까스텔바작,308100,2020/12,-,-,-
3523,(주)까스텔바작,308100,2021/12,+,+,+
3532,(주)나노,187790,2015/12,0,0,0
3538,(주)나노,187790,2016/12,-,0,-
3557,(주)나노,187790,2017/12,0,0,0
3573,(주)나노,187790,2018/12,0,0,0
3590,(주)나노,187790,2019/12,0,0,0
3596,(주)나노,187790,2020/12,0,0,0
3603,(주)나노,187790,2021/12,0,0,0
3670,(주)나노브릭,286750,2019/12,0,0,0
3683,(주)나노브릭,286750,2020/12,+,+,+
3684,(주)나노브릭,286750,2021/12,-,-,-
3694,(주)나노신소재,121600,2011/12,0,0,0
3721,(주)나노신소재,121600,2012/12,-,-,-
3723,(주)나노신소재,121600,2013/12,+,-,+
3751,(주)나노신소재,121600,2014/12,-,+,+
3777,(주)나노신소재,121600,2015/12,-,+,+
3798,(주)나노신소재,121600,2016/12,+,-,-
3824,(주)나노신소재,121600,2017/12,-,+,+
3847,(주)나노신소재,121600,2018/12,+,+,+
3874,(주)나노신소재,121600,2019/12,-,-,-
3902,(주)나노신소재,121600,2020/12,+,-,-
