,회사명,거래소코드,회계년도,내수변화,수출변화,생산변화
98517,(주)티씨케이,64760,2014/12,+,+,+
98526,(주)티씨케이,64760,2015/12,+,+,+
98533,(주)티씨케이,64760,2016/12,+,+,+
98535,(주)티씨케이,64760,2017/12,+,+,+
98541,(주)티씨케이,64760,2018/12,+,+,+
98548,(주)티씨케이,64760,2019/12,+,-,+
98556,(주)티씨케이,64760,2020/12,+,+,+
98560,(주)티씨케이,64760,2021/12,+,+,+
98569,(주)티앤알바이오팹,246710,2018/12,0,0,0
98573,(주)티앤알바이오팹,246710,2019/12,-,+,+
98580,(주)티앤알바이오팹,246710,2020/12,+,+,+
98586,(주)티앤알바이오팹,246710,2021/12,-,-,-
98610,(주)티앤엘,340570,2020/12,0,0,0
98618,(주)티앤엘,340570,2021/12,+,+,+
98627,(주)티에스넥스젠,43220,2011/12,0,0,0
98633,(주)티에스넥스젠,43220,2012/12,-,-,-
98634,(주)티에스넥스젠,43220,2013/12,+,+,+
98638,(주)티에스넥스젠,43220,2014/12,+,-,+
98640,(주)티에스넥스젠,43220,2015/12,-,-,-
98678,(주)티에스넥스젠,43220,2016/12,0,0,0
98692,(주)티에스넥스젠,43220,2017/12,0,0,0
98706,(주)티에스넥스젠,43220,2018/12,0,0,0
98726,(주)티에스넥스젠,43220,2019/12,0,0,0
98731,(주)티에스넥스젠,43220,2020/12,0,0,0
98744,(주)티에스넥스젠,43220,2021/12,0,0,0
98756,(주)티에스아이,277880,2017/12,0,0,0
98761,(주)티에스아이,277880,2018/12,+,+,+
98766,(주)티에스아이,277880,2019/12,-,+,-
98773,(주)티에스아이,277880,2020/12,-,-,-
98799,(주)티에스아이,277880,2021/12,-,+,+
98800,(주)티에스엠텍,66350,2011/12,0,0,0
98805,(주)티에스엠텍,66350,2012/12,-,+,+
98807,(주)티에스엠텍,66350,2013/12,-,-,-
98810,(주)티에스엠텍,66350,2014/12,-,+,+
98831,(주)티에스이,131290,2011/12,0,0,0
98899,(주)티에스이,131290,2012/12,-,-,-
98964,(주)티에스이,131290,2013/12,-,+,+
99031,(주)티에스이,131290,2014/12,+,-,+
99091,(주)티에스이,131290,2015/12,-,+,-
99196,(주)티에스이,131290,2016/12,+,+,+
99292,(주)티에스이,131290,2017/12,+,+,+
99395,(주)티에스이,131290,2018/12,-,+,+
99497,(주)티에스이,131290,2019/12,-,+,+
99637,(주)티에스이,131290,2020/12,+,+,+
99761,(주)티에스이,131290,2021/12,-,+,-
99773,(주)티에스트릴리온,284610,2017/12,0,0,0
99776,(주)티에스트릴리온,284610,2018/12,+,+,+
99855,(주)티에스트릴리온,284610,2019/12,-,+,-
99869,(주)티에스트릴리온,317240,2020/12,0,0,0
99873,(주)티에스트릴리온,317240,2021/12,-,-,-
99900,(주)티엘비,356860,2020/12,0,0,0
99903,(주)티엘비,356860,2021/12,-,+,-
99938,(주)티엘아이,62860,2012/12,0,0,0
99985,(주)티엘아이,62860,2013/12,-,0,-
100008,(주)티엘아이,62860,2015/12,0,0,0
100016,(주)티엘아이,62860,2016/12,0,0,0
100020,(주)티엘아이,62860,2017/12,0,0,0
100023,(주)티엘아이,62860,2018/12,0,0,0
100029,(주)티엘아이,62860,2020/12,0,0,0
100034,(주)티엘아이,62860,2021/12,+,+,+
100040,(주)티움바이오,321550,2019/12,0,0,0
100055,(주)티움바이오,321550,2020/12,-,+,-
100059,(주)티움바이오,321550,2021/12,-,-,-
100066,(주)티케이케미칼,104480,2011/12,0,0,0
100068,(주)티케이케미칼,104480,2012/12,-,-,-
100074,(주)티케이케미칼,104480,2013/12,+,-,-
100079,(주)티케이케미칼,104480,2014/12,+,-,-
100080,(주)티케이케미칼,104480,2015/12,-,+,+
100084,(주)티케이케미칼,104480,2016/12,+,-,-
100088,(주)티케이케미칼,104480,2017/12,+,+,+
100090,(주)티케이케미칼,104480,2018/12,+,+,+
100103,(주)티케이케미칼,104480,2019/12,-,-,-
100111,(주)티케이케미칼,104480,2020/12,-,-,-
100122,(주)티케이케미칼,104480,2021/12,+,+,+
100128,(주)티플랙스,81150,2011/12,0,0,0
100136,(주)티플랙스,81150,2012/12,-,-,-
100139,(주)티플랙스,81150,2013/12,-,+,-
100142,(주)티플랙스,81150,2014/12,-,+,-
100144,(주)티플랙스,81150,2015/12,-,-,-
100148,(주)티플랙스,81150,2016/12,+,+,+
100151,(주)티플랙스,81150,2017/12,+,+,+
100154,(주)티플랙스,81150,2018/12,-,+,+
100155,(주)티플랙스,81150,2019/12,+,-,+
100158,(주)티플랙스,81150,2020/12,+,-,+
100161,(주)티플랙스,81150,2021/12,+,+,+
100165,(주)티피씨,130740,2011/12,0,0,0
100172,(주)티피씨,130740,2012/12,+,+,+
100182,(주)티피씨,130740,2013/12,-,+,-
100189,(주)티피씨,130740,2014/12,+,-,+
100191,(주)티피씨,130740,2015/12,+,-,+
100198,(주)티피씨,130740,2016/12,+,+,+
100231,(주)티피씨,130740,2017/12,+,-,+
100270,(주)티피씨,130740,2018/12,+,+,+
100312,(주)티피씨,130740,2019/12,+,+,+
100322,(주)티피씨,130740,2020/12,-,+,-
100328,(주)티피씨,130740,2021/12,+,-,+
100333,(주)티피씨메카트로닉스,48770,2011/06,0,0,0
100335,(주)티피씨메카트로닉스,48770,2012/06,-,0,-
100340,(주)티피씨메카트로닉스,48770,2013/06,+,0,+
100346,(주)티피씨메카트로닉스,48770,2014/12,-,0,-
100350,(주)티피씨메카트로닉스,48770,2015/12,0,0,0
100353,(주)티피씨메카트로닉스,48770,2016/12,0,0,0
100362,(주)티피씨메카트로닉스,48770,2017/12,0,0,0
100364,(주)티피씨메카트로닉스,48770,2018/12,0,0,0
100369,(주)티피씨메카트로닉스,48770,2019/12,0,0,0
100372,(주)티피씨메카트로닉스,48770,2020/12,0,0,0
100378,(주)티피씨메카트로닉스,48770,2021/12,0,0,0
100381,(주)파나진,46210,2011/12,0,0,0
100386,(주)파나진,46210,2012/12,-,-,-
100392,(주)파나진,46210,2013/12,-,+,-
100395,(주)파나진,46210,2014/12,+,+,+
100402,(주)파나진,46210,2015/12,+,+,+
100409,(주)파나진,46210,2016/12,+,+,+
100411,(주)파나진,46210,2017/12,+,-,+
100418,(주)파나진,46210,2018/12,+,-,+
100423,(주)파나진,46210,2019/12,+,-,+
100429,(주)파나진,46210,2020/12,+,+,+
100438,(주)파나진,46210,2021/12,-,-,-
100442,(주)파라다이스,34230,2011/12,0,0,0
100447,(주)파라다이스,34230,2012/12,+,-,+
100448,(주)파라다이스,34230,2013/12,-,0,-
100454,(주)파라다이스,34230,2014/12,0,0,0
100457,(주)파라다이스,34230,2015/12,0,0,0
100463,(주)파라다이스,34230,2016/12,0,0,0
100467,(주)파라다이스,34230,2017/12,0,0,0
100469,(주)파라다이스,34230,2018/12,0,0,0
100475,(주)파라다이스,34230,2019/12,0,0,0
100479,(주)파라다이스,34230,2020/12,0,0,0
100487,(주)파라다이스,34230,2021/12,0,0,0
100498,(주)파라텍,33540,2011/12,0,0,0
100504,(주)파라텍,33540,2012/12,-,+,-
100513,(주)파라텍,33540,2013/12,+,+,+
100517,(주)파라텍,33540,2014/12,+,+,+
100534,(주)파라텍,33540,2015/12,+,+,+
100542,(주)파라텍,33540,2016/12,-,-,-
100545,(주)파라텍,33540,2017/12,+,+,+
100548,(주)파라텍,33540,2018/12,-,+,-
100551,(주)파라텍,33540,2019/12,-,-,-
100555,(주)파라텍,33540,2020/12,-,-,-
100556,(주)파라텍,33540,2021/12,-,+,-
100562,(주)파루,43200,2011/12,0,0,0
100576,(주)파루,43200,2012/12,+,+,+
100583,(주)파루,43200,2013/12,+,-,-
100596,(주)파루,43200,2014/12,-,+,+
100609,(주)파루,43200,2015/12,-,+,+
100619,(주)파루,43200,2016/12,+,-,-
100627,(주)파루,43200,2017/12,+,-,-
100637,(주)파루,43200,2018/12,+,+,+
100646,(주)파루,43200,2019/12,+,+,+
100651,(주)파루,43200,2020/12,-,-,-
100653,(주)파루,43200,2021/12,+,+,+
100660,(주)파마리서치,214450,2015/12,0,0,0
100666,(주)파마리서치,214450,2016/12,+,+,+
100677,(주)파마리서치,214450,2017/12,+,+,+
100681,(주)파마리서치,214450,2018/12,+,-,+
100687,(주)파마리서치,214450,2019/12,+,+,+
100690,(주)파마리서치,214450,2020/12,+,+,+
100698,(주)파마리서치,214450,2021/12,+,+,+
100712,(주)파버나인,177830,2014/12,0,0,0
100748,(주)파버나인,177830,2015/12,-,+,-
100755,(주)파버나인,177830,2016/12,-,-,-
100758,(주)파버나인,177830,2017/12,0,0,0
100762,(주)파버나인,177830,2018/12,0,0,0
100771,(주)파버나인,177830,2019/12,0,0,0
100775,(주)파버나인,177830,2020/12,0,0,0
100778,(주)파버나인,177830,2021/12,0,0,0
100786,(주)파세코,37070,2011/12,0,0,0
100798,(주)파세코,37070,2012/12,+,+,+
100809,(주)파세코,37070,2013/12,+,+,+
100818,(주)파세코,37070,2014/12,+,-,+
100832,(주)파세코,37070,2015/12,-,-,-
100846,(주)파세코,37070,2016/12,+,-,-
100858,(주)파세코,37070,2017/12,+,+,+
100867,(주)파세코,37070,2018/12,+,-,+
100872,(주)파세코,37070,2019/12,+,+,+
100886,(주)파세코,37070,2020/12,+,-,+
100895,(주)파세코,37070,2021/12,+,+,+
100899,(주)파수,150900,2013/12,0,0,0
100904,(주)파수,150900,2014/12,+,+,+
100912,(주)파수,150900,2015/12,+,-,+
100915,(주)파수,150900,2016/12,-,-,-
100921,(주)파수,150900,2017/12,+,-,+
100927,(주)파수,150900,2018/12,+,+,+
100932,(주)파수,150900,2019/12,+,+,+
100938,(주)파수,150900,2020/12,+,+,+
100946,(주)파수,150900,2021/12,+,+,+
100958,(주)파워넷,37030,2018/12,0,0,0
100962,(주)파워넷,37030,2019/12,+,+,+
100965,(주)파워넷,37030,2020/12,+,-,+
100970,(주)파워넷,37030,2021/12,-,+,+
100995,(주)파워로직스,47310,2011/12,0,0,0
100999,(주)파워로직스,47310,2012/12,-,+,+
101004,(주)파워로직스,47310,2013/12,-,+,+
101009,(주)파워로직스,47310,2014/12,-,+,+
101014,(주)파워로직스,47310,2015/12,-,+,+
101022,(주)파워로직스,47310,2016/12,-,-,-
101025,(주)파워로직스,47310,2017/12,+,+,+
101032,(주)파워로직스,47310,2018/12,+,+,+
101039,(주)파워로직스,47310,2019/12,+,+,+
101045,(주)파워로직스,47310,2020/12,-,-,-
101051,(주)파워로직스,47310,2021/12,-,-,-
101060,(주)파이오링크,170790,2013/12,0,0,0
101062,(주)파이오링크,170790,2014/12,-,-,-
101067,(주)파이오링크,170790,2015/12,-,-,-
101074,(주)파이오링크,170790,2016/12,-,-,-
101079,(주)파이오링크,170790,2017/12,0,0,0
101080,(주)파이오링크,170790,2018/12,0,0,0
101086,(주)파이오링크,170790,2019/12,0,0,0
101090,(주)파이오링크,170790,2020/12,0,0,0
101094,(주)파이오링크,170790,2021/12,+,+,+
101101,(주)파인넥스,123260,2011/12,0,0,0
101108,(주)파인넥스,123260,2012/12,-,-,-
101110,(주)파인넥스,123260,2013/12,-,+,+
101115,(주)파인넥스,123260,2014/12,+,-,-
101118,(주)파인넥스,123260,2015/12,+,-,-
101125,(주)파인넥스,123260,2016/12,-,-,-
101129,(주)파인넥스,123260,2017/12,+,+,+
101132,(주)파인넥스,123260,2018/12,-,-,-
101139,(주)파인디앤씨,49120,2011/12,0,0,0
101149,(주)파인디앤씨,49120,2012/12,-,-,-
101157,(주)파인디앤씨,49120,2013/12,+,-,+
101163,(주)파인디앤씨,49120,2014/12,+,+,+
101168,(주)파인디앤씨,49120,2015/12,-,+,-
101177,(주)파인디앤씨,49120,2016/12,+,-,+
101190,(주)파인디앤씨,49120,2017/12,-,-,-
101201,(주)파인디앤씨,49120,2018/12,-,-,-
101213,(주)파인디앤씨,49120,2019/12,-,+,+
101219,(주)파인디앤씨,49120,2020/12,+,-,-
101226,(주)파인디앤씨,49120,2021/12,-,-,-
101236,(주)파인디지털,38950,2011/12,0,0,0
101238,(주)파인디지털,38950,2012/12,+,+,+
101243,(주)파인디지털,38950,2013/12,-,-,-
101248,(주)파인디지털,38950,2014/12,-,+,-
101251,(주)파인디지털,38950,2015/12,-,-,-
101257,(주)파인디지털,38950,2016/12,-,-,-
101261,(주)파인디지털,38950,2017/12,-,-,-
101263,(주)파인디지털,38950,2018/12,+,+,+
101268,(주)파인디지털,38950,2019/12,+,-,+
101271,(주)파인디지털,38950,2020/12,+,+,+
101275,(주)파인디지털,38950,2021/12,-,+,-
101281,(주)파인테크닉스,106240,2012/12,0,0,0
101289,(주)파인테크닉스,106240,2013/12,-,-,-
101293,(주)파인테크닉스,106240,2014/12,-,+,+
101297,(주)파인테크닉스,106240,2015/12,+,-,+
101301,(주)파인테크닉스,106240,2016/12,-,+,-
101307,(주)파인테크닉스,106240,2017/12,-,-,-
101311,(주)파인테크닉스,106240,2018/12,-,-,-
101316,(주)파인테크닉스,106240,2019/12,+,-,+
101324,(주)파인테크닉스,106240,2020/12,+,+,+
101330,(주)파인테크닉스,106240,2021/12,+,-,+
101339,(주)파인텍,131760,2015/12,0,0,0
101344,(주)파인텍,131760,2016/12,-,-,-
101356,(주)파인텍,131760,2017/12,+,-,-
101359,(주)파인텍,131760,2018/12,+,-,-
101370,(주)파인텍,131760,2019/12,-,+,+
101374,(주)파인텍,131760,2020/12,+,-,+
101385,(주)파인텍,131760,2021/12,+,-,-
101389,(주)파커스,65690,2011/12,0,0,0
101391,(주)파커스,65690,2012/12,-,+,+
101394,(주)파커스,65690,2013/12,-,-,-
101400,(주)파커스,65690,2014/12,+,-,-
101405,(주)파커스,65690,2015/12,+,-,+
101408,(주)파커스,65690,2016/12,+,-,-
101412,(주)파커스,65690,2017/12,+,+,+
101415,(주)파커스,65690,2018/12,-,+,+
101418,(주)파커스,65690,2019/12,-,+,+
101423,(주)파커스,65690,2020/12,-,-,-
101424,(주)파커스,65690,2021/12,-,+,+
101432,(주)파크시스템스,140860,2015/12,0,0,0
101437,(주)파크시스템스,140860,2016/12,-,+,+
101440,(주)파크시스템스,140860,2017/12,+,+,+
101445,(주)파크시스템스,140860,2018/12,-,+,+
101447,(주)파크시스템스,140860,2019/12,+,+,+
101452,(주)파크시스템스,140860,2020/12,+,+,+
101456,(주)파크시스템스,140860,2021/12,+,+,+
101460,(주)파트론,91700,2011/12,0,0,0
101463,(주)파트론,91700,2012/12,+,0,+
101466,(주)파트론,91700,2013/12,+,+,+
101468,(주)파트론,91700,2014/12,-,+,-
101472,(주)파트론,91700,2015/12,+,-,+
101476,(주)파트론,91700,2016/12,-,+,-
101478,(주)파트론,91700,2017/12,-,+,-
101481,(주)파트론,91700,2018/12,+,-,+
101483,(주)파트론,91700,2019/12,+,+,+
101486,(주)파트론,91700,2020/12,-,-,-
101490,(주)파트론,91700,2021/12,-,+,+
101493,(주)파티게임즈,194510,2014/12,0,0,0
101497,(주)파티게임즈,194510,2015/12,-,+,-
101504,(주)파티게임즈,194510,2016/12,+,+,+
101508,(주)파티게임즈,194510,2017/12,+,-,-
101512,(주)파티게임즈,194510,2018/12,-,+,+
101513,(주)파티게임즈,194510,2019/12,+,+,+
101523,(주)팍스넷,38160,2016/12,0,0,0
101529,(주)팍스넷,38160,2017/12,-,0,-
101532,(주)팍스넷,38160,2018/12,-,0,-
101538,(주)팍스넷,38160,2019/12,-,0,-
101545,(주)팍스넷,38160,2020/12,-,0,-
101550,(주)판타지오,187770,2013/12,0,0,0
101565,(주)팜스빌,318010,2019/12,0,0,0
101571,(주)팜스빌,318010,2020/12,+,+,+
101575,(주)팜스빌,318010,2021/12,-,-,-
101583,(주)팜스토리,27710,2011/12,0,0,0
101595,(주)팜스토리,27710,2012/12,+,0,+
101605,(주)팜스토리,27710,2013/12,-,0,-
101616,(주)팜스토리,27710,2014/12,0,0,0
101631,(주)팜스토리,27710,2015/12,0,0,0
101649,(주)팜스토리,27710,2016/12,0,0,0
101663,(주)팜스토리,27710,2017/12,0,0,0
101682,(주)팜스토리,27710,2018/12,0,0,0
101696,(주)팜스토리,27710,2019/12,0,0,0
101711,(주)팜스토리,27710,2020/12,0,0,0
101732,(주)팜스토리,27710,2021/12,0,0,0
101737,(주)팬스타엔터프라이즈,54300,2011/12,0,0,0
101745,(주)팬스타엔터프라이즈,54300,2012/12,+,-,-
101755,(주)팬스타엔터프라이즈,54300,2013/12,-,-,-
101758,(주)팬스타엔터프라이즈,54300,2014/12,+,-,-
101766,(주)팬스타엔터프라이즈,54300,2015/12,-,+,-
101773,(주)팬스타엔터프라이즈,54300,2016/12,-,-,-
101781,(주)팬스타엔터프라이즈,54300,2017/12,+,+,+
101790,(주)팬스타엔터프라이즈,54300,2018/12,-,-,-
101800,(주)팬스타엔터프라이즈,54300,2019/12,-,+,+
101819,(주)팬스타엔터프라이즈,54300,2020/12,-,-,-
101833,(주)팬스타엔터프라이즈,54300,2021/12,+,+,+
101838,(주)팬엔터테인먼트,68050,2011/12,0,0,0
101848,(주)팬엔터테인먼트,68050,2012/12,+,+,+
101851,(주)팬엔터테인먼트,68050,2013/12,-,-,-
101856,(주)팬엔터테인먼트,68050,2014/12,+,+,+
101862,(주)팬엔터테인먼트,68050,2015/12,-,-,-
101870,(주)팬엔터테인먼트,68050,2016/12,+,+,+
101873,(주)팬엔터테인먼트,68050,2017/12,+,-,+
101879,(주)팬엔터테인먼트,68050,2018/12,-,-,-
101886,(주)팬엔터테인먼트,68050,2019/12,+,-,+
101891,(주)팬엔터테인먼트,68050,2020/12,-,+,-
101900,(주)팬엔터테인먼트,68050,2021/12,+,+,+
101909,(주)팬젠,222110,2015/12,0,0,0
101914,(주)팬젠,222110,2016/12,-,-,-
101919,(주)팬젠,222110,2017/12,+,+,+
101926,(주)팬젠,222110,2018/12,+,+,+
101935,(주)팬젠,222110,2019/12,-,+,-
101939,(주)팬젠,222110,2020/12,+,+,+
101943,(주)팬젠,222110,2021/12,-,+,+
101951,(주)펄어비스,263750,2017/06,0,0,0
101956,(주)펄어비스,263750,2018/12,-,-,-
101958,(주)펄어비스,263750,2019/12,0,0,0
101962,(주)펄어비스,263750,2020/12,0,0,0
101967,(주)펄어비스,263750,2021/12,0,0,0
101989,(주)펩트론,87010,2015/12,0,0,0
101993,(주)펩트론,87010,2016/12,+,+,+
102000,(주)펩트론,87010,2017/12,+,-,+
102001,(주)펩트론,87010,2018/12,+,-,+
102006,(주)펩트론,87010,2019/12,-,-,-
102012,(주)펩트론,87010,2020/12,+,+,+
102021,(주)펩트론,87010,2021/12,+,+,+
102027,(주)평산,89480,2011/12,0,0,0
102028,(주)포메탈,119500,2011/12,0,0,0
102039,(주)포메탈,119500,2012/12,-,-,-
102049,(주)포메탈,119500,2013/12,+,-,+
102055,(주)포메탈,119500,2014/12,-,+,-
102061,(주)포메탈,119500,2015/12,-,+,-
102066,(주)포메탈,119500,2016/12,-,+,+
102074,(주)포메탈,119500,2017/12,+,+,+
102078,(주)포메탈,119500,2018/12,+,+,+
102084,(주)포메탈,119500,2019/12,-,+,-
102088,(주)포메탈,119500,2020/12,+,-,+
102094,(주)포메탈,119500,2021/12,+,+,+
102105,(주)포스코아이씨티,22100,2011/12,0,0,0
102109,(주)포스코아이씨티,22100,2012/12,+,-,+
102123,(주)포스코아이씨티,22100,2013/12,-,0,-
102127,(주)포스코아이씨티,22100,2014/12,0,0,0
102136,(주)포스코아이씨티,22100,2015/12,0,0,0
102146,(주)포스코아이씨티,22100,2016/12,0,0,0
102149,(주)포스코아이씨티,22100,2017/12,0,0,0
102157,(주)포스코아이씨티,22100,2018/12,0,0,0
102165,(주)포스코아이씨티,22100,2019/12,0,0,0
102172,(주)포스코아이씨티,22100,2020/12,0,0,0
102179,(주)포스코아이씨티,22100,2021/12,0,0,0
102193,(주)포스코엠텍,9520,2011/12,0,0,0
104639,(주)포스코엠텍,9520,2012/12,+,-,+
104713,(주)포스코엠텍,9520,2013/12,-,-,-
104732,(주)포스코엠텍,9520,2014/12,-,-,-
104794,(주)포스코엠텍,9520,2015/12,-,-,-
104814,(주)포스코엠텍,9520,2016/12,-,-,-
104850,(주)포스코엠텍,9520,2017/12,+,-,-
104869,(주)포스코엠텍,9520,2018/12,+,+,+
104884,(주)포스코엠텍,9520,2019/12,-,-,-
104902,(주)포스코엠텍,9520,2020/12,-,+,-
104924,(주)포스코엠텍,9520,2021/12,+,+,+
104960,(주)포스코케미칼,3670,2011/12,0,0,0
104964,(주)포스코케미칼,3670,2012/12,+,-,+
104966,(주)포스코케미칼,3670,2013/12,+,-,+
104974,(주)포스코케미칼,3670,2014/12,-,-,-
104978,(주)포스코케미칼,3670,2015/12,0,0,0
104979,(주)포스코케미칼,3670,2016/12,0,0,0
104982,(주)포스코케미칼,3670,2017/12,0,0,0
104985,(주)포스코케미칼,3670,2018/12,0,0,0
104996,(주)포인트모바일,318020,2020/12,0,0,0
105003,(주)포인트모바일,318020,2021/12,+,+,+
105020,(주)포인트엔지니어링,176560,2017/12,0,0,0
105032,(주)포인트엔지니어링,176560,2018/12,-,+,+
105048,(주)포인트엔지니어링,256630,2019/12,0,0,0
105053,(주)포인트엔지니어링,256630,2020/12,+,+,+
105062,(주)포인트엔지니어링,256630,2021/12,-,-,-
105079,(주)포커스에이치엔에스,331380,2021/12,0,0,0
105087,(주)폭스소프트,354230,2020/12,0,0,0
105098,(주)폴라리스세원,234100,2015/12,0,0,0
105107,(주)폴라리스세원,234100,2016/12,+,+,+
105110,(주)폴라리스세원,234100,2017/12,-,+,-
105128,(주)폴라리스세원,234100,2018/12,+,+,+
105351,(주)폴라리스세원,234100,2019/12,-,+,+
105375,(주)폴라리스세원,234100,2020/12,+,-,-
105388,(주)폴라리스세원,234100,2021/12,+,+,+
105411,(주)폴라리스오피스,41020,2011/12,0,0,0
105417,(주)폴라리스오피스,41020,2012/12,+,-,+
105421,(주)폴라리스오피스,41020,2013/12,+,+,+
105424,(주)폴라리스오피스,41020,2014/12,-,+,-
105430,(주)폴라리스오피스,41020,2015/12,-,+,-
105433,(주)폴라리스오피스,41020,2016/12,-,-,-
105437,(주)폴라리스오피스,41020,2017/12,-,+,+
105438,(주)폴라리스오피스,41020,2018/12,+,+,+
105444,(주)폴라리스오피스,41020,2019/12,+,-,-
105450,(주)폴라리스오피스,41020,2020/12,+,-,-
105454,(주)폴라리스오피스,41020,2021/12,-,+,+
105464,(주)폴라리스우노,114630,2011/12,0,0,0
105471,(주)폴라리스우노,114630,2012/12,+,+,+
105477,(주)폴라리스우노,114630,2013/12,-,+,-
105582,(주)폴라리스우노,114630,2014/12,-,-,-
105597,(주)폴라리스우노,114630,2015/12,-,+,-
105607,(주)폴라리스우노,114630,2016/12,-,-,-
105619,(주)폴라리스우노,114630,2017/12,+,-,-
105625,(주)폴라리스우노,114630,2018/12,-,+,+
105633,(주)폴라리스우노,114630,2019/12,+,-,-
105635,(주)폴라리스우노,114630,2020/12,-,+,+
105641,(주)폴라리스우노,114630,2021/12,+,+,+
105653,(주)폴리플러스,65610,2011/12,0,0,0
105662,(주)푸드나무,290720,2018/12,0,0,0
105666,(주)푸드나무,290720,2019/12,+,+,+
105669,(주)푸드나무,290720,2020/12,+,+,+
105673,(주)푸드나무,290720,2021/12,+,-,+
105677,(주)푸드웰,5670,2011/12,0,0,0
105696,(주)푸드웰,5670,2012/12,+,0,+
105707,(주)푸드웰,5670,2013/12,-,0,-
105710,(주)푸드웰,5670,2014/12,0,0,0
105723,(주)푸드웰,5670,2015/12,0,0,0
105740,(주)푸드웰,5670,2016/12,0,0,0
105747,(주)푸드웰,5670,2017/12,0,0,0
105752,(주)푸드웰,5670,2018/12,0,0,0
105758,(주)푸드웰,5670,2019/12,0,0,0
105765,(주)푸드웰,5670,2020/12,0,0,0
105774,(주)푸드웰,5670,2021/12,0,0,0
105777,(주)푸른기술,94940,2011/12,0,0,0
105802,(주)푸른기술,94940,2012/12,+,-,-
105809,(주)푸른기술,94940,2013/12,-,+,+
105812,(주)푸른기술,94940,2014/12,-,-,-
105819,(주)푸른기술,94940,2015/12,+,-,-
105823,(주)푸른기술,94940,2016/12,+,-,+
105826,(주)푸른기술,94940,2017/12,-,+,+
105862,(주)푸른기술,94940,2018/12,+,-,+
105869,(주)푸른기술,94940,2019/12,-,+,-
105871,(주)푸른기술,94940,2020/12,+,-,+
105878,(주)푸른기술,94940,2021/12,+,+,+
105888,(주)퓨런티어,370090,2021/12,0,0,0
105893,(주)퓨얼셀파워,139170,2013/12,0,0,0
105900,(주)퓨전,195440,2016/12,0,0,0
105904,(주)퓨전,195440,2017/12,0,0,0
105911,(주)퓨전,195440,2018/12,0,0,0
105917,(주)퓨전,195440,2019/12,0,0,0
105981,(주)퓨쳐켐,220100,2015/12,0,0,0
105986,(주)퓨쳐켐,220100,2016/12,+,-,+
105993,(주)퓨쳐켐,220100,2017/12,+,+,+
105998,(주)퓨쳐켐,220100,2018/12,+,-,+
106002,(주)퓨쳐켐,220100,2019/12,+,-,+
106012,(주)퓨쳐켐,220100,2020/12,+,+,+
106017,(주)퓨쳐켐,220100,2021/12,+,+,+
106024,(주)프럼파스트,35200,2011/12,0,0,0
106146,(주)프럼파스트,35200,2012/12,+,-,+
106150,(주)프럼파스트,35200,2013/12,+,-,+
106160,(주)프럼파스트,35200,2014/12,-,-,-
106163,(주)프럼파스트,35200,2015/12,-,+,-
106167,(주)프럼파스트,35200,2016/12,+,-,+
106174,(주)프럼파스트,35200,2017/12,+,+,+
106184,(주)프럼파스트,35200,2018/12,-,-,-
106186,(주)프럼파스트,35200,2019/12,-,-,-
106191,(주)프럼파스트,35200,2020/12,-,-,-
106201,(주)프럼파스트,35200,2021/12,+,+,+
106206,(주)프렉코,82220,2014/12,0,0,0
106212,(주)프로스테믹스,203690,2015/12,0,0,0
106225,(주)프로스테믹스,203690,2016/12,-,+,-
106229,(주)프로스테믹스,203690,2017/12,-,+,-
106236,(주)프로스테믹스,203690,2018/12,-,-,-
106239,(주)프로스테믹스,203690,2019/12,+,+,+
106242,(주)프로스테믹스,203690,2020/12,+,-,+
106250,(주)프로스테믹스,203690,2021/12,+,-,+
106259,(주)프로이천,321260,2021/12,0,0,0
106269,(주)프로텍,53610,2011/12,0,0,0
106273,(주)프로텍,53610,2012/12,+,+,+
106279,(주)프로텍,53610,2013/12,-,+,-
106283,(주)프로텍,53610,2014/12,+,+,+
106286,(주)프로텍,53610,2015/12,-,-,-
106292,(주)프로텍,53610,2016/12,+,+,+
106300,(주)프로텍,53610,2017/12,+,-,+
106304,(주)프로텍,53610,2018/12,-,+,+
106310,(주)프로텍,53610,2019/12,-,+,+
106315,(주)프로텍,53610,2020/12,+,-,-
106319,(주)프로텍,53610,2021/12,+,+,+
106331,(주)프롬바이오,377220,2021/12,0,0,0
106343,(주)프리엠스,53160,2012/12,0,0,0
106348,(주)프리엠스,53160,2013/12,-,0,-
106365,(주)프리엠스,53160,2014/12,+,0,+
106376,(주)프리엠스,53160,2015/12,-,0,-
106383,(주)프리엠스,53160,2016/12,0,0,0
106392,(주)프리엠스,53160,2017/12,0,0,0
106405,(주)프리엠스,53160,2018/12,0,0,0
106410,(주)프리엠스,53160,2019/12,0,0,0
106420,(주)프리엠스,53160,2020/12,0,0,0
106431,(주)프리엠스,53160,2021/12,0,0,0
106438,(주)프리젠,60910,2011/12,0,0,0
106443,(주)프리젠,60910,2012/12,+,0,+
106447,(주)프리젠,60910,2013/12,-,0,-
106453,(주)프리젠,60910,2014/12,-,0,-
106459,(주)프리젠,60910,2015/12,-,0,-
106461,(주)플래스크,41590,2011/12,0,0,0
106464,(주)플래스크,41590,2012/12,-,+,+
106467,(주)플래스크,41590,2013/12,-,-,-
106470,(주)플래스크,41590,2014/12,+,+,+
106471,(주)플래스크,41590,2015/12,+,-,-
