회사명,거래소코드,회계년도,합계_기말인원(명),합계_년간총급여(천원),설립일,외국인_주식분포비율,보통주식비율
(주)골프존뉴딘홀딩스,121440,2015/12,142,9083000,2000/05/08,2.55,67.95
(주)골프존뉴딘홀딩스,121440,2016/12,164,7241000,2000/05/08,4.09,57.41
(주)골프존뉴딘홀딩스,121440,2017/12,114,6681000,2000/05/08,3.66,53.89
(주)골프존뉴딘홀딩스,121440,2018/12,57,6461000,2000/05/08,3.44,54.89
(주)골프존뉴딘홀딩스,121440,2019/12,42,2688000,2000/05/08,2.77,55.01
(주)골프존뉴딘홀딩스,121440,2020/12,35,2512000,2000/05/08,1.95,54.98
(주)골프존뉴딘홀딩스,121440,2021/12,32,3102000,2000/05/08,2.06,54.92
(주)공구우먼,366030,2017/12,,,2006/11/02,,
(주)공구우먼,366030,2018/12,,,2006/11/02,,
(주)공구우먼,366030,2019/12,,,2006/11/02,,
(주)공구우먼,366030,2020/12,,,2006/11/02,,
(주)공구우먼,366030,2021/12,108,3215294,2006/11/02,,99.27
(주)광림,014200,2011/12,199,7398472,1980/03/13,5.56,26
(주)광림,014200,2012/12,194,7139197,1980/03/13,2.59,18.18
(주)광림,014200,2013/12,217,8360234,1980/03/13,0.11,18.18
(주)광림,014200,2014/12,217,8648173,1980/03/13,0.96,24.98
(주)광림,014200,2015/12,237,8623254,1980/03/13,1.34,24.98
(주)광림,014200,2016/12,235,9272000,1980/03/13,0.49,32.55
(주)광림,014200,2017/12,225,9058248,1980/03/13,0.73,32.81
(주)광림,014200,2018/12,195,8330073,1980/03/13,1.58,32.82
(주)광림,014200,2019/12,187,7953709,1980/03/13,0.93,30.07
(주)광림,014200,2020/12,176,9409507,1980/03/13,0.94,41.32
(주)광림,014200,2021/12,164,7052309,1980/03/13,3.44,29.12
(주)광무,029480,2011/12,152,6820446,1972/07/25,0.32,18.16
(주)광무,029480,2012/12,132,5729152,1972/07/25,1.92,13.01
(주)광무,029480,2013/12,37,1408392,1972/07/25,0.93,8.93
(주)광무,029480,2014/12,109,3270484,1972/07/25,0.52,8.93
(주)광무,029480,2015/12,106,3588901,1972/07/25,1.36,7.46
(주)광무,029480,2016/12,110,3355624,1972/07/25,1.7,7.46
(주)광무,029480,2017/12,117,3976550,1972/07/25,0.4,15.48
(주)광무,029480,2018/12,122,4222490,1972/07/25,0.78,13.8
(주)광무,029480,2019/12,129,3848123,1972/07/25,0.55,17.09
(주)광무,029480,2020/12,118,5024532,1972/07/25,3.09,13.05
(주)광무,029480,2021/12,109,4208109,1972/07/25,0.91,12.29
(주)구스앤홈,329050,2017/12,,,2012/05/18,,
(주)구스앤홈,329050,2018/12,,,2012/05/18,,
(주)구스앤홈,329050,2019/12,36,1407297,2012/05/18,,78.18
(주)구스앤홈,329050,2020/12,,,2012/05/18,,
(주)구영테크,053270,2011/12,191,7751614,1989/11/09,20.23,73.11
(주)구영테크,053270,2012/12,216,7316797,1989/11/09,20.23,73.11
(주)구영테크,053270,2013/12,266,8822069,1989/11/09,17.36,70.22
(주)구영테크,053270,2014/12,291,10851602,1989/11/09,0.4,51.93
(주)구영테크,053270,2015/12,286,11859710,1989/11/09,0.4,50.41
(주)구영테크,053270,2016/12,284,12743148,1989/11/09,2.37,51.92
(주)구영테크,053270,2017/12,303,13049879,1989/11/09,1.08,51.92
(주)구영테크,053270,2018/12,283,13478040,1989/11/09,1.66,50.41
(주)구영테크,053270,2019/12,248,13799861,1989/11/09,2.17,46.62
(주)구영테크,053270,2020/12,257,12188501,1989/11/09,2.56,46.65
(주)구영테크,053270,2021/12,270,13797220,1989/11/09,1.11,44.58
(주)국보디자인,066620,2011/12,266,13267554,1988/03/02,1.19,52.77
(주)국보디자인,066620,2012/12,265,10463173,1988/03/02,2.3,48.99
(주)국보디자인,066620,2013/12,285,13423561,1988/03/02,8.73,49.17
(주)국보디자인,066620,2014/12,285,10719623,1988/03/02,9.09,49.91
(주)국보디자인,066620,2015/12,302,15373250,1988/03/02,9.78,51.55
(주)국보디자인,066620,2016/12,352,17383722,1988/03/02,11.64,51.92
(주)국보디자인,066620,2017/12,387,24898591,1988/03/02,8.06,52.02
(주)국보디자인,066620,2018/12,341,24005129,1988/03/02,12.46,52.41
(주)국보디자인,066620,2019/12,331,23553000,1988/03/02,12.56,52.72
(주)국보디자인,066620,2020/12,340,25013000,1988/03/02,11.4,53.14
