회사명,거래소코드,회계년도,자산(*)(요약)(IFRS),자본(*)(요약)(IFRS),차입금의존도(IFRS)(백만원),유보율(IFRS),현금비율(IFRS),부채비율(IFRS),당좌비율(IFRS),순운전자본비율(IFRS),*이자비용(요약)(IFRS)(백만원),* (정상)영업손익(보고서기재)(요약)(IFRS)(백만원),감가상각비(IFRS)(천원),자산(*)(요약)(IFRS연결),자본(*)(요약)(IFRS연결),차입금의존도(IFRS연결),유보율(IFRS연결)(백만원),현금비율(IFRS연결)(백만원),부채비율(IFRS연결),당좌비율(IFRS연결),순운전자본비율(IFRS연결),*이자비용(요약)(IFRS연결)(백만원),* (정상)영업손익(보고서기재)(요약)(IFRS연결)(백만원),감가상각비(IFRS연결)(천원),EBITDA(IFRS)(백만원)
에스엔케이폴리텍(주),091340,2019/12,95814,59212,30.27,949.88,73.07,61.81,155.95,17.27,727,1785,131692,246707,88787,38.94,1455.27,41.08,177.86,91.26,11.77,3300,25689,5460422,2827.67
에스엔케이폴리텍(주),091340,2020/12,92165,57707,30.48,924.16,108.47,59.71,259.66,24.51,686,-2648,154655,247329,120285,36.08,1496.48,77.48,105.62,130.41,24.27,2942,3500,5523351,-1636.49
에스엔케이폴리텍(주),091340,2021/12,87980,55482,29.67,921.43,127.48,58.57,234.5,23.63,549,999,175379,288282,125951,37.2,1557.85,62.77,128.88,108.21,20.44,2738,6747,4834911,2023.46
에스엠로보틱스(주),252940,2014/12,,,,,,,,,,,,,,,,,,,,,,,
에스엠로보틱스(주),252940,2015/12,,,,,,,,,,,,,,,,,,,,,,,
에스엠로보틱스(주),252940,2016/12,,,,,,,,,,,,,,,,,,,,,,,
에스엠로보틱스(주),252940,2017/12,,,,,,,,,,,,,,,,,,,,,,,
에스와이(주),109610,2011/12,,,,,,,,,,,,,,,,,,,,,,,
에스와이(주),109610,2012/12,,,,,,,,,,,,,,,,,,,,,,,
에스와이(주),109610,2013/12,,,,,,,,,,,,,,,,,,,,,,,
에스와이(주),109610,2014/12,,,,,,,,,,,,,,,,,,,,,,,
에스와이(주),109610,2015/12,119309,44118,32.02,1323.15,12.99,170.43,74.03,-9.25,1824,9985,158165,217302,50627,49.4,1491.08,15.07,329.22,67.69,-9.67,4277,14956,177750,11526.2
에스와이(주),109610,2016/12,144704,42196,41.1,655.99,3.84,242.93,72.71,-10.2,1793,6489,119297,274493,56546,51.95,762.61,7.7,385.43,56.63,-11.16,4812,9241,438058,8088.57
에스와이(주),109610,2017/12,281624,101577,38.4,773.86,10.85,177.25,75.38,-5.59,2672,7153,414438,342996,113855,39.7,813,14.04,201.26,68.72,-2.69,5054,9516,727176,10912.97
에스와이(주),109610,2018/12,264718,110609,37.38,816.51,10.59,139.33,76.84,-0.35,3448,6659,599127,334983,122623,40.47,825.49,10.93,173.18,69.09,1.28,4883,9131,1191939,12387.99
에스와이(주),109610,2019/12,284866,101360,39.99,766.46,12.28,181.04,69.33,-8.16,6813,-11540,978207,361604,121685,41.95,830.88,13.55,197.16,62.6,-4.48,8673,-8412,2101387,-2301.46
에스와이(주),109610,2020/12,263398,137332,27.47,520.28,26.09,91.8,113.02,12.9,6318,-788,1141651,346984,157090,34.39,560,28.18,120.88,84.1,8.26,8693,-12464,3459515,5811.32
에스와이(주),109610,2021/12,301764,159510,26.28,585.12,17.31,89.18,89.27,12.93,2905,10822,965477,387417,182715,31.95,629.77,15.61,112.03,72.61,10.43,4884,14110,2537371,16872.82
에스지씨이테크건설(주),016250,2011/12,350000,139849,16.99,913.84,14.68,150.27,91.79,-4.53,3683,22984,543329,381123,164472,15.6,1091.26,17.07,131.72,93.89,-3.09,3682,22737,608619,23898.41
에스지씨이테크건설(주),016250,2012/12,422527,146741,16.37,963.07,10.16,187.94,93.38,-4.08,3235,15885,564627,476918,181719,15.22,1221.18,11.4,162.45,96.68,-1.52,3324,14724,615439,16949.61
에스지씨이테크건설(주),016250,2013/12,432590,122163,20.32,789.07,8.85,254.11,76.23,-16.67,4022,-28712,598501,1027960,259731,45.87,1037.97,9.9,295.78,63.66,-16.65,11105,1301,700785,-27575.74
에스지씨이테크건설(주),016250,2014/12,452936,131616,19.45,856.59,8.76,244.14,79.17,-14.47,3908,4838,555027,1315551,298560,54.39,1193.02,8.78,340.63,48.47,-23.16,8609,58273,682034,5963.15
에스지씨이테크건설(주),016250,2015/12,394048,140884,21.31,922.79,14.63,179.7,76.08,-14.88,3692,12947,611057,1495406,335397,62.87,1349.53,8.89,345.86,48.76,-16.77,16546,79948,986878,14334.56
에스지씨이테크건설(주),016250,2016/12,408630,152894,19.61,1008.58,22.39,167.26,83.55,-10.02,2983,21303,254636,1642373,388641,58.27,1584.81,19.78,322.59,55.05,-15.62,24391,89958,591976,22758.22
에스지씨이테크건설(주),016250,2017/12,505201,164515,16.03,1091.58,28.89,207.09,123.5,14.88,2721,25637,300509,1781198,444629,51.44,1774.58,17.82,300.6,71.11,-10.71,31170,145311,504376,26747.47
에스지씨이테크건설(주),016250,2018/12,615541,161868,18.67,1128.07,23.87,280.27,108.47,10.02,3039,16803,293860,1912964,498705,49.37,1999.15,14.6,283.59,62.89,-12.45,31046,113025,392381,17840.63
에스지씨이테크건설(주),016250,2019/12,798494,321684,17.24,2275.4,6.12,148.22,103.57,6.11,4165,25001,2973209,2034408,519244,53.38,2099,6.88,291.8,83.36,-1.84,35917,76951,3148289,29533.99
에스지씨이테크건설(주),016250,2020/12,661158,147478,8.37,1844.4,21.15,348.31,104.08,9.89,3919,-18973,3571094,663630,137694,8.93,1767.54,20.97,381.96,103.02,9.12,4345,-36418,3591815,-11620.81
에스지씨이테크건설(주),016250,2021/12,586780,206982,2.29,2007.84,29.86,183.49,117.12,14.64,2277,69539,4591523,591722,204255,2.27,2024.47,29.9,189.7,115.98,14.06,2349,69077,4604199,77757.91
에스지에이(주),049470,2011/12,37508,25404,10.98,30.07,23.05,47.65,143.13,16.2,515,2011,203475,39550,26709,10.97,31.45,27.27,48.08,156.5,20.58,534,2122,303094,3313.78
에스지에이(주),049470,2012/12,50580,27783,21.79,17.43,27.52,82.05,162.79,28.97,369,-775,215989,54091,29544,21.24,19.96,25.84,83.08,166.94,30.02,394,-1052,304442,631.57
에스지에이(주),049470,2013/12,53867,31645,24.14,23.94,9.75,70.22,265.92,39.42,808,93,169593,70860,35583,27.76,23.14,10.77,99.14,229.61,41.07,977,2309,257698,868.46
에스지에이(주),049470,2014/12,62261,33656,23.06,24.76,26.99,84.99,175.64,28.21,1173,16,146054,82677,42120,26.08,37.64,27.33,96.29,189.45,33.21,1584,4584,211250,661.72
에스지에이(주),049470,2015/12,65245,46943,16.29,22.5,63.85,38.99,389.47,43.44,1012,-202,275517,125358,75516,24.52,32.6,55.64,66,180.09,30.51,1481,5418,572360,561.54
에스지에이(주),049470,2016/12,75821,51272,18.81,22.06,21.07,47.88,133.22,15.52,543,-3721,316083,163921,85719,27.37,50.43,36.57,91.23,160.02,27.32,2505,3873,810494,-2878.05
에스지에이(주),049470,2017/12,85285,43541,24.62,-1.17,24.35,95.87,156.75,17.58,929,-5296,673145,147319,78939,26.05,4.26,24.33,86.62,179.96,28.99,2520,-4583,1294574,-4008.51
에스지에이(주),049470,2018/12,76328,46247,16.81,-2.51,44.43,65.05,166.7,19.51,951,1858,679757,132956,68827,30.63,-4.7,40.76,93.17,146.76,21.43,2403,-8031,1277191,2828.99
에스지에이(주),049470,2019/12,68945,37575,29.31,-20.44,22.51,83.49,83.67,-3.2,848,-2728,469359,100664,38067,40.08,-30.93,19.74,164.44,65.82,-16.09,2313,-11145,955620,-1978.88
에스지에이(주),049470,2020/12,64169,37203,23.29,-21.94,62.12,72.48,120.73,7.08,1051,-1869,277805,97378,52427,28.1,-27.84,49.32,85.74,124.62,11.44,2624,2414,687384,-1325.78
에스지에이(주),049470,2021/12,66091,47269,6.9,-8.88,87.92,39.82,181.15,19.34,1065,3609,790378,,,,,,,,,,,,5651.52
에스지에이솔루션즈(주),184230,2014/06,,,,,,,,,,,,,,,,,,,,,,,
에스지에이솔루션즈(주),184230,2015/06,33640,28603,8.14,1172.69,19.8,17.61,671.74,64.88,423,4171,120029,33627,28590,8.14,1172.12,74.9,17.62,726.84,70.81,423,4158,120029,5014.48
에스지에이솔루션즈(주),184230,2016/12,67220,39212,28.53,1451.74,15.81,71.43,180.36,25.6,976,4143,233275,93876,41151,32.78,1428.93,46.81,128.13,172.67,31.86,1666,5136,355579,4948.99
에스지에이솔루션즈(주),184230,2017/12,65460,51072,10.3,1517.63,12.31,28.17,166.07,21.62,703,973,319541,83033,50444,21.38,1430.6,21.87,64.61,206.64,34.83,1509,3852,465225,1956.08
에스지에이솔루션즈(주),184230,2018/12,67493,47535,22.64,1319.68,55.86,41.98,180.84,16.69,679,-4526,481704,78074,38818,36.45,1031,37,101.13,131.81,17.43,1454,-9250,596611,-3173.17
에스지에이솔루션즈(주),184230,2019/12,44762,26670,24.15,643.52,20.65,67.83,85.75,-2.87,938,-1906,616250,47972,16523,39.06,411.88,19.08,190.34,79.92,-10.14,1661,-8495,804233,-320.8
에스지에이솔루션즈(주),184230,2020/12,47053,27819,24.65,674.84,24.84,69.14,82.13,-5.07,1324,2522,487477,46408,24336,30.05,577.69,31.6,90.7,124.01,13.19,1606,3894,646822,3698.59
에스지에이솔루션즈(주),184230,2021/12,63667,38913,22.44,755.69,61.06,63.61,123.44,9.3,1303,2944,536944,63965,36538,25.65,702.3,68.11,75.07,142.47,18.23,1388,3714,674702,4322.32
에스지에이시스템즈(주),232290,2015/12,10108,2103,,,,,,,310,552,80107,,,,,,,,,,,,
에스지에이시스템즈(주),232290,2016/12,15530,6404,9.54,101.73,9.76,142.5,128.75,16.59,382,2410,115269,,,,,,,,,,,,2601.79
에스지에이클라우드서비스(주),224880,2016/12,26173,2055,,,,,,,655,1472,130483,,,,,,,,,,,,
에스지에이클라우드서비스(주),224880,2017/12,22644,5077,46.73,129.84,28.69,345.98,189.48,37.73,798,2336,111741,,,,,,,,,,,,2829.7
에스지에이클라우드서비스(주),224880,2018/12,19143,770,67.33,-65.12,13.36,2384.48,63.08,-23.07,796,-2331,85018,,,,,,,,,,,,-1736.99
에스지에이클라우드서비스(주),224880,2019/12,6361,-6657,130.22,0,11.73,0,44.71,-109.88,808,-5242,156003,,,,,,,,,,,,-4684.48
에스지에이클라우드서비스(주),224880,2020/12,3793,-7675,190.32,0,4.14,0,30.26,-209.22,484,-390,68894,,,,,,,,,,,,-284.64
에스지이(주),255220,2012/12,,,,,,,,,,,,,,,,,,,,,,,
에스지이(주),255220,2013/12,,,,,,,,,,,,,,,,,,,,,,,
에스지이(주),255220,2014/12,45175,9561,48.66,856.08,5.04,372.5,66.08,-18.33,602,5184,33514,,,,,,,,,,,,5593.74
에스지이(주),255220,2015/12,50240,15333,51.21,1433.27,67.89,227.67,82.41,-8.04,964,7443,118609,66350,16378,38.17,1537.82,57.95,305.11,83.15,-8.82,1100,7065,128642,8256.7
에스지이(주),255220,2016/12,75240,19372,48.18,1837.19,13.62,288.4,50.5,-30.16,1106,9245,213762,83188,24813,40.51,2381.27,17.25,235.26,58.73,-22.49,1354,11464,229829,10286.39
에스지이(주),255220,2017/12,111802,28331,36.7,2733.06,13.69,294.63,65.31,-21.03,1346,12550,323005,122836,36967,33.36,3596.71,14.45,232.29,72.84,-13.59,1417,16592,329971,14143.24
에스지이(주),255220,2018/12,192673,49926,41.15,4366.5,19.24,285.92,92.75,-3.3,2754,14240,370825,200181,60464,39.2,5133.38,20.12,231.07,101.98,2.33,2881,15124,415445,16276.31
에스지이(주),255220,2019/12,212279,59806,47.28,1690.25,12.54,254.95,76.92,-13.55,4685,10537,594949,227975,72588,46.86,1985.93,14.52,214.07,84.65,-7.48,4986,12802,598920,13474.35
에스지이(주),255220,2020/12,220140,65075,45.64,1836,15.13,238.29,99.94,1.09,4957,3842,620392,232667,71558,42.69,1958.01,16.32,225.15,103.77,3.05,5117,5263,664285,8032.99
에스지이(주),255220,2021/12,216250,62738,45.94,1585.06,9.82,244.69,109.53,6.23,4963,-746,387984,229802,67686,41.69,1674.65,11.13,239.51,123.58,14.32,5085,-2257,526703,3536.33
에스케이 머티리얼즈(주),036490,2011/12,606925,325360,29.04,6069.32,1.39,86.54,20.6,-10,9066,97828,889870,613790,326590,29.45,6089.2,2.47,87.94,25.69,-8.75,9138,96626,1025991,164929.13
에스케이 머티리얼즈(주),036490,2012/12,605068,348676,23.38,6511.42,17.32,73.53,43.37,-1.52,9904,53196,925769,690652,346013,31.04,6458.43,18.92,99.6,52.25,-1.11,10075,50281,1173936,126371.14
에스케이 머티리얼즈(주),036490,2013/12,504351,321784,28.65,6001.51,38.84,56.74,93.71,6.54,7577,8291,648057,597402,316834,36.84,5905.64,25.59,88.55,76.83,4.76,9657,7232,1028883,58851.65
