회사명,거래소코드,회계년도,통계청 한국표준산업분류 코드 10차(대분류),통계청 한국표준산업분류 10차(대분류)
(주)금빛,045890,2012/12,28,제조업
(주)금빛,045890,2013/12,28,제조업
(주)금빛,045890,2014/12,28,제조업
(주)금빛,045890,2015/12,28,제조업
(주)금빛,045890,2016/12,28,제조업
(주)금빛,045890,2017/12,28,제조업
(주)금빛,045890,2018/12,28,제조업
(주)금빛,045890,2019/12,28,제조업
(주)금빛,045890,2020/12,28,제조업
(주)금오하이텍,165270,2011/12,22,제조업
(주)금오하이텍,165270,2012/12,22,제조업
(주)금오하이텍,165270,2013/12,22,제조업
(주)금오하이텍,165270,2014/12,22,제조업
(주)금오하이텍,165270,2015/12,22,제조업
(주)금오하이텍,165270,2016/12,22,제조업
(주)금화피에스시,036190,2011/12,42,건설업
(주)금화피에스시,036190,2012/12,42,건설업
(주)금화피에스시,036190,2013/12,42,건설업
(주)금화피에스시,036190,2014/12,42,건설업
(주)금화피에스시,036190,2015/12,42,건설업
(주)금화피에스시,036190,2016/12,42,건설업
(주)금화피에스시,036190,2017/12,42,건설업
(주)금화피에스시,036190,2018/12,42,건설업
(주)금화피에스시,036190,2019/12,42,건설업
(주)금화피에스시,036190,2020/12,42,건설업
(주)금화피에스시,036190,2021/12,42,건설업
(주)기가레인,049080,2013/12,29,제조업
(주)기가레인,049080,2014/12,29,제조업
(주)기가레인,049080,2015/12,29,제조업
(주)기가레인,049080,2016/12,29,제조업
(주)기가레인,049080,2017/12,29,제조업
(주)기가레인,049080,2018/12,29,제조업
(주)기가레인,049080,2019/12,29,제조업
(주)기가레인,049080,2020/12,29,제조업
(주)기가레인,049080,2021/12,29,제조업
(주)기산텔레콤,035460,2011/12,26,제조업
(주)기산텔레콤,035460,2012/12,26,제조업
(주)기산텔레콤,035460,2013/12,26,제조업
(주)기산텔레콤,035460,2014/12,26,제조업
(주)기산텔레콤,035460,2015/12,26,제조업
(주)기산텔레콤,035460,2016/12,26,제조업
(주)기산텔레콤,035460,2017/12,26,제조업
(주)기산텔레콤,035460,2018/12,26,제조업
(주)기산텔레콤,035460,2019/12,26,제조업
(주)기산텔레콤,035460,2020/12,26,제조업
(주)기산텔레콤,035460,2021/12,26,제조업
(주)까스텔바작,308100,2016/12,47,도매 및 소매업
(주)까스텔바작,308100,2017/12,47,도매 및 소매업
(주)까스텔바작,308100,2018/12,47,도매 및 소매업
(주)까스텔바작,308100,2019/12,47,도매 및 소매업
(주)까스텔바작,308100,2020/12,47,도매 및 소매업
(주)까스텔바작,308100,2021/12,47,도매 및 소매업
(주)꿈비,407400,2021/12,32,제조업
(주)나노,187790,2014/12,20,제조업
(주)나노,187790,2015/12,20,제조업
(주)나노,187790,2016/12,20,제조업
(주)나노,187790,2017/12,20,제조업
(주)나노,187790,2018/12,20,제조업
(주)나노,187790,2019/12,20,제조업
(주)나노,187790,2020/12,20,제조업
(주)나노,187790,2021/12,20,제조업
(주)나노브릭,286750,2015/12,20,제조업
(주)나노브릭,286750,2016/12,20,제조업
(주)나노브릭,286750,2017/12,20,제조업
(주)나노브릭,286750,2018/12,20,제조업
(주)나노브릭,286750,2019/12,20,제조업
(주)나노브릭,286750,2020/12,20,제조업
(주)나노브릭,286750,2021/12,20,제조업
(주)나노신소재,121600,2011/12,20,제조업
(주)나노신소재,121600,2012/12,20,제조업
(주)나노신소재,121600,2013/12,20,제조업
(주)나노신소재,121600,2014/12,20,제조업
(주)나노신소재,121600,2015/12,20,제조업
(주)나노신소재,121600,2016/12,20,제조업
(주)나노신소재,121600,2017/12,20,제조업
(주)나노신소재,121600,2018/12,20,제조업
(주)나노신소재,121600,2019/12,20,제조업
(주)나노신소재,121600,2020/12,20,제조업
(주)나노신소재,121600,2021/12,20,제조업
(주)나노엔텍,039860,2011/12,27,제조업
(주)나노엔텍,039860,2012/12,27,제조업
(주)나노엔텍,039860,2013/12,27,제조업
(주)나노엔텍,039860,2014/12,27,제조업
(주)나노엔텍,039860,2015/12,27,제조업
(주)나노엔텍,039860,2016/12,27,제조업
(주)나노엔텍,039860,2017/12,27,제조업
(주)나노엔텍,039860,2018/12,27,제조업
(주)나노엔텍,039860,2019/12,27,제조업
(주)나노엔텍,039860,2020/12,27,제조업
(주)나노엔텍,039860,2021/12,27,제조업
(주)나노트로닉스,010670,2011/12,27,제조업
(주)나노트로닉스,010670,2012/12,27,제조업
(주)나래나노텍,137080,2011/12,29,제조업
(주)나래나노텍,137080,2012/12,29,제조업
(주)나래나노텍,137080,2013/12,29,제조업
(주)나래나노텍,137080,2014/12,29,제조업
(주)나래나노텍,137080,2015/12,29,제조업
(주)나래나노텍,137080,2016/12,29,제조업
(주)나래나노텍,137080,2017/12,29,제조업
(주)나래나노텍,137080,2018/12,29,제조업
(주)나래나노텍,137080,2019/12,29,제조업
(주)나래나노텍,137080,2020/12,29,제조업
(주)나래나노텍,137080,2021/12,29,제조업
(주)나무가,190510,2011/12,26,제조업
(주)나무가,190510,2012/12,26,제조업
(주)나무가,190510,2013/12,26,제조업
(주)나무가,190510,2014/12,26,제조업
(주)나무가,190510,2015/12,26,제조업
(주)나무가,190510,2016/12,26,제조업
(주)나무가,190510,2017/12,26,제조업
(주)나무가,190510,2018/12,26,제조업
(주)나무가,190510,2019/12,26,제조업
(주)나무가,190510,2020/12,26,제조업
(주)나무가,190510,2021/12,26,제조업
(주)나스미디어,089600,2011/12,71,"전문, 과학 및 기술 서비스업"
(주)나스미디어,089600,2012/12,71,"전문, 과학 및 기술 서비스업"
(주)나스미디어,089600,2013/12,71,"전문, 과학 및 기술 서비스업"
(주)나스미디어,089600,2014/12,71,"전문, 과학 및 기술 서비스업"
(주)나스미디어,089600,2015/12,71,"전문, 과학 및 기술 서비스업"
(주)나스미디어,089600,2016/12,71,"전문, 과학 및 기술 서비스업"
(주)나스미디어,089600,2017/12,71,"전문, 과학 및 기술 서비스업"
(주)나스미디어,089600,2018/12,71,"전문, 과학 및 기술 서비스업"
(주)나스미디어,089600,2019/12,71,"전문, 과학 및 기술 서비스업"
(주)나스미디어,089600,2020/12,71,"전문, 과학 및 기술 서비스업"
(주)나스미디어,089600,2021/12,71,"전문, 과학 및 기술 서비스업"
(주)나이벡,138610,2011/12,21,제조업
(주)나이벡,138610,2012/12,21,제조업
(주)나이벡,138610,2013/12,21,제조업
(주)나이벡,138610,2014/12,21,제조업
(주)나이벡,138610,2015/12,21,제조업
(주)나이벡,138610,2016/12,21,제조업
(주)나이벡,138610,2017/12,21,제조업
(주)나이벡,138610,2018/12,21,제조업
(주)나이벡,138610,2019/12,21,제조업
(주)나이벡,138610,2020/12,21,제조업
(주)나이벡,138610,2021/12,21,제조업
(주)나이스디앤비,130580,2011/12,75,"사업시설 관리, 사업 지원 및 임대 서비스업"
(주)나이스디앤비,130580,2012/12,75,"사업시설 관리, 사업 지원 및 임대 서비스업"
(주)나이스디앤비,130580,2013/12,75,"사업시설 관리, 사업 지원 및 임대 서비스업"
(주)나이스디앤비,130580,2014/12,75,"사업시설 관리, 사업 지원 및 임대 서비스업"
(주)나이스디앤비,130580,2015/12,75,"사업시설 관리, 사업 지원 및 임대 서비스업"
(주)나이스디앤비,130580,2016/12,75,"사업시설 관리, 사업 지원 및 임대 서비스업"
(주)나이스디앤비,130580,2017/12,75,"사업시설 관리, 사업 지원 및 임대 서비스업"
(주)나이스디앤비,130580,2018/12,75,"사업시설 관리, 사업 지원 및 임대 서비스업"
(주)나이스디앤비,130580,2019/12,75,"사업시설 관리, 사업 지원 및 임대 서비스업"
(주)나이스디앤비,130580,2020/12,75,"사업시설 관리, 사업 지원 및 임대 서비스업"
(주)나이스디앤비,130580,2021/12,75,"사업시설 관리, 사업 지원 및 임대 서비스업"
(주)나이코,192240,2012/12,17,제조업
(주)나이코,192240,2013/12,17,제조업
(주)나이코,192240,2014/12,17,제조업
(주)나이코,192240,2015/12,17,제조업
(주)나인테크,267320,2017/12,29,제조업
(주)나인테크,267320,2018/12,29,제조업
(주)나인테크,267320,2019/12,29,제조업
(주)나인테크,267320,2020/12,29,제조업
(주)나인테크,267320,2021/12,29,제조업
(주)내츄럴엔도텍,168330,2012/12,70,"전문, 과학 및 기술 서비스업"
(주)내츄럴엔도텍,168330,2013/12,70,"전문, 과학 및 기술 서비스업"
(주)내츄럴엔도텍,168330,2014/12,70,"전문, 과학 및 기술 서비스업"
(주)내츄럴엔도텍,168330,2015/12,70,"전문, 과학 및 기술 서비스업"
(주)내츄럴엔도텍,168330,2016/12,70,"전문, 과학 및 기술 서비스업"
(주)내츄럴엔도텍,168330,2017/12,70,"전문, 과학 및 기술 서비스업"
(주)내츄럴엔도텍,168330,2018/12,70,"전문, 과학 및 기술 서비스업"
(주)내츄럴엔도텍,168330,2019/12,70,"전문, 과학 및 기술 서비스업"
(주)내츄럴엔도텍,168330,2020/12,70,"전문, 과학 및 기술 서비스업"
(주)내츄럴엔도텍,168330,2021/12,70,"전문, 과학 및 기술 서비스업"
(주)네오리진,094860,2011/12,58,정보통신업
(주)네오리진,094860,2012/12,58,정보통신업
(주)네오리진,094860,2013/12,58,정보통신업
(주)네오리진,094860,2014/12,58,정보통신업
(주)네오리진,094860,2015/12,58,정보통신업
(주)네오리진,094860,2016/12,58,정보통신업
(주)네오리진,094860,2017/12,58,정보통신업
(주)네오리진,094860,2018/12,58,정보통신업
(주)네오리진,094860,2019/12,58,정보통신업
(주)네오리진,094860,2020/12,58,정보통신업
(주)네오리진,094860,2021/12,58,정보통신업
(주)네오셈,253590,2016/12,29,제조업
(주)네오셈,253590,2017/12,29,제조업
(주)네오셈,253590,2018/12,29,제조업
(주)네오셈,253590,2019/12,29,제조업
(주)네오셈,253590,2020/12,29,제조업
(주)네오셈,253590,2021/12,29,제조업
(주)네오오토,212560,2011/12,30,제조업
(주)네오오토,212560,2012/12,30,제조업
(주)네오오토,212560,2013/12,30,제조업
(주)네오오토,212560,2014/12,30,제조업
(주)네오오토,212560,2015/12,30,제조업
(주)네오오토,212560,2016/12,30,제조업
(주)네오오토,212560,2017/12,30,제조업
(주)네오오토,212560,2018/12,30,제조업
(주)네오오토,212560,2019/12,30,제조업
(주)네오오토,212560,2020/12,30,제조업
(주)네오오토,212560,2021/12,30,제조업
(주)네오위즈,095660,2011/12,58,정보통신업
(주)네오위즈,095660,2012/12,58,정보통신업
(주)네오위즈,095660,2013/12,58,정보통신업
(주)네오위즈,095660,2014/12,58,정보통신업
(주)네오위즈,095660,2015/12,58,정보통신업
(주)네오위즈,095660,2016/12,58,정보통신업
(주)네오위즈,095660,2017/12,58,정보통신업
(주)네오위즈,095660,2018/12,58,정보통신업
(주)네오위즈,095660,2019/12,58,정보통신업
(주)네오위즈,095660,2020/12,58,정보통신업
(주)네오위즈,095660,2021/12,58,정보통신업
(주)네오위즈홀딩스,042420,2011/12,58,정보통신업
(주)네오위즈홀딩스,042420,2012/12,58,정보통신업
(주)네오위즈홀딩스,042420,2013/12,58,정보통신업
(주)네오위즈홀딩스,042420,2014/12,58,정보통신업
(주)네오위즈홀딩스,042420,2015/12,58,정보통신업
(주)네오위즈홀딩스,042420,2016/12,58,정보통신업
(주)네오위즈홀딩스,042420,2017/12,58,정보통신업
(주)네오위즈홀딩스,042420,2018/12,58,정보통신업
(주)네오위즈홀딩스,042420,2019/12,58,정보통신업
(주)네오위즈홀딩스,042420,2020/12,58,정보통신업
(주)네오위즈홀딩스,042420,2021/12,58,정보통신업
(주)네오이뮨텍,950220,2019/12,70,"전문, 과학 및 기술 서비스업"
(주)네오이뮨텍,950220,2020/12,70,"전문, 과학 및 기술 서비스업"
(주)네오이뮨텍,950220,2021/12,70,"전문, 과학 및 기술 서비스업"
(주)네오크레마,311390,2016/12,10,제조업
(주)네오크레마,311390,2017/12,10,제조업
(주)네오크레마,311390,2018/12,10,제조업
(주)네오크레마,311390,2019/12,10,제조업
(주)네오크레마,311390,2020/12,10,제조업
(주)네오크레마,311390,2021/12,10,제조업
(주)네오티스,085910,2011/12,30,제조업
(주)네오티스,085910,2012/12,30,제조업
(주)네오티스,085910,2013/12,30,제조업
(주)네오티스,085910,2014/12,30,제조업
(주)네오티스,085910,2015/12,30,제조업
(주)네오티스,085910,2016/12,30,제조업
(주)네오티스,085910,2017/12,30,제조업
(주)네오티스,085910,2018/12,30,제조업
(주)네오티스,085910,2019/12,30,제조업
(주)네오티스,085910,2020/12,30,제조업
(주)네오티스,085910,2021/12,30,제조업
(주)네오팜,092730,2011/12,20,제조업
(주)네오팜,092730,2012/12,20,제조업
(주)네오팜,092730,2013/12,20,제조업
(주)네오팜,092730,2014/12,20,제조업
(주)네오팜,092730,2015/12,20,제조업
(주)네오팜,092730,2016/12,20,제조업
(주)네오팜,092730,2017/12,20,제조업
(주)네오팜,092730,2018/12,20,제조업
(주)네오팜,092730,2019/12,20,제조업
(주)네오팜,092730,2020/12,20,제조업
(주)네오팜,092730,2021/12,20,제조업
(주)네오퍼플,028090,2011/12,10,제조업
(주)네오퍼플,028090,2012/12,10,제조업
