,거래소코드,시가총액,회계년도
310,038500,290762481100,20111229
311,026870,290030000000,20111229
312,007690,289949738400,20111229
313,052420,288968214150,20111229
314,039030,288642773600,20111229
315,003230,286631220750,20111229
316,033660,286290802750,20111229
317,001130,285610000000,20111229
318,105630,283600000000,20111229
319,007160,283500000000,20111229
320,001520,280460910915,20111229
321,030520,280448863650,20111229
322,054620,280006038000,20111229
323,025000,279268000000,20111229
324,083650,278604000000,20111229
325,049770,276313278400,20111229
326,067280,274384500000,20111229
327,094800,274325448105,20111229
328,037710,273600000000,20111229
329,054950,271912498600,20111229
330,004360,271320000000,20111229
331,051500,269972500000,20111229
332,031440,268459380000,20111229
333,108230,265420389000,20111229
334,002960,265200000000,20111229
335,001720,265161195250,20111229
336,007340,264556273000,20111229
337,016880,263993269680,20111229
338,103130,263585294400,20111229
339,098460,263327451600,20111229
340,068760,263033285000,20111229
341,041020,261744000000,20111229
342,002320,259251302400,20111229
343,051905,257212882500,20111229
344,115160,256324958400,20111229
345,000480,256000000000,20111229
346,136480,255703746120,20111229
347,046140,253163749000,20111229
348,002000,252495483000,20111229
349,078520,251553836400,20111229
350,008040,250756984000,20111229
351,036030,250470000000,20111229
352,000140,249472723750,20111229
353,038060,249374527600,20111229
354,017390,248750000000,20111229
355,123260,247043833800,20111229
356,060280,246962100900,20111229
357,001630,245340000000,20111229
358,005990,245220000000,20111229
359,030350,244880615000,20111229
360,078020,239658400350,20111229
361,002150,237726000000,20111229
362,034810,237654000000,20111229
363,067310,237160356000,20111229
364,023890,236985000000,20111229
365,005740,235763840000,20111229
366,072710,235135953000,20111229
367,009680,234630000000,20111229
368,000815,234612000000,20111229
369,100700,234330000000,20111229
370,018000,234032560000,20111229
371,001250,233224457400,20111229
372,013030,232105605600,20111229
373,014790,232000000000,20111229
374,033530,231628666500,20111229
375,065680,230970615000,20111229
376,100130,230857720000,20111229
377,002020,230353792800,20111229
378,000400,230013500000,20111229
379,021960,229850384400,20111229
380,005420,229141171350,20111229
381,025540,228609250000,20111229
382,014100,228000000000,20111229
383,019440,227962000000,20111229
384,126560,227492585700,20111229
385,036420,226634494540,20111229
386,103590,225077967300,20111229
387,010955,223619141200,20111229
388,104830,223010000000,20111229
389,123100,222369567750,20111229
390,004430,222240000000,20111229
391,078340,221908412000,20111229
392,024720,221682032640,20111229
393,130660,220050000000,20111229
394,008560,217442633408,20111229
395,080000,216594782000,20111229
396,900180,213776980890,20111229
397,044820,213405609800,20111229
398,007660,212944933680,20111229
399,014680,211784906250,20111229
400,049550,211056300000,20111229
401,001200,210458027340,20111229
402,003120,210140000000,20111229
403,104700,209527500000,20111229
404,008970,209028002210,20111229
405,003480,208775770840,20111229
406,004840,208560000000,20111229
407,145990,206701810500,20111229
408,005720,204862410000,20111229
409,015350,204600000000,20111229
410,012650,204221568880,20111229
411,042420,203740268500,20111229
412,065650,203316668720,20111229
413,005160,202500000000,20111229
414,080160,202440000000,20111229
415,004130,201846763530,20111229
416,038290,200855881000,20111229
417,014190,200653437500,20111229
418,003720,200260000000,20111229
419,008730,198896000000,20111229
420,012510,198807090000,20111229
421,008930,197991719200,20111229
422,004970,196800000000,20111229
423,003200,196800000000,20111229
424,052260,196500000000,20111229
425,009290,196053982740,20111229
426,066700,195593149740,20111229
427,000050,195104000000,20111229
428,002620,194535000000,20111229
429,074430,194287871250,20111229
430,023000,193200000000,20111229
431,030610,192600000000,20111229
432,094190,191651632750,20111229
433,123330,190281753100,20111229
434,034830,189619411730,20111229
435,054050,189475000000,20111229
436,082850,188608069650,20111229
437,000230,188511848800,20111229
438,012320,188179200000,20111229
439,036530,188035129800,20111229
440,001725,187982783950,20111229
441,003545,187980000000,20111229
442,005810,187652249650,20111229
443,019170,187430652150,20111229
444,005680,186000000000,20111229
445,900120,186000000000,20111229
446,035600,185153419360,20111229
447,017900,185130322785,20111229
448,035810,184926009730,20111229
449,003940,184529670600,20111229
450,094840,184100000000,20111229
451,099660,183831175000,20111229
452,000300,183812820940,20111229
453,122990,183253702000,20111229
454,002880,183208938290,20111229
455,102710,183180000000,20111229
456,104480,183150000000,20111229
457,053320,183136067780,20111229
458,073110,181952534400,20111229
459,021320,181250000000,20111229
460,092230,180603616500,20111229
461,001790,179833844000,20111229
462,099220,179200000000,20111229
463,036220,178843983500,20111229
464,064760,178627500000,20111229
465,016610,178274833800,20111229
466,048260,176814900000,20111229
467,041520,176736585000,20111229
468,001270,176288062000,20111229
469,053740,175858200000,20111229
470,008490,175850517600,20111229
471,034310,175699775600,20111229
472,053030,175263159060,20111229
473,003800,174113000000,20111229
474,004710,173955835900,20111229
475,036890,173600000000,20111229
476,002030,173444801400,20111229
477,002900,173280585000,20111229
478,001210,173247077550,20111229
479,104200,173152640000,20111229
480,900040,172000000000,20111229
481,029960,171750000000,20111229
482,058470,171677220000,20111229
483,004560,171144504850,20111229
484,016450,171123439410,20111229
485,106190,170839646200,20111229
486,089470,170027000000,20111229
487,029460,169561076880,20111229
488,102940,167390899200,20111229
489,041830,166942140400,20111229
490,003090,166761111150,20111229
491,017960,166085000000,20111229
492,003460,165571051800,20111229
493,049070,165550000000,20111229
494,000155,165379450650,20111229
495,003640,165186000000,20111229
496,089850,164651435850,20111229
497,128820,163331893500,20111229
498,033240,162340200000,20111229
499,034940,162217623630,20111229
500,032620,161347312350,20111229
501,032350,161150000000,20111229
502,036000,160467968240,20111229
503,042700,159463913070,20111229
504,047560,158637885000,20111229
505,101680,158415400000,20111229
506,007810,157930401900,20111229
507,097780,157587548700,20111229
508,052400,155631407600,20111229
509,004380,155400000000,20111229
510,084010,154592019680,20111229
511,003560,154489256670,20111229
512,005290,154281383080,20111229
513,089530,154279879020,20111229
514,092200,153853000000,20111229
515,065060,153620738280,20111229
516,015360,153000000000,20111229
517,091690,152807561100,20111229
518,092600,152346250000,20111229
519,012610,151312500000,20111229
520,036560,151200000000,20111229
521,018120,150480000000,20111229
522,011370,150333348850,20111229
523,138490,149640000000,20111229
524,010460,148562138400,20111229
525,015590,148071402450,20111229
526,053660,147852000000,20111229
527,016250,147840000000,20111229
528,017040,147564579075,20111229
529,001780,147385340670,20111229
530,088390,147059096300,20111229
531,035000,146290221470,20111229
532,126880,145600000000,20111229
533,087220,144300000000,20111229
534,117580,144100000000,20111229
535,084690,143944838550,20111229
536,009160,143388680250,20111229
537,121600,142836384500,20111229
538,086520,142835298750,20111229
539,001060,142769339250,20111229
540,016100,142619160150,20111229
541,036580,142424720000,20111229
542,043650,142330682880,20111229
543,030190,141769104700,20111229
544,002390,141520000000,20111229
545,092440,141474000000,20111229
546,071660,141374445680,20111229
547,035900,141228438300,20111229
548,084990,140897275400,20111229
549,014820,140494829300,20111229
550,086900,139716414500,20111229
551,004890,139449862500,20111229
552,064260,139233996330,20111229
553,060720,139040000000,20111229
554,002450,138240597320,20111229
555,005980,137740617300,20111229
556,006370,137434459700,20111229
557,025770,137397110220,20111229
558,011930,136512351000,20111229
559,060590,136051732700,20111229
560,031390,135956630280,20111229
561,900080,135800000000,20111229
562,047310,135176925060,20111229
563,005390,135085886600,20111229
564,079430,134986103000,20111229
565,011040,132617250000,20111229
566,052330,132431457600,20111229
567,080420,130442751250,20111229
568,007210,130264000000,20111229
569,131290,129898211400,20111229
570,105840,128898000000,20111229
571,036210,127900846415,20111229
572,900150,127548571740,20111229
573,073490,126952875000,20111229
574,095500,126927954850,20111229
575,083930,126429469400,20111229
576,005010,126264760250,20111229
577,071970,126218000000,20111229
578,025900,126125025180,20111229
579,065510,125628670700,20111229
580,089030,125209696000,20111229
581,083790,125102082560,20111229
582,950070,124950000000,20111229
583,100840,124689171200,20111229
584,102280,124672815000,20111229
585,086450,124488000000,20111229
586,017810,123795587500,20111229
587,032190,123343500000,20111229
588,091090,122612123305,20111229
589,067990,122591059500,20111229
590,030210,122437606760,20111229
591,002780,122329990222,20111229
592,005389,122304055650,20111229
593,007820,122231200000,20111229
594,001940,121944108000,20111229
595,052790,121795960000,20111229
596,027580,121617100000,20111229
597,065940,121000000000,20111229
598,061460,120831157720,20111229
599,038390,120682194000,20111229
600,085310,120635082600,20111229
601,008600,120192280000,20111229
602,011785,120183568500,20111229
603,102460,119970000000,20111229
604,138690,119880000000,20111229
605,065620,119309471590,20111229
606,031980,118549955580,20111229
607,003070,118475251405,20111229
608,052270,118360521840,20111229
609,021820,118000000000,20111229
610,012700,117696612000,20111229
611,038990,117217357600,20111229
612,024090,117000000000,20111229
613,040300,115920000000,20111229
614,036090,115568753125,20111229
615,115480,115556905800,20111229
616,016710,114878737260,20111229
617,101390,114187072380,20111229
618,006220,114184473840,20111229
619,009200,114009509400,20111229
620,900090,114000000000,20111229
621,000020,113960397600,20111229
622,096760,113919810785,20111229
623,007200,113575000000,20111229
624,029480,113428004284,20111229
625,013580,112975973550,20111229
626,119500,112861359000,20111229
627,038880,112516798440,20111229
628,026180,112494992550,20111229
629,011280,112227414900,20111229
