회사명,거래소코드,회계년도,통계청 한국표준산업분류 코드 10차(대분류),통계청 한국표준산업분류 10차(대분류)
(주)경동도시가스,267290,2018/12,35,"전기, 가스, 증기 및 공기조절 공급업"
(주)경동도시가스,267290,2019/12,35,"전기, 가스, 증기 및 공기조절 공급업"
(주)경동도시가스,267290,2020/12,35,"전기, 가스, 증기 및 공기조절 공급업"
(주)경동도시가스,267290,2021/12,35,"전기, 가스, 증기 및 공기조절 공급업"
(주)경동인베스트,012320,2011/12,64,금융 및 보험업
(주)경동인베스트,012320,2012/12,64,금융 및 보험업
(주)경동인베스트,012320,2013/12,64,금융 및 보험업
(주)경동인베스트,012320,2014/12,64,금융 및 보험업
(주)경동인베스트,012320,2015/12,64,금융 및 보험업
(주)경동인베스트,012320,2016/12,64,금융 및 보험업
(주)경동인베스트,012320,2017/12,64,금융 및 보험업
(주)경동인베스트,012320,2018/12,64,금융 및 보험업
(주)경동인베스트,012320,2019/12,64,금융 및 보험업
(주)경동인베스트,012320,2020/12,64,금융 및 보험업
(주)경동인베스트,012320,2021/12,64,금융 및 보험업
(주)경방,000050,2011/12,47,도매 및 소매업
(주)경방,000050,2012/12,47,도매 및 소매업
(주)경방,000050,2013/12,47,도매 및 소매업
(주)경방,000050,2014/12,47,도매 및 소매업
(주)경방,000050,2015/12,47,도매 및 소매업
(주)경방,000050,2016/12,47,도매 및 소매업
(주)경방,000050,2017/12,47,도매 및 소매업
(주)경방,000050,2018/12,47,도매 및 소매업
(주)경방,000050,2019/12,47,도매 및 소매업
(주)경방,000050,2020/12,47,도매 및 소매업
(주)경방,000050,2021/12,47,도매 및 소매업
(주)경보제약,214390,2011/12,21,제조업
(주)경보제약,214390,2012/12,21,제조업
(주)경보제약,214390,2013/12,21,제조업
(주)경보제약,214390,2014/12,21,제조업
(주)경보제약,214390,2015/12,21,제조업
(주)경보제약,214390,2016/12,21,제조업
(주)경보제약,214390,2017/12,21,제조업
(주)경보제약,214390,2018/12,21,제조업
(주)경보제약,214390,2019/12,21,제조업
(주)경보제약,214390,2020/12,21,제조업
(주)경보제약,214390,2021/12,21,제조업
(주)경인양행,012610,2011/12,20,제조업
(주)경인양행,012610,2012/12,20,제조업
(주)경인양행,012610,2013/12,20,제조업
(주)경인양행,012610,2014/12,20,제조업
(주)경인양행,012610,2015/12,20,제조업
(주)경인양행,012610,2016/12,20,제조업
(주)경인양행,012610,2017/12,20,제조업
(주)경인양행,012610,2018/12,20,제조업
