회사명,거래소코드,회계년도,자본금회전률(IFRS),유형자산회전율(IFRS),재고자산회전률(IFRS),자기자본회전률(IFRS),타인자본회전률(IFRS),총자본회전률(IFRS),자본금회전률(IFRS연결),유형자산회전율(IFRS연결),재고자산회전률(IFRS연결),자기자본회전률(IFRS연결),타인자본회전률(IFRS연결),총자본회전률(IFRS연결)
(주)STX,011810,2019/12,25.1,34.52,13.85,21.94,3.11,2.72,29.83,17.88,11.85,24.45,2.96,2.64
(주)STX,011810,2020/12,15.99,16.97,11.91,20.62,2.11,1.91,19.78,6.9,8.84,14.14,1.88,1.66
(주)STX,011810,2021/12,10.72,12.72,15.74,15.08,1.95,1.72,15.31,4.23,8.65,9.06,1.7,1.43
(주)TCC스틸,002710,2011/12,29.48,6.18,6.58,2.24,2.5,1.18,33.19,6.24,6.96,2.28,2.46,1.18
(주)TCC스틸,002710,2012/12,26.7,6,5.78,2.12,2.04,1.04,30.38,4.39,5.56,2.22,1.82,1
(주)TCC스틸,002710,2013/12,23.97,5.87,6.05,2,1.81,0.95,28.62,3.33,4.6,2.32,1.52,0.92
(주)TCC스틸,002710,2014/12,21.69,5.73,6.59,1.91,1.65,0.89,28.05,3.37,4.3,2.63,1.48,0.95
(주)TCC스틸,002710,2015/12,16.94,5.86,6.68,2.44,1.39,0.88,23.98,4.44,5.72,3.61,1.52,1.07
(주)TCC스틸,002710,2016/12,14.2,6.72,7,3.75,1.54,1.09,19.89,6.51,8.82,4.69,1.89,1.35
(주)TCC스틸,002710,2017/12,14.94,7.48,7.18,3.66,2.1,1.34,17.52,6.33,7.48,3.83,2.19,1.39
(주)TCC스틸,002710,2018/12,15.72,7.92,6.37,3.74,2.14,1.36,18.49,7.2,6.78,3.88,2.23,1.42
(주)TCC스틸,002710,2019/12,15.19,7.51,5.23,3.47,1.98,1.26,19.57,7.59,6.17,3.82,2.24,1.41
(주)TCC스틸,002710,2020/12,14.27,6.92,5.5,3.3,1.93,1.22,19.05,7.17,6.81,3.63,2.25,1.39
(주)TCC스틸,002710,2021/12,17.54,8.5,6.88,3.61,2.37,1.43,23.08,8.62,8.33,3.88,2.7,1.59
(주)강원랜드,035250,2011/12,11.81,1,599.11,0.58,2.63,0.47,11.83,0.99,600.07,0.58,2.63,0.48
(주)강원랜드,035250,2012/12,12.09,0.98,750.25,0.55,2.63,0.46,12.12,0.97,752.16,0.56,2.62,0.46
(주)강원랜드,035250,2013/12,12.68,1.02,1007.39,0.55,2.44,0.45,12.73,0.99,1010.64,0.56,2.43,0.45
(주)강원랜드,035250,2014/12,13.95,1.14,1106.13,0.57,2.4,0.46,13.99,1.08,1109.28,0.57,2.39,0.46
(주)강원랜드,035250,2015/12,15.25,1.29,1154.03,0.57,2.41,0.46,15.27,1.19,1155.97,0.57,2.4,0.46
(주)강원랜드,035250,2016/12,15.84,1.35,1156.25,0.54,2.4,0.44,15.86,1.27,1157.58,0.54,2.39,0.44
(주)강원랜드,035250,2017/12,14.98,1.28,1228.69,0.47,2.28,0.39,15,1.23,1229.89,0.48,2.27,0.39
(주)강원랜드,035250,2018/12,13.42,1.13,1175.54,0.41,2.17,0.34,13.44,1.1,1174.68,0.41,2.16,0.34
(주)강원랜드,035250,2019/12,14.19,1.14,635.66,0.42,2.23,0.35,14.21,1.13,635.31,0.42,2.23,0.35
(주)강원랜드,035250,2020/12,4.46,0.35,165,0.14,0.86,0.12,4.47,0.35,165.13,0.14,0.86,0.12
(주)강원랜드,035250,2021/12,7.36,0.6,283.36,0.24,1.64,0.21,7.37,0.59,283.39,0.24,1.63,0.21
(주)갤럭시아에스엠,011420,2011/12,3.25,93.44,0,1.35,2.17,0.83,4.82,63.45,2342.1,1.87,2.39,1.05
(주)갤럭시아에스엠,011420,2012/12,3.81,147.22,0,1.51,2.4,0.92,5.61,16.25,1468.49,2.12,3.05,1.25
(주)갤럭시아에스엠,011420,2013/12,3.15,123.06,0,1.3,2.31,0.83,4.73,14.33,566.87,1.96,2.71,1.14
(주)갤럭시아에스엠,011420,2014/12,3.37,154.29,163.36,1.44,2.29,0.88,4.47,14.28,138.2,1.96,2.3,1.06
(주)갤럭시아에스엠,011420,2015/12,4.56,179.64,266.03,1.45,3.2,1,5.3,20.96,240.27,1.71,3.05,1.1
(주)갤럭시아에스엠,011420,2016/12,3.32,101.82,0,0.96,3.32,0.74,3.82,19.16,9330.64,1.11,3.23,0.83
(주)갤럭시아에스엠,011420,2017/12,2.68,90.4,0,0.87,3.8,0.7,2.71,25.25,0,0.87,3.25,0.69
(주)갤럭시아에스엠,011420,2018/12,1.6,73.41,0,0.65,2.94,0.54,1.6,71.66,0,0.66,2.74,0.53
(주)갤럭시아에스엠,011420,2019/12,2.09,75.26,0,1.18,4.43,0.93,2.09,75.26,0,1.19,4.35,0.93
(주)갤럭시아에스엠,011420,2020/12,1.42,11.89,0,0.92,2.74,0.69,,,,,,
(주)갤럭시아에스엠,011420,2021/12,2.1,9.3,13.01,1.07,3.68,0.83,,,,,,
(주)경농,002100,2011/12,11.13,2.52,1.71,0.82,2.97,0.64,11.18,2.45,1.73,0.85,3.94,0.7
(주)경농,002100,2012/12,12.08,2.66,1.88,0.88,3.17,0.69,12.63,1.47,1.34,0.9,1.16,0.51
(주)경농,002100,2013/12,12.84,2.61,1.99,0.89,2.67,0.67,18.1,2.02,1.95,1.25,1.87,0.75
(주)경농,002100,2014/12,12.43,2.33,1.92,0.81,2.36,0.6,17.38,1.71,1.91,1.14,1.81,0.7
(주)경농,002100,2015/12,12.69,2.26,1.78,0.8,1.79,0.55,18.11,1.63,1.84,1.14,1.53,0.65
(주)경농,002100,2016/12,13.2,2.35,1.65,0.82,1.57,0.54,18.81,1.6,1.76,1.14,1.46,0.64
(주)경농,002100,2017/12,13.2,2.35,1.58,0.8,1.63,0.53,19.04,1.51,1.75,1.1,1.47,0.63
(주)경농,002100,2018/12,13.48,2.27,1.6,0.79,1.59,0.53,19.61,1.5,1.77,1.08,1.42,0.61
(주)경농,002100,2019/12,13.95,2.29,1.57,0.8,1.48,0.52,20.98,1.61,1.79,1.13,1.4,0.62
(주)경농,002100,2020/12,15.27,2.6,1.59,0.85,1.59,0.56,22.89,1.8,1.83,1.2,1.51,0.67
(주)경농,002100,2021/12,16.11,2.38,1.71,0.85,1.74,0.57,24.92,1.95,1.97,1.21,1.73,0.71
(주)경동나비엔,009450,2011/12,24.98,4.64,8.48,2.27,4.35,1.49,26.79,3.44,6.36,2.08,3.94,1.36
(주)경동나비엔,009450,2012/12,26.79,4.34,9.04,2.31,3.72,1.43,29.75,3.39,6.3,2.2,3.46,1.35
(주)경동나비엔,009450,2013/12,29.17,3.17,10.42,2.37,3.07,1.34,32.51,2.72,6.31,2.28,2.84,1.27
(주)경동나비엔,009450,2014/12,30.02,2.71,9.76,2.32,2.52,1.21,33.67,2.29,5.53,2.27,2.26,1.13
(주)경동나비엔,009450,2015/12,35.19,3.35,11.18,2.54,2.96,1.37,40.19,2.65,6,2.59,2.51,1.27
(주)경동나비엔,009450,2016/12,39.73,3.71,12.59,2.56,3.65,1.51,45.78,2.92,6.58,2.62,3.01,1.4
(주)경동나비엔,009450,2017/12,44.73,4.04,11.61,2.64,3.71,1.54,53.74,3.22,6.83,2.76,3.12,1.47
(주)경동나비엔,009450,2018/12,48.52,4.1,9.37,2.67,3.35,1.49,57.05,3.09,5.58,2.71,2.64,1.34
(주)경동나비엔,009450,2019/12,51.45,4.05,9.28,2.65,3.22,1.45,60.78,2.93,5.37,2.66,2.53,1.3
(주)경동나비엔,009450,2020/12,56.66,4.19,9.18,2.78,3.24,1.5,66.31,3,5.53,2.69,2.51,1.3
(주)경동나비엔,009450,2021/12,67.52,4.69,8.43,2.96,3.39,1.58,78.3,3.31,5.01,2.76,2.54,1.32
(주)경동도시가스,267290,2017/12,,,,,,,,,,,,
(주)경동도시가스,267290,2018/12,136.16,5.01,1235.48,5.04,3.51,2.07,136.23,5.04,1332.77,5.23,3.68,2.16
(주)경동도시가스,267290,2019/12,107.18,4.4,1080.02,4.33,3.28,1.87,107.25,4.4,1080.65,4.31,3.28,1.86
(주)경동도시가스,267290,2020/12,73.69,3.36,843.12,3.14,2.89,1.5,73.74,3.35,843.75,3.12,2.89,1.5
(주)경동도시가스,267290,2021/12,98.81,4.52,1098.16,4,3.35,1.82,98.87,4.5,1033.73,3.88,2.75,1.61
(주)경동인베스트,012320,2011/12,108.6,7.01,2067.76,4.64,3.93,2.13,111.09,6.37,232.61,4.71,3.57,2.03
(주)경동인베스트,012320,2012/12,137.96,8.82,2515.82,5.45,3.92,2.28,143.63,8.28,186.64,5.86,3.69,2.26
(주)경동인베스트,012320,2013/12,152.9,9.29,2907.82,5.41,3.96,2.29,160.02,8.93,162.88,5.9,3.79,2.31
(주)경동인베스트,012320,2014/12,137.71,8.09,2705.46,4.45,4.05,2.12,149.4,6.86,162.47,4.71,3.67,2.06
(주)경동인베스트,012320,2015/12,77.62,4.38,1371,2.44,2.95,1.33,92.07,3.51,120.01,2.71,2.46,1.29
(주)경동인베스트,012320,2016/12,58.6,3.2,1033.82,1.85,2.81,1.12,67.83,2.44,122.5,2.03,2.09,1.03
(주)경동인베스트,012320,2017/12,0.04,0,1.2,0,0,0,13.34,0.58,15.49,0.39,0.53,0.23
(주)경동인베스트,012320,2018/12,0.63,0.68,169.75,0.02,0.9,0.02,19.34,1.29,10.18,0.57,1.16,0.38
(주)경동인베스트,012320,2019/12,0.73,1.16,65.34,0.03,1.04,0.03,22.98,1.57,8.84,0.67,1.41,0.45
(주)경동인베스트,012320,2020/12,0.65,2.78,45.58,0.03,1.59,0.02,26.26,1.97,9.88,0.73,1.78,0.52
(주)경동인베스트,012320,2021/12,0.75,2.6,61.49,0.03,6.7,0.03,25.24,2.14,9.11,0.69,2.01,0.51
(주)경방,000050,2011/12,26.51,0.91,4.96,0.41,0.43,0.21,33.47,1.15,6.11,0.55,0.49,0.26
(주)경방,000050,2012/12,25.52,0.87,4.36,0.39,0.41,0.2,32.08,1.05,5.3,0.53,0.46,0.25
(주)경방,000050,2013/12,23.16,0.91,6.16,0.39,0.44,0.21,30.37,1.1,7.46,0.55,0.51,0.26
(주)경방,000050,2014/12,19.64,0.93,7.32,0.38,0.43,0.2,25.15,1.07,8.44,0.51,0.5,0.25
(주)경방,000050,2015/12,22.45,1.17,8.52,0.47,0.51,0.24,26.09,1.13,7.89,0.55,0.55,0.27
(주)경방,000050,2016/12,22.9,1.24,8.81,0.46,0.55,0.25,27.54,1.18,7.65,0.56,0.59,0.29
(주)경방,000050,2017/12,21.02,1.21,10.27,0.41,0.56,0.24,26.32,1.15,9.28,0.52,0.6,0.28
(주)경방,000050,2018/12,20.36,1.26,9.62,0.39,0.57,0.23,25.64,1.18,7.66,0.5,0.6,0.27
(주)경방,000050,2019/12,18.5,1.82,10.24,0.34,0.48,0.2,25.09,1.59,7.55,0.47,0.56,0.26
(주)경방,000050,2020/12,16.49,4.26,24.37,0.3,0.45,0.18,24.02,2.36,11.37,0.44,0.57,0.25
(주)경방,000050,2021/12,19.82,7.47,36.24,0.36,0.6,0.22,27.97,3.16,8.99,0.51,0.74,0.3
(주)경보제약,214390,2011/12,,,,,,,,,,,,
(주)경보제약,214390,2012/12,,,,,,,,,,,,
(주)경보제약,214390,2013/12,15.08,3.7,5.04,2.45,2.1,1.13,,,,,,
(주)경보제약,214390,2014/12,15.78,3.43,4.51,2.52,1.92,1.09,,,,,,
(주)경보제약,214390,2015/12,15.68,2.74,3.84,1.86,2.07,0.98,,,,,,
(주)경보제약,214390,2016/12,15.62,2.35,3.85,1.48,2.54,0.94,,,,,,
(주)경보제약,214390,2017/12,16.03,2.36,4.01,1.41,2.78,0.94,,,,,,
(주)경보제약,214390,2018/12,16.84,2.6,3.97,1.39,2.96,0.94,,,,,,
(주)경보제약,214390,2019/12,16.04,2.33,3.31,1.29,2.38,0.83,,,,,,
(주)경보제약,214390,2020/12,18.01,2.44,3.46,1.41,2.32,0.88,,,,,,
(주)경보제약,214390,2021/12,14.28,1.86,2.85,1.13,1.81,0.7,,,,,,
(주)경인양행,012610,2011/12,6.86,1.87,2.49,0.81,1.43,0.52,12.43,1.72,2.53,1.32,1.61,0.73
(주)경인양행,012610,2012/12,7.54,2.07,3.13,0.88,1.7,0.58,11.66,1.68,2.64,1.24,1.71,0.72
(주)경인양행,012610,2013/12,9.4,2.62,3.68,1.08,2.09,0.71,13.39,2.07,3.24,1.43,2.18,0.86
(주)경인양행,012610,2014/12,9.43,2.54,3.22,1.04,2.15,0.7,13.72,2.11,3.07,1.43,2.29,0.88
(주)경인양행,012610,2015/12,8.66,2.27,2.92,0.94,2.07,0.65,13.03,1.94,2.84,1.32,2.19,0.82
(주)경인양행,012610,2016/12,8.88,2.33,2.79,0.95,1.92,0.64,13.61,2.01,2.82,1.34,2.1,0.82
(주)경인양행,012610,2017/12,9.6,2.36,2.98,1.02,1.89,0.66,14.85,2.09,3.05,1.43,2.12,0.85
(주)경인양행,012610,2018/12,11.02,2.51,2.97,1.14,1.76,0.69,16.39,2.17,3,1.52,1.97,0.86
(주)경인양행,012610,2019/12,12.08,2.33,2.62,1.23,1.5,0.68,17.68,2.05,2.71,1.56,1.69,0.81
(주)경인양행,012610,2020/12,10.45,1.68,2.43,1.09,1.14,0.56,16.05,1.6,2.63,1.41,1.29,0.67
(주)경인양행,012610,2021/12,13.34,1.99,3.23,1.38,1.23,0.65,19.47,1.81,3.28,1.68,1.33,0.74
(주)광명전기,017040,2011/12,2.87,5.25,6.57,1.06,1.41,0.61,4.58,4.41,7.08,1.5,1.58,0.77
(주)광명전기,017040,2012/12,3.66,6.86,7.25,1.41,1.72,0.78,5.41,6.04,8.04,1.86,1.82,0.92
(주)광명전기,017040,2013/12,4.17,7.89,7.17,1.56,1.93,0.86,5.44,6.63,7.68,1.77,1.98,0.94
(주)광명전기,017040,2014/12,5.34,9.68,8.71,1.8,2.39,1.03,6.22,7.73,8.59,1.81,2.43,1.04
(주)광명전기,017040,2015/12,4.29,7.42,7.39,1.34,2.1,0.82,5.37,6.53,7.76,1.4,2.25,0.86
(주)광명전기,017040,2016/12,4.47,7.91,9.89,1.23,2.57,0.83,4.47,5.26,8.74,1.04,2.1,0.7
(주)광명전기,017040,2017/12,4.85,7.63,11.61,1.22,2.55,0.83,4.69,3.79,10.58,1.04,1.94,0.68
(주)광명전기,017040,2018/12,4.47,5.29,9.63,1.12,2.44,0.77,5.27,3.09,10.73,1.17,2.09,0.75
(주)광명전기,017040,2019/12,5.77,5.95,13.39,1.37,3.03,0.94,6.09,4.03,13.74,1.29,2.53,0.85
(주)광명전기,017040,2020/12,5.19,5.06,11.22,1.17,2.32,0.78,5.7,4.45,11.94,1.15,2.3,0.77
(주)광명전기,017040,2021/12,5.66,5.21,8.35,1.22,2.5,0.82,6.33,4.7,9.04,1.22,2.47,0.82
(주)광주신세계,037710,2011/12,27.45,2.28,50.86,0.77,3.19,0.62,,,,,,
(주)광주신세계,037710,2012/12,26.73,2,44.6,0.64,3.06,0.53,,,,,,
(주)광주신세계,037710,2013/12,25.83,1.78,45.64,0.54,1.3,0.38,,,,,,
(주)광주신세계,037710,2014/12,25.6,1.81,44.86,0.48,0.91,0.31,,,,,,
(주)광주신세계,037710,2015/12,25.67,1.83,41.78,0.44,1.1,0.31,,,,,,
(주)광주신세계,037710,2016/12,26.3,1.9,39.81,0.41,1.45,0.32,,,,,,
(주)광주신세계,037710,2017/12,26.21,1.92,38.67,0.38,2.13,0.32,,,,,,
