,회사명,거래소코드,회계년도,산업군,target_3,EBIT/총자산,현금흐름 대 자산,순운전자본비율,누적수익성비율,abs(영업현금흐름-당기순이익)/매출액,금융비용부담률,당기전기영업손익,총자본증가율,TMD
72,(주)나노,187790,2019,제조업,0,-0.0148466694430758,-0.060451104325182,-0.4141199369933273,-0.0369675236845677,-0.2152888640346452,0.1916909222015045,-0.3934414746389494,-0.0603882298087308,0.0254446260812168
73,(주)나노,187790,2020,제조업,0,-0.2976887331114955,0.6637968488264138,-0.0304411028903055,-0.1537142918384395,0.9110719734320452,0.1028463850631117,-0.510488703564604,-0.5247227441585952,0.3227979465513141
74,(주)나노,187790,2021,제조업,0,-1.2836074599570122,-0.2202869457197134,-0.4346446028383551,-0.4648217245883074,0.5324441050738825,0.023606662750491,-0.4584047736274877,-1.5896850047745754,-0.1237390054692676
75,(주)나노브릭,286750,2020,제조업,0,-0.0514739419972273,0.5332545104785811,0.1195213749773982,-2.121549847312504,0.3012334279790364,0.0332114775762633,-0.4759946526560502,-0.6791196095001737,-0.5497709500774716
76,(주)나노브릭,286750,2021,제조업,0,-0.3890544122004328,-1.296182693370247,-0.2813716949956468,-1.689692610504113,-0.341410369902043,0.6383148115999119,-0.4796318818789054,1.4479423587410314,-0.2633265980967227
77,(주)나노신소재,121600,2019,제조업,0,0.3246431094460321,0.823241167343876,1.6625127863269964,0.6471843134035913,-0.0161738942505948,-0.3653883376932831,-0.0186577979134266,-0.1977078901210616,-0.5797524334216165
78,(주)나노신소재,121600,2020,제조업,0,-0.0018398289056941,0.4618315814322501,1.255660942398943,0.6055273531368118,0.043721279320223,-0.36298713398684,-0.2358778972390299,-0.1551903617541145,-0.5855486534971623
79,(주)나노신소재,121600,2021,제조업,0,0.2753851573155122,0.5183264264425741,1.2520194694264382,0.5985010252087,-0.2208668293248503,-0.2813462079677763,-0.2186457784618959,0.1713248212140647,-0.5895406919639411
80,(주)나무가,190510,2019,제조업,0,0.0449737007985982,0.1648799955600812,-1.0556812661491997,-0.5195455773483462,-0.2816304466793821,-0.1636872263520668,-0.2980387409247125,1.9749743991592783,-0.0468520624499165
81,(주)나무가,190510,2020,제조업,0,-0.3204175238970203,-0.495776585071844,-1.4059247575046758,-0.6089703724203649,-0.3337681949167759,-0.2141125041873709,-0.4208399472275069,-0.528981894434989,-0.0063006779237823
82,(주)나무가,190510,2021,제조업,0,1.0112875602594198,1.0376254845397272,-1.0950753828517532,-0.4479200777646474,-0.322669924391156,-0.1780944485907251,0.1844009581264696,-0.5144755166257323,-0.2170289599745058
83,(주)나스미디어,89600,2019,"전문, 과학 및 기술 서비스업",0,0.4963837558168834,0.5553263127857984,0.2562421329450842,0.2322242352269276,-0.1282971513624181,-0.3677895413997261,1.2219056872687968,0.3087558233321432,-0.1813141987834134
84,(주)나스미디어,89600,2020,"전문, 과학 및 기술 서비스업",0,0.373690646908786,0.7685636120340397,0.6048304093130582,0.224258974776224,0.2356293764337824,-0.5358738008507397,1.2821882896344805,0.3428172032229896,-0.1013074973236522
85,(주)나스미디어,89600,2021,"전문, 과학 및 기술 서비스업",0,0.3969085357718783,0.5526781158720198,0.499558736107915,0.2252413651698177,0.0263826202759891,-0.4782449118961064,1.3512360181601593,0.2608517174090594,-0.0867916257165768
86,(주)나이벡,138610,2019,제조업,0,-0.3986822778080697,-0.6405375487258554,0.592912861403042,-1.6879783995409117,0.1953983235801337,0.6767340709030008,-0.5629303937531486,1.8430134443898567,-0.5607478905661283
87,(주)나이벡,138610,2020,제조업,0,-0.646248717673482,-0.4866832957668096,1.1301956463462723,-1.3605678924889877,1.0185146917208407,0.1364632369533144,-0.551303185581726,1.4258848579287522,-0.5768185634299
88,(주)나이벡,138610,2021,제조업,0,-0.2502942150758929,-0.2293226191735776,0.7243369314107206,-1.5852023725002444,0.9848384478595475,2.8114041659308726,-0.5855289163017084,-0.3092187242787872,-0.5521496726000795
89,(주)나이스디앤비,130580,2019,"사업시설 관리, 사업 지원 및 임대 서비스업",0,1.0315251337480555,1.3828432598625588,0.9587153736410392,0.7103106745178966,-0.2883811890376761,-0.502256948960537,0.2594113575092884,1.077128920116046,-0.517705680547462
90,(주)나이스디앤비,130580,2020,"사업시설 관리, 사업 지원 및 임대 서비스업",0,1.0104417373182928,1.797900868365203,1.0934498736237224,0.780537781019899,-0.1238839486950387,-0.4638376896574481,0.3686773009663754,0.0714034763847759,-0.5308213027585771
91,(주)나이스디앤비,130580,2021,"사업시설 관리, 사업 지원 및 임대 서비스업",0,1.0457717342077024,1.547779762272344,1.1315198183362742,0.7936152042152097,-0.1992703820182998,-0.4422268562994607,0.4920747743548838,0.3452389628798994,-0.5074209276008513
92,(주)나인테크,267320,2021,제조업,0,-0.6214085987190646,-1.4721373806429736,-0.4386171188083606,-0.4136802225354827,-0.2483058507234791,0.1724812925499601,-0.5623043133131489,0.0879218433695215,-0.4010375797931287
93,(주)내츄럴엔도텍,168330,2019,"전문, 과학 및 기술 서비스업",0,-1.728655938021604,-1.6490353008250622,0.3254301194226783,-1.2273776173475748,3.9348095801958847,8.353382320401433,-1.169781220238553,-1.051809137241584,-0.3739569448518723
94,(주)내츄럴엔도텍,168330,2020,"전문, 과학 및 기술 서비스업",0,-0.2186936578918835,-0.8951856596499365,-1.280459461452005,-1.253082113355486,-0.2572928597972655,4.129665000768107,-0.7741281955130407,-0.1737973847822864,-0.1968258903429582
95,(주)내츄럴엔도텍,168330,2021,"전문, 과학 및 기술 서비스업",0,-0.9049979341544256,-1.1843517260679697,0.4747305112953813,-1.4432867592250436,0.2248737414034088,1.221807312265573,-0.6185621128502631,-0.3264174592854129,-0.5838392467917796
96,(주)네오리진,94860,2019,정보통신업,0,-0.9463570887640386,0.872343964272011,0.940839051776015,-1.4779788877294742,0.7388066719897789,-0.2309209301324722,-0.4482086064617786,-0.4758300772707962,-0.5776136254860982
97,(주)네오리진,94860,2020,정보통신업,0,-1.0002994316625005,-1.1659075813016009,0.6707079658156476,-2.040308228550649,-0.0868544320886113,-0.3005558376193207,-0.475905212593193,-0.996336635772186,-0.5985922763812237
98,(주)네오리진,94860,2021,정보통신업,0,-0.3867782904347567,-0.7740493124610912,1.2377846205339187,-0.7566253752527274,-0.3551063373784564,0.2253077740917072,-0.5567888427702946,12.604194940503932,-0.5545244001596102
99,(주)네오셈,253590,2020,제조업,0,1.1600087773409573,1.8551317949087047,0.8498022274633912,0.5670750129119995,-0.0336183951305127,-0.2525317634904597,-0.17425369393049,-0.3317945884883506,-0.5135152703368082
100,(주)네오셈,253590,2021,제조업,0,0.296292846763203,-0.9226288762080648,1.2662543183189572,0.4306870526375544,0.4050998333760495,0.0884391628244534,0.0697089841893853,1.075137354245346,-0.4369721030632261
101,(주)네오오토,212560,2019,제조업,0,0.1104521478300847,0.6409668285207146,-0.4611280426383912,0.5358118868850824,-0.09396511299565,-0.1324715781683071,-0.3369749816218355,-0.3591651486878091,0.4504793183928424
