,회사명,거래소코드,회계년도,산업군,target_3,총자본정상영업이익률,누적수익성비율,TMD,금융비용부담률,자기자본순이익률,총자본증가율,정상영업이익증가율
393,(주)신흥,4080,2021,도매 및 소매업,0.0,0.9613381549650736,1.231510957362381,-0.5151447675588996,-0.3487448390333096,0.3678360566329825,-0.581970511332462,0.9865746771107808
394,(주)쌍방울,102280,2019,제조업,0.0,-1.2139892542892157,-0.9810640356046422,-0.2285840703076,0.4592101148414272,-0.6097040779239469,-0.885017632656433,-6.357822458843668
395,(주)쌍방울,102280,2020,제조업,0.0,-0.7619262016594798,-1.1593762062872914,-0.3260017244652031,0.7518876746633982,-0.2831783169912661,-0.1145577002524056,0.2499937277069776
396,(주)쌍방울,102280,2021,제조업,0.0,-0.8071325069224533,-1.2972049076101888,-0.3576764848500075,-0.8475333564763871,-0.2805591263955494,0.4515582556060249,-0.3079137376916875
397,(주)쎌마테라퓨틱스,15540,2019,"사업시설 관리, 사업 지원 및 임대 서비스업",0.0,-13.873562980132338,-11.294262152720467,-0.4980034940544122,18.54750775566972,-21.109817849421184,-1.4963490268676003,-0.2134824820694631
398,(주)쎌마테라퓨틱스,15540,2020,"사업시설 관리, 사업 지원 및 임대 서비스업",0.0,-7.908138937630345,-7.784325763718895,-0.4913326491684904,10.645213640476502,-28.82246109027493,6.380750736246591,0.0402664088807901
399,(주)쎌마테라퓨틱스,15540,2021,"사업시설 관리, 사업 지원 및 임대 서비스업",0.0,-3.5846079022795503,-9.854743795148591,-0.5415797174036149,11.552101854009372,-2.4352799231384803,-1.226134541018719,0.1254199242485592
400,(주)씨아이테크,4920,2019,제조업,0.0,-1.8342197624972127,-2.6654966405980938,-0.296363739623188,-0.1302672239549369,-0.501444199967657,1.4601306295055192,-0.2280795832362251
401,(주)씨아이테크,4920,2020,제조업,0.0,-1.3930062231305909,-1.8533803178360613,-0.0413707958088225,0.3479101977260298,-0.4720510610601697,1.6539168600536829,0.0247262558224325
402,(주)씨아이테크,4920,2021,제조업,0.0,-0.4906883700816382,-2.0942790931354502,-0.4346804086776046,0.3767657317929846,-0.4999890940811477,0.0533939135112868,0.4023794756454837
403,(주)아모레퍼시픽,90430,2019,제조업,0.0,0.6665930446504856,1.253013022513076,-0.5484096582533117,-0.3528670581857318,0.1190129500398969,0.3731981414756313,-0.0737493900367806
