,회사명,거래소코드,회계년도,차입금의존도,부채비율,순운전자본비율,산업군,총자본정상영업이익률,자기자본순이익률,총자본순이익률,매출액총이익률,금융비용부담률,자본금회전률,유형자산회전율,재고자산회전률,자기자본회전률,타인자본회전률,총자본회전률,외국인지분율,대주주지분율,유형자산증가율,매출액증가율,자기자본증가율,총자본증가율,정상영업이익증가율,업력,누적수익성비율,이자부담률,부채상환계수,현금흐름 대 자산,현금흐름 대 매출액,TMD,시총/총자산,EBIT/총자산,당기전기영업손익,FINDEP,EBITDA마진율,PBR변화율,ROA변화율,target_1,target_2,target_3,현금흐름/총부채비율,영업현금흐름-단기차입금,abs(영업현금흐름-당기순이익)/매출액
10,(주)SNT에너지,100840,2020,0.21,42.24,36.64,제조업,6.91,4.07,2.92,16.89,-0.05,63.25,1.93,29.1,0.99,2.52,0.71,2.34,55.93,-0.4162001655064986,11.284553760189755,-3.748443591680105,0.4357631245563751,32.345198580748544,12.0,0.6074930222572104,459.8369811320755,184.63151515151517,0.2097527374221713,0.2962973883740522,0.8476249317925018,0.3503185522972876,0.0695030892912521,20300.0,-68677.264,10.265947767481045,-17.881427594689928,-36.93304535637149,0.0,0.0,0.0,0.7063838761184588,70341.0,0.2550673967986521
11,(주)SNT에너지,100840,2021,0.46,35.65,40.19,제조업,4.0,5.11,3.76,16.79,-0.04,45.58,1.39,64.3,0.7,1.96,0.52,5.16,59.93,0.1002077477697665,-27.932603201347938,3.849465375594321,-0.956904983420406,-42.5711320591542,13.0,0.6355605868556615,247.91322580645163,51.579261744966445,0.0899010366017046,0.1745300663985785,0.626889194319812,0.4192455931631857,0.018395691012606,18203.5,-28433.8,8.984043299354719,14.13669873889937,28.767123287671232,0.0,0.0,0.0,0.3420624556097784,29860.0,0.1014507154213036
12,(주)SNT홀딩스,036530,2019,0.06,37.56,38.49,"전문, 과학 및 기술 서비스업",5.81,8.78,5.72,15.07,-0.61,181.05,1.74,6.72,0.97,2.48,0.7,10.68,62.67,0.2094829877036592,7.907474950171518,8.159385342003294,5.811428044289172,73.81555402615278,37.0,0.2360758964518377,13.164650145772596,10.906944444444443,0.0398742957751201,0.0589809637494502,2.424605117877616,0.1126201116476705,0.0571771809902091,99463.5,-55096.55,0.5972396279383513,9.880574367502785,65.3179190751445,0.0,0.0,0.0,0.1460279723485704,89186.0,0.0233599957675176
13,(주)SNT홀딩스,036530,2020,0.08,40.37,34.38,"전문, 과학 및 기술 서비스업",5.64,4.62,3.46,14.53,-0.43,171.91,1.74,6.44,0.89,2.27,0.64,10.26,63.17,-10.906275255308206,-5.04988046544079,-0.5168724664546448,1.5114819784153202,0.6406550678270786,38.0,0.244717650758472,27.706317689530685,23.66284686536485,0.1150819692347805,0.1819892669710361,2.6878633382044272,0.1069937896115633,0.0511427949786961,126681.5,-231815.75,1.6036127333702477,-3.058808221204212,-39.51048951048951,0.0,0.0,0.0,0.4001672391903295,261292.0,0.1277397606137537
14,(주)SNT홀딩스,036530,2021,0.12,33.27,38.57,"전문, 과학 및 기술 서비스업",5.29,8.13,6.4,15.21,-0.68,168.11,1.83,6.14,0.79,2.37,0.59,11.21,63.31,-1.3891269026245363,-2.206713540959286,10.052431826570034,4.485295218732905,-1.195253607793148,39.0,0.2641553177390609,28.622800687285224,23.0089364640884,0.0379416976770458,0.0641063991020403,2.0637648204628247,0.1209566625806593,0.0715939306772599,126326.5,-53405.271,1.186439869180498,7.331390509636631,84.97109826589596,0.0,0.0,0.0,0.1519941100382645,90010.0,0.0440183979169159
15,(주)STX,011810,2021,51.88,451.82,-12.15,도매 및 소매업,1.4,-32.13,-3.6,5.98,0.98,15.31,4.23,8.65,9.06,1.7,1.43,1.7,55.41,27.535102214739293,-5.131169873519707,49.9223042004674,9.486643467953876,1933.6713995943207,45.0,-0.0767878086043165,1.4295958910747166,0.053138339066693,-0.0185284604428905,-0.0135363351409872,4.717755582586542,0.1735534052405608,0.0004392522949823,4273.5,30566.0,1.593933716473854,-29.14632403405082,-3.746397694524493,0.0,0.0,0.0,-0.0226292811482264,-264809.0,0.0116584495666708
16,(주)TCC스틸,002710,2019,43.02,168.92,-5.41,제조업,4.15,4.42,1.63,7.22,0.83,19.57,7.59,6.17,3.82,2.24,1.41,1.62,47.65,6.161527586392026,5.808178597014348,4.095468880850988,3.093358531671818,-24.73508576781219,60.0,0.2360714172050539,3.150754052149401,0.1375911122737099,-0.0214729002896152,-0.0154332142350642,3.247684773808819,0.193410776232456,0.0539575443174946,14968.5,15369.576,4.090746476231432,30.64929863149696,-51.19760479041916,0.0,0.0,0.0,-0.0341850461323321,-56159.0,0.0269549424256703
17,(주)TCC스틸,002710,2020,45.81,153.25,1.01,제조업,0.31,-1.3,-0.54,4.74,1.08,19.05,7.17,6.81,3.63,2.25,1.39,0.35,39.56,3.133744647854084,-1.2297163143279335,3.6698818072113855,-2.3713440056013493,-92.44710640945864,61.0,0.2501409901583979,1.2973519221250618,0.0725418834643344,-0.0182292940060438,-0.0129505000023158,1.5256677899235638,0.3966305797058929,0.0186889382218614,6913.5,9618.137,1.8210482679401012,93.1213256955878,-133.12883435582822,0.0,0.0,0.0,-0.0301247656603529,-36524.0,0.0090435805631336
18,(주)TCC스틸,002710,2021,34.12,136.42,17.25,제조업,7.6,21.49,8.53,9.11,0.8,23.08,8.62,8.33,3.88,2.7,1.59,7.57,36.55,3.5779081741063403,24.282882273655737,28.149689179483367,19.63691366838463,2536.251287332647,62.0,0.2739204952629041,5.63545349062077,0.3472920664052724,0.0207930855020613,0.0142196697667571,0.930925795674345,0.6198415790864775,0.0812595198325871,13284.5,2214.4390000000003,5.430145476296513,45.89558655126936,1679.629629629629,0.0,0.0,0.0,0.0360348873998309,-68887.0,0.0393030107090082
19,(주)강원랜드,035250,2019,1.53,19.38,27.64,"예술, 스포츠 및 여가관련 서비스업",11.56,9.16,7.72,51.54,-2.74,14.21,1.13,635.31,0.42,2.23,0.35,29.71,36.27,4.302006486874809,5.703590742799843,3.651802161104524,4.889298435139951,16.35778964476434,21.0,0.8236613303969542,292.88681795002555,292.88681795002555,0.0919013212579473,0.2683207462765117,0.1137535272025936,1.4268744934509416,0.0918075878542238,465926.5,-328307.416,37.78426464396611,-10.758908121801342,9.348441926345613,0.0,0.0,0.0,0.5662016214115164,407869.0,0.048165228145887
