,회사명,거래소코드,회계년도,차입금의존도,부채비율,순운전자본비율,산업군,총자본정상영업이익률,자기자본순이익률,총자본순이익률,매출액총이익률,금융비용부담률,자본금회전률,유형자산회전율,재고자산회전률,자기자본회전률,타인자본회전률,총자본회전률,외국인지분율,대주주지분율,유형자산증가율,매출액증가율,자기자본증가율,총자본증가율,정상영업이익증가율,업력,누적수익성비율,이자부담률,부채상환계수,현금흐름 대 자산,현금흐름 대 매출액,TMD,시총/총자산,EBIT/총자산,당기전기영업손익,FINDEP,EBITDA마진율,PBR변화율,ROA변화율,target_1,target_2,target_3,현금흐름/총부채비율,영업현금흐름-단기차입금,abs(영업현금흐름-당기순이익)/매출액
2607,영보화학(주),014440,2014,25.38,75.18,7.87,제조업,4.81,3.84,1.97,19.98,0.83,15.74,1.75,13.12,1.61,2.17,0.93,52.67,61.95,-4.549001755869155,-3.910546329018121,1.22659581041834,2.4843167831252155,-32.82122905027933,35.0,0.4728262132088183,6.462102473498233,0.3035479141307956,0.0751910702255674,0.0822386808272778,0.981394422310757,0.4373127047180988,0.0394859107487165,10174.5,1287.7649999999994,6.969771075766045,2.321272684014115,-62.90018832391714,0.0,0.0,0.0,0.1751985818481982,-17053.0,0.0609151887799176
2608,영보화학(주),014440,2015,20.38,63.31,10.45,제조업,7.99,9.06,5.16,24.48,0.54,15.74,1.78,13.38,1.54,2.23,0.91,52.91,61.95,0.3327087946403225,-0.0508155902230804,7.61021070516538,0.3176760285269589,68.61929803106274,36.0,0.5146553969953975,11.08279632721202,0.4208567896538608,0.1357686629808666,0.1490416391275611,0.6946680497925312,0.5580802964077923,0.08009957449272,10982.5,-15868.725,8.43789084345925,18.967565903881567,161.92893401015232,0.0,0.0,0.0,0.350207568019592,-2548.0,0.0924932635111088
2609,영보화학(주),014440,2016,15.78,58.96,14.93,제조업,9.19,10.02,6.32,25.05,0.34,15.78,1.82,13.55,1.43,2.35,0.89,52.37,60.9,-3.250413092193124,0.2872540546036911,8.366345526572058,5.477754942542044,18.284015085581665,37.0,0.537440243253182,15.767606602475928,0.4194770739561606,0.1113959066285394,0.1286152442270157,0.5206394453004622,0.7124156819267057,0.0912583632002722,15048.5,-15651.667,7.264106106309091,24.251955023755997,22.48062015503876,0.0,0.0,0.0,0.300329984166679,-3704.0,0.0575143849332082
2610,영보화학(주),014440,2017,2.6,26.67,29.46,제조업,6.9,23.16,16.37,22.0,0.0,16.46,1.98,14.41,1.29,3.13,0.91,52.24,60.9,-5.087382729335798,4.318014752477757,23.422150098588357,-1.6515090808300903,-23.53301857869888,38.0,0.70066633926379,45.16936026936027,5.48234572946465,0.084107194678215,0.0915513491841718,0.3873100616016427,0.5435631850347121,0.2118222202379623,14390.0,-9911.812,8.149351832727891,-39.20173911952381,159.01898734177217,0.0,0.0,0.0,0.3995069451807868,15071.0,0.0881009367140895
2611,영보화학(주),014440,2018,2.58,22.69,23.64,제조업,4.07,4.07,3.18,22.28,-0.11,14.39,1.69,12.48,1.01,4.1,0.81,51.76,60.9,10.064458878193673,-12.576388973259304,1.456200870892948,-1.732258856619863,-42.00144334856868,39.0,0.7290100179459803,84.19903703703704,2.4262262540021347,0.0799164035346766,0.0977799395476496,0.4364477211796246,0.4236614343154403,0.045222734603939,9852.0,5414.226999999999,7.898321926136956,-24.50794026134872,-80.57422113622479,0.0,0.0,0.0,0.4322000061426948,14072.0,0.0584720147309175
2612,영진약품(주),003520,2012,15.39,77.83,22.44,제조업,2.04,1.98,1.12,35.14,0.98,1.55,2.31,5.03,1.52,1.98,0.86,1.13,53.29,-1.0418057967143048,22.82057000133803,1.321762349799733,2.639000678129377,-20.019579050416056,50.0,-0.004396391501133,5.687680115273775,0.4732629938253102,0.0146896283443757,0.0172781941781418,0.2463366793584862,1.7767374082284149,0.0243468703496736,3677.0,767.1419999999998,5.733615129858811,-18.42516424147732,-33.72781065088756,0.0,0.0,0.0,0.0335628227194492,-12621.0,0.0042487362733135
2613,영진약품(주),003520,2013,12.01,65.29,26.08,제조업,4.18,12.14,7.09,36.4,0.71,1.76,2.74,5.04,1.62,2.27,0.95,1.31,53.23,-7.111283574031583,13.752106211144037,12.492862476391268,4.558786299559743,111.65850673194616,51.0,0.0629820355037972,9.951036225779276,0.6407659759140718,0.0351612788926027,0.0380148509478173,0.2241576452673176,1.7622072354045848,0.0702930303424002,5092.5,677.116,7.54159989273606,-7.81308127396273,533.0357142857142,0.0,0.0,0.0,0.0890131411741841,-7046.0,0.0369549810691916
2614,영진약품(주),003520,2014,10.55,77.57,22.04,제조업,4.01,0.89,0.52,36.51,0.33,1.89,2.73,5.25,1.65,2.31,0.96,2.1,53.23,22.987086110757943,6.9887564406249405,-1.6164771340719408,5.689347679733545,0.8529709411594621,52.0,0.0503386080193107,17.988986384266262,0.8603371680775631,0.034732466139198,0.0370951667671227,0.3372820964813168,1.295170645031514,0.0393198784140181,6946.5,5086.975,7.096014179233628,-21.04514133486789,-92.66572637517632,0.0,0.0,0.0,0.0795088257866462,-5784.0,0.031670535719614
2615,영진약품(주),003520,2015,13.91,92.88,26.63,제조업,2.71,3.37,1.82,38.08,0.47,1.92,2.47,5.32,1.69,1.99,0.91,1.79,53.23,3.6329803730450574,1.5718897886840646,-0.3621426941432101,8.228845380179697,-27.63761467889908,53.0,0.0446268618188388,12.540655172413794,0.7777011903913323,0.0454425772477348,0.0517147171318954,0.2465330586529348,1.953228529388988,0.0275949301737267,6012.0,4951.115,6.410210160807976,63.8116226281028,250.0,0.0,0.0,0.0,0.0943701686483472,-3198.0,0.0318208257198756
2616,영풍제지(주),006740,2012,4.13,19.27,47.96,제조업,14.24,8.42,7.09,22.14,-0.83,10.22,3.55,9.64,1.16,6.22,0.98,4.56,55.63,12.899676591204615,-1.9281650440105835,8.451185279269087,9.610897053237098,348.11295139831657,42.0,0.6058190579925405,96.25656862745096,96.25656862745096,0.1813463379212463,0.1937596981238538,0.5281059502616389,0.3059213783542925,0.0858088259563653,10093.5,-16481.345999999998,17.312332486951615,4.044817534518248,55.48245614035089,0.0,0.0,0.0,1.122478165381276,21977.0,0.1212882635068415
2617,영풍제지(주),006740,2013,4.0,15.72,39.66,제조업,2.98,3.62,3.08,15.15,-0.53,8.5,2.77,7.7,0.93,5.3,0.79,4.42,55.63,1.3436890910164787,-16.80773028635915,0.4625574506195317,-2.5316037891540417,-78.38099854580707,43.0,0.6220030477480528,15.376801801801802,6.520821394460363,0.0232475448696241,0.0291013141161509,0.3813259169459697,0.3561547578733491,0.0338384693532001,10036.0,1935.237,7.235375158965664,12.950592511036858,-56.55853314527504,0.0,0.0,0.0,0.1711756638823089,2746.0,0.0100148367952522
2618,영풍제지(주),006740,2014,4.71,17.08,32.74,제조업,0.74,1.52,1.31,12.16,-0.27,7.49,2.37,6.66,0.82,5.03,0.71,2.21,54.44,4.129148818369904,-11.918185671894872,-2.597987832952909,-1.4468337284117847,-75.75672645739911,44.0,0.6128029138139867,13.325744680851065,1.6739862542955326,0.0636022369020109,0.0890824650480063,0.3493356370068698,0.4176409445842747,0.0158919689720043,2216.5,1390.3670000000002,5.274887503910293,18.649789414718366,-57.46753246753247,0.0,0.0,0.0,0.4359397079604333,6096.0,0.0706258873354669
2619,영풍제지(주),006740,2015,12.12,28.92,15.52,제조업,-1.88,-5.47,-4.46,9.47,0.15,6.92,2.17,6.74,0.81,3.59,0.66,2.26,54.44,-1.8805619298147425,-7.604013764227446,-10.409647278908144,-1.3478107738959375,-351.21387283237,45.0,0.5425105797530521,3.979532967032967,0.1918863425619287,0.0021943191515299,0.0032815063676849,0.3621171873901983,0.6195555632956584,-0.0420055380435729,-654.0,2102.594,1.886280178138917,63.35132915378789,-440.45801526717554,0.0,0.0,0.0,0.0097807102658645,-5942.0,0.0703700809959111
