,회사명,거래소코드,회계년도,차입금의존도,부채비율,순운전자본비율,산업군,총자본정상영업이익률,자기자본순이익률,총자본순이익률,매출액총이익률,금융비용부담률,자본금회전률,유형자산회전율,자기자본회전률,타인자본회전률,총자본회전률,합계_기말인원(명),대주주지분율,유형자산증가율,매출액증가율,자기자본증가율,총자본증가율,정상영업이익증가율,누적수익성비율,현금흐름 대 자산,현금흐름 대 매출액,TMD,시총/총자산,EBIT/총자산,당기전기영업손익,FINDEP,WW지수,EBITDA마진율,target_1,target_2,target_3,abs(영업현금흐름-당기순이익)/매출액
1948,무림에스피(주),001810,2020,14.15,43.89,15.98,제조업,2.22,0.86,0.6,13.94,0.65,11.33,1.89,0.61,1.36,0.42,207.0,61.41,1.5087223008015087,-9.05550640346933,0.4963940725281477,-0.7327417395001021,460.3901611535199,0.4724938627964067,0.0576964579567833,0.1364357651486759,1.297159707097595,0.2351463655615204,0.0091113868731284,3893.0,-14541.167,-61.46932557063853,7.1909143827697015,0,0,0,0.1220984474550862
1949,무림에스피(주),001810,2021,15.47,45.54,12.09,제조업,2.02,2.02,1.43,11.95,0.38,11.94,2.23,0.63,1.41,0.44,206.0,61.41,-22.409840732361445,5.418357826915563,2.986943041383426,4.16756589063638,-7.658543968518239,0.4712490005211857,-0.0058819530544396,-0.0137441188484289,1.3623405692862385,0.2296800291993486,0.0258132601299403,6354.0,3021.32,-60.89705591189066,6.2493608266138185,0,0,0,0.0465121556406105
1950,미디어젠(주),279600,2021,30.37,81.25,37.81,정보통신업,-0.21,0.91,0.5,31.56,0.7,6.43,1.02,0.85,1.04,0.47,292.0,26.65,-1.7654986522911051,26.220538720538723,2.0842929525564253,1.2157480314960631,68.07511737089203,-0.1313169031615633,0.0387727159571819,0.0830943647882627,0.1915927539532678,2.339766462845407,-0.0018048294747323,-140.5,-813.759,-44.9655533795482,4.711703901300433,0,0,0,0.0724241413804601
1951,미래나노텍(주),095500,2019,33.11,81.07,14.93,제조업,0.46,0.56,0.54,14.45,0.35,24.88,4.94,1.72,2.06,0.94,358.0,23.16,55.64707676886536,4.18001574922063,7.004666507232779,4.1379787679337126,-63.64809081527347,0.2656251978073451,-0.0124950943778405,-0.0136262917020439,1.5377582232359897,0.2911523317529845,0.0064311124052107,2642.5,14239.188,-54.890682877988,2.8049176140874046,0,0,0,0.0193453305445684
1952,미래나노텍(주),095500,2021,26.36,70.81,32.69,제조업,6.08,10.98,6.03,16.39,0.0,32.35,6.04,2.03,2.81,1.18,362.0,22.57,3.145192577827128,13.53942898768332,20.52697247706422,18.09220958919104,-26.181182275239674,0.3048657307389741,0.0746793294974082,0.0685704559143163,0.7080934991105327,0.5854666196801495,0.0559940488498166,27831.0,-21598.463,-64.00895148902114,6.306079294000575,0,0,0,0.0174623126543937
1953,미스터블루(주),207760,2020,3.27,31.66,43.81,정보통신업,21.71,25.45,18.48,0.0,-0.06,32.77,9.27,1.68,4.45,1.22,88.0,60.77,20.743466125348892,26.294041227754388,24.40218151307509,12.792321397043482,3.837830038955418,0.4667653295006617,0.2609394788894739,0.2272580805076343,0.0617918465073418,3.891257193374411,0.2020121526048411,14128.0,-16100.172,-56.88131445843649,5.8147927820741625,0,0,0,0.0754635137814792
1954,미스터블루(주),207760,2021,0.69,23.58,54.81,정보통신업,8.96,11.37,8.94,0.0,-0.2,24.83,6.51,1.04,3.81,0.81,89.0,59.7,-1.5130818535252706,-23.83625817965497,22.41456834532374,14.900459635991064,-52.98040850354314,0.4792801941939958,0.1073144753789755,0.140997477829306,0.0681370638107125,2.799882685400773,0.0859506588724858,10581.0,-8071.196,-54.36848541615765,6.097827678789358,0,0,0,0.0312098283296721
1955,바디텍메드(주),206640,2019,15.78,31.33,40.05,제조업,14.67,16.78,11.62,56.33,2.22,3.11,2.42,1.0,2.44,0.71,321.0,29.99,9.07004242887946,9.96163373814271,13.352640244619543,-2.107461185978616,131.17782909930716,0.3605696115028342,0.1702711777369595,0.2368439126911083,0.1066580449816676,2.2364898017025143,0.1393513855148032,10755.0,-12534.51,-57.51430974107989,26.44881111004272,0,0,0,0.0734213382051951
1956,보성파워텍(주),006910,2019,15.71,57.17,22.3,제조업,-0.84,1.06,0.67,6.94,1.22,4.87,2.75,1.41,2.44,0.89,137.0,15.61,-1.772954517741739,5.619443919046718,1.9350970737556443,1.054046007901322,19.832826747720365,0.1188840142364622,0.0580287117912622,0.0652567110187854,0.4895495542815833,0.7429900803786835,-0.0235204191316395,-1185.5,-5419.5,-52.208605583897736,1.232132304220913,0,0,0,0.0577174477534428
1957,보성파워텍(주),006910,2020,16.58,50.31,26.82,제조업,1.85,2.0,1.3,9.16,1.73,3.57,2.1,1.02,1.89,0.66,132.0,15.53,-2.947018223347733,-26.505614154474312,2.1986960493549077,-2.261272523150176,317.2511848341232,0.1313613516573933,0.1358011616824029,0.2030945419103313,0.4584760329500885,0.7300196309255171,0.0229485226430311,618.5,-15630.737,-52.41866263070389,5.002119883040936,0,0,0,0.1834551656920078
